PROJETO;ENERGIZAÇÃO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;CAVR;PSTP;PST EXEC;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CONCRETO;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1213219;04/12/2025;ER-CIND-FAZ-BREJO DO TAMANDUA 360-RURAL;CAMPO FORMOSO;EDVALDO;Energizada;2;2;;ENERGIZADA;BT;;;155445 BT;;;;50%;1;;2;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 14.142,08;JOAO;;08/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;TRUE;;;Q025192;-10,0836703, -40,7902851;https://drive.google.com/file/d/14eWefw9sXMaUgLTNvnXjgh2X7WiVv5CI/view?usp=drive_link;E903485 – E903486;;;SENHOR DO BONFIM;2025-12-01;1213219;Consolidado;N/A
B-1216576;04/12/2025;UB-CIND-RUA-DA CHACARA 46-ESPLANADA;CAMPO FORMOSO;EDVALDO;Energizada;2;2;;ENERGIZADA;BT;;;155427 BT;;;;100%;2;;1;PLANO 7;INSTITUCIONAL;100%;dez./1;R$ 14.214,02;JOAO;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;TRUE;;;D014317;-10,1695737, -39,9124873;https://drive.google.com/file/d/11ZfkQxmyFlXHgT-bUjNWxoFDkZ0vkei_/view?usp=drive_link;E903487 – E903488;;;SENHOR DO BONFIM;2025-12-01;1216576;Consolidado;N/A
B-1195376;05/12/2025;UB-CIND-TRV-URUGUAI-ALTO DO CIGANO;SENHOR DO BONFIM;JOILSON;Energizada;4;4;;ENERGIZADA;BT;;;157325 BT;;;;0%;0;;1;PLANO 7;QLP;100%;dez./1;R$ 19.810,30;JOAO;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;TRUE;;;D027915;-10,3068135, -39,7757301;https://drive.google.com/file/d/1nvin3ZBBreRLcwqETWqtlY2iq48vkRV_/view?usp=drive_link;E903547 – E903550;;;SENHOR DO BONFIM;2025-12-01;1195376;Consolidado;N/A
B-1209497;05/12/2025;ER-CIND-POV-LAGOA DO SACO-RURAL;MONTE SANTO;OSMAR;Energizada;0;0;;ENERGIZADA;DESL;;;;;05/dez;149358;#DIV/0!;0;;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 1.135,38;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;Q024111;-10,0808017, -40,754031;https://drive.google.com/file/d/1Ul3jyXCCFMu_QUENHehCL8gXr1RDHi93/view?usp=drive_link;0;;;SENHOR DO BONFIM;2025-12-01;1209497;Consolidado;N/A
B-1211197;05/12/2025;ER-CIND-POV-LAGE DE DENTRO-S ANTONIO;MONTE SANTO;OSMAR;Energizada;0;0;;ENERGIZADA;BT;;;154606 BT;;;;#DIV/0!;0;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 2.064,80;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;B512098;-10,6535569, -39,5091324;https://drive.google.com/file/d/1O9EdgDi5Zom7p53aPOAasLZmsoARWeYF/view?usp=drive_link;0;;;SENHOR DO BONFIM;2025-12-01;1211197;Consolidado;N/A
B-1200560;05/12/2025;UB-CIND-POV-MATA FUNDA-ARTUR GONCALVES;JAGUARARI;WAGNER;Energizada;3;3;;ENERGIZADA;BT;;;155502 BT;;;;0%;0;;1;PLANO 7;INSTITUCIONAL;100%;dez./1;R$ 6.792,20;JOAO;;02/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;D579386;-10,7937064, -39,4086477;https://drive.google.com/file/d/1e6hborqdoTiXauhNikIr5DkZq-Xizw8P/view?usp=drive_link;E903457 – E903457;;;SENHOR DO BONFIM;2025-12-01;1200560;Consolidado;N/A
B-1216143;;ER-CIND-POV-MANDASSAIA-RURAL;MONTE SANTO;OSMAR;;;0;;FALTA TRAFO 210446 3-75. PRECISA DESLIGAMENTO;DESL;;;;;22/dez;157210;#DIV/0!;0;;1;PLANO 7;GOVERNO;100%;dez./1;R$ 21.535,59;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;FALSE;FALSE;;;Q097286;-10,3447027, -39,833628;https://drive.google.com/file/d/1upyEJCYV6Plq7-XjoRF1LeshqK8AxNgP/view?usp=drive_link;0;;;SENHOR DO BONFIM;2025-12-01;1216143;Consolidado;N/A
B-1060677;05/12/2025;ER-CIND-POV-CACHOEIRA-ANDORINHA;ANDORINHAS;ALDAIR;Energizada;1;1;;ENERGIZADA;BT;;;152806 BT;;;;100%;1;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;dez./1;R$ 2.393,07;GABRIEL;;01/12/2025;06/12/2025;08/12/2025;;;TRUE;TRUE;TRUE;;;D176660;-10,519236, -39,5719243;https://drive.google.com/file/d/1YqFWPZ9XmxGDafwX-EFfOLnSDBnECcgt/view?usp=drive_link;E903441 – E903441;;;SENHOR DO BONFIM;2025-12-01;1060677;Consolidado;N/A
B-1168472;06/12/2025;ER-CIND-FAZ-BOA ESPERANCA-AROEIRA;CANSANÇÃO;ANAILTON;Energizada;1;1;;ENERGIZADA;BT;;;155468 BT;;;;100%;1;;1;PLANO 7;QLP;100%;dez./1;R$ 8.953,72;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;D572237;-10,7327223, -39,9398931;https://drive.google.com/file/d/1VVDaIKto3SkqcWF-jXAvtx1gZE8STlxi/view?usp=drive_link;E903447 – E903447;;;SENHOR DO BONFIM;2025-12-01;1168472;Consolidado;N/A
B-1162133;08/12/2025;ER-CIND-POV-DO CEDRO 89-CEDRO;CANSANÇÃO;ANAILTON;Energizada;2;2;;ENERGIZADA;BT;;;155460 BT;;;;50%;1;;1;PLANO 7;QLP;100%;dez./1;R$ 17.547,80;GABRIEL;;01/12/2025;06/12/2025;04/12/2025;;;TRUE;TRUE;FALSE;;;D533644;-10,4634578, -40,1959387;https://drive.google.com/file/d/1Ilhh29BvGloJLPKjlh8X0t_HjoXHBVCs/view?usp=drive_link;E903489 – E903490;;;SENHOR DO BONFIM;2025-12-01;1162133;Consolidado;N/A
