NOTA;PROJETO;TÍTULO;MUNICIPIO;PLANO;CRITERIO;PSTP;PST EXEC;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;PERFIL;COORD;Carteira;STATUS 1;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102022738;B-1128886;ER-CIND-FAZ-SAO LUIZ-PEDRA VERMELHA;MONTE SANTO;;ESTADUAL;2;2;;2;;2025-02-01 00:00:00;DICSON;OSMAR ;0-5 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1128886;Consolidado;N/A
9102164217;B-1183387;UB-CIND-AV-LUIZ E MAGALHAES-CENTRO;MONTE SANTO;;;0;0;;1;;2025-02-01 00:00:00;DICSON;OSMAR ;0-5 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1183387;Consolidado;N/A
9101904936;B-1083736;ER-CIND-FAZ-CEROULA NOVA-RURAL;MONTE SANTO;;ESTADUAL;2;2;;1;;2025-02-01 00:00:00;DICSON;OSMAR ;0-5 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1083736;Consolidado;N/A
9102057564;B-1137475;ER-CIND-POV-MULUNGU-RURAL;SENHOR DO BONFIM;;DIA C;6;6;;2;;2025-02-05 00:00:00;WESLEY;JOILSON ;6-15 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1137475;Consolidado;N/A
9101978110;B-1112875;ER-CCOL-FAZ-CALDEIR O DO COXO-RURAL;NORDESTINA;;GOVERNO;67;47;;6;;2025-02-05 00:00:00;ALAN;ANAILTON;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1112875;Consolidado;N/A
9102095904;B-1155909;ER-CIND-POV-TEIU-RURAL;SENHOR DO BONFIM;;DIA C;1;1;;2;;2025-02-15 00:00:00;WESLEY;JOSÉ SILVA;0-5 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1155909;Consolidado;N/A
9102133030;B-1159228;ER-CCOL-POV-LAGES-RURAL;SENHOR DO BONFIM;;DIA C;4;4;;1;;2025-02-08 00:00:00;DICSON;ERIELTON ;0-5 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1159228;Consolidado;N/A
9101727174;B-1007298;RR-CIND-ET-ADUTORA MINA CARAIBA-RURAL NU;JAGUARARI;;JUDICIAL;13;13;;3;;2025-02-28 00:00:00;DICSON;BADU;6-15 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1007298;Consolidado;N/A
9101805511;B-1053427;MP-CCOL-FAZ OLHOS DAGUA-RURAL;ITIÚBA;;ESTADUAL;11;14;;5;;2025-02-14 00:00:00;ALAN;ISRAEL ;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1053427;Consolidado;N/A
9102022726;B-1128973;MP CIND POV QUEIMADA GRANDE RURAL;MONTE SANTO;;QLP;17;21;;2;;2025-02-14 00:00:00;ALAN;OSMAR ;;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1128973;Consolidado;N/A
9101959951;B-1107362;RR-SEIN-POV-LAGOA DO PEIXE-RURAL;SENHOR DO BONFIM;;REPUTACIONAL;31;;;;;;;BADU;16-50 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1107362;Consolidado;N/A
9101867733;B-1062185;ER-CIND-FAZ-PLANALTO 10-RURAL;PONTO NOVO;;ESTADUAL;21;23;;8;;2025-02-14 00:00:00;DICSON;GESONI ;16-50 POSTES;SENHOR DO BONFIM;2025-02-01;INDEFINIDO;1062185;Consolidado;N/A
