NOTA;PROJETO;TÍTULO;MUNICIPIO;PLANO;CRITERIO;PSTP;PST EXEC;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;PV. INICIO;PV. FIM;PERFIL;COORD;Carteira;STATUS 1;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
;B-1121813;MP-CCOL-POV.SANTO EUSEBIO-RURAL;QUEIMADAS;;REPUTACIONAL;109;;11;;1299165.01;;;;;2025-01-31 00:00:00;ACIMA 100 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1121813;Consolidado;N/A
;B-1112875;ER-CCOL-FAZ-CALDEIR O DO COXO-RURAL;NORDESTINA;;GOVERNO;45;;0;;490292.56;;;;;2025-01-31 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1112875;Consolidado;N/A
9102074591;B-1140841;IT-CIND-AV-LUIZ EDU. MAGALHAES-CENTRO;NORDESTINA;;REPUTACIONAL;3;3;1;1;28425.29;2025-01-17 00:00:00;DICSON;ANAILTON;;2025-01-10 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1140841;Consolidado;N/A
;B-1113890;ER-SEIN-POV-LAGOA DO CURRAL-RURAL;CANSANÇÃO;;GOVERNO;30;30;3;4;214459.58;2025-01-24 00:00:00;DICSON;ANAILTON;;2025-01-18 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1113890;Consolidado;N/A
;X-1158254;UB-CIND-AV- MONTE SANTO-99;CANSANÇÃO;;SOLICITAÇÃO ATENDIMENTO;6;6;1;;77522.55;2025-01-23 00:00:00;DICSON;ANAILTON;;2025-01-20 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1158254;Consolidado;N/A
;B-1089356;MP-CCOL-FAZ.VARZEA DA NOVILHA RURAL;QUEIMADAS;;REPUTACIONAL;43;;3;;356018.91;;;;;2025-01-31 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1089356;Consolidado;N/A
;B-0477336;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;MONTE SANTO;;REPUTACIONAL;281;;46;;1073081.49;;;;;2025-02-27 00:00:00;;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;0477336;Consolidado;N/A
;B-1128973;MP CIND POV QUEIMADA GRANDE RURAL;MONTE SANTO;;QLP;17;;2;;138101.08;;;;;2025-01-17 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1128973;Consolidado;N/A
;B-1113285;ER-CIND-POV-VILA NOVA-VILA NOVA;MONTE SANTO;;NOVOS QUESTIONAMENTOS ANEEL;8;8;1;1;71298.86;2025-01-30 00:00:00;DICSON;OSMAR;;2025-01-24 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1113285;Consolidado;N/A
;B-1053426;MP-CCOL-POV GATO-RURAL;ITIÚBA;;REPUTACIONAL;26;25;5;7;105541.05;2025-01-31 00:00:00;DICSON;ISRAEL;;2025-01-17 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1053426;Consolidado;N/A
;B-1053427;MP-CCOL-FAZ OLHOS DAGUA-RURAL;ITIÚBA;;REPUTACIONAL;11;;3;;65807.63;;;;;2025-01-24 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1053427;Consolidado;N/A
;X-1168522;ME-COEL-AV-ROGERIO BENTO PITANGA 99999;ITIÚBA;;RECLAMAÇÃO;0;0;0;1;29834.15;2025-01-22 00:00:00;DICSON;ALDAIR;;2025-01-20 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1168522;Consolidado;N/A
;B-1085264;MP CIND RUA DA LINHA PINDOBAÇU RURAL;PINDOBAÇU;;NOVOS QUESTIONAMENTOS ANEEL;39;41;11;18;366503.58;2025-01-31 00:00:00;DICSON;REGINALDO;;2025-01-24 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1085264;Consolidado;N/A
;X-1161107;RC-GOVE-RUA-CARNAIBA DE BAIXO-RURAL;PINDOBAÇU;;REPUTACIONAL;3;1;0;0;65125.21;2025-01-30 00:00:00;DICSON;JOSE SILVA;;2025-01-17 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;1161107;Consolidado;N/A
;B-0948330;RR-CIND-POV JIBOIA ZU-RL ANTO GON ALVES;ANTÔNIO GONÇALVES;;REPUTACIONAL;3;3;1;1;17004.96;2024-01-09 00:00:00;DICSON;JOSE SILVA;;2025-01-14 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-01-01;INDEFINIDO;0948330;Consolidado;N/A
