PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;CONCRETO;STATUS 1;PST EXEC;CAVR;OBS;RESUMO;LV;RESUMO LV;Nº PES;% CAVAS;DT DESL;PES DESLIG;% POSTES;CLIENT.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;AS BUILT;DEVOLUÇAO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1233123;ER-CIND-FAZ-POCO DANTAS-RURAL;ITIÚBA;ANAILTON;1;1;Energizada;;1;ENERGIZADA;BT;;;1404 BT;;;;100%;1;PLANO 7;QLP;100%;jan./1;R$ 6.062,19;12/01/2026;;;05/01/2026;10/01/2026;05/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D106490;-10,6080699, -39,9078473;https://drive.google.com/file/d/1bmXhXwpKeaRQEVgmgvoH_vT_xmhiG-_a/view;E936998;;;SENHOR DO BONFIM;2026-01-01;1233123;Consolidado;N/A
B-1224382;RC-CIND-RUA-FORTALEZA-CENTRO;ANDORINHAS;;1;1;Paralisada;0;;;DESL;;;;;;;100%;0;PLANO 8;REPUTACIONAL;100%;jan./1;R$ 19.178,33;;;;19/01/2026;24/01/2026;06/01/2026;;FALSE;TRUE;FALSE;FALSE;;;Q093313;-10,3440237, -39,8314899;https://drive.google.com/file/d/1jxOGm6zBipEwb7xClJFj6lI0mjbttWiF/view;E936999;;;SENHOR DO BONFIM;2026-01-01;1224382;Consolidado;N/A
B-0603860;MP-CCOL-POV. MANDI COMPL-RURAL;ANDORINHAS;ALDAIR;38;40;Em escavação;41;38;FALTA TRAFO 4 2-10 211304, FALTA ELO 0,5H 536778;LV + ENERGZ + BT;;;2891 EN       2892 BT;;;;105%;5;PLANO 14;AIC AUDITORIA;80%;jan./1;R$ 145.038,21;;;;05/01/2026;31/01/2026;13/01/2026;;TRUE;TRUE;FALSE;FALSE;;;D040108;-10,2372809, -39,7605516;https://drive.google.com/file/d/17avaG8zEW6an6JTBzSPHMhWlnw158saO/view;E936484 – E936520;;;SENHOR DO BONFIM;2026-01-01;0603860;Consolidado;N/A
B-1067126;IS-COEL-PR -COMERCIO-ANDORINHA;ANDORINHAS;ALDAIR;27;18;Em escavação;;21;FALTA 3426030 ESPAÇADOR, ALÇA 70 1000 3430538 ;DESL + LV;;;;;13, 14, 16, 20, 21;165844, 165846, 165851;67%;;;;100%;jan./1;;;;;05/01/2026;31/01/2026;06/01/2026;;TRUE;TRUE;FALSE;FALSE;;;Q109712;-10,5021538, -39,4067176;https://drive.google.com/file/d/1zL042QxT5snV06b_oVubU9G6zFUdXZ4G/view;E936243 – E936269;;;SENHOR DO BONFIM;2026-01-01;1067126;Consolidado;N/A
B-1222322;AC-PREF-POV-RIACHO SECO-RURAL;ANDORINHAS;ALDAIR;2;2;Em escavação;;2;FALTA CABO 2230084 3X70.;DESL;;;;;28/01/2026;4730;100%;1;PLANO 7;GOVERNO;100%;dez./1;R$ 44.108,41;;;;15/12/2025;20/12/2025;12/12/2025;;TRUE;TRUE;FALSE;FALSE;;;D574414;-10,2959073, -40,7210239;https://drive.google.com/file/d/1d4XLET9qUCGH5O3CHAL69rbSlbrpuMfx/view?usp=drive_link;E903477 – E903478;;;SENHOR DO BONFIM;2026-01-01;1222322;Consolidado;N/A
B-1151586;AC-CIND-LOT-VILA PEIXE-VILA PEIXE;ANDORINHAS;ALDAIR;1;1;Em escavação;;1;FALTA CABO 2230078 3X120.;DESL + LV;Pendente;;LV-150784;;27/01/2026;4626;100%;0;PLANO 7;RECLAMAÇÃO;100%;dez./1;R$ 26.251,94;;;;15/12/2025;20/12/2025;12/12/2025;;TRUE;TRUE;FALSE;FALSE;;;D130180;-10,3191272, -39,1863356;https://drive.google.com/file/d/1aF3wfEiV0Ka5ZLxYr_1gcyANVlnV3Y_9/view?usp=drive_link;E903442 – E903442;;;SENHOR DO BONFIM;2026-01-01;1151586;Consolidado;N/A
B-1216143;ER-CIND-POV-MANDASSAIA-RURAL;MONTE SANTO;ANAILTON;0;0;Energizada;;;ENERGIZADA;DESL;;;;;29/01/2026;4731;100%;1;PLANO 7;GOVERNO;100%;dez./1;R$ 21.535,59;;;;01/12/2025;06/12/2025;04/12/2025;;TRUE;TRUE;TRUE;TRUE;;;Q097286;-10,3447027, -39,833628;https://drive.google.com/file/d/1upyEJCYV6Plq7-XjoRF1LeshqK8AxNgP/view?usp=drive_link;0;;;SENHOR DO BONFIM;2026-01-01;1216143;Consolidado;N/A
B-1225627;UB-CIND-LOT-NOVA QUEIMADAS-NOVA QUEIMADA;QUEIMADAS;ANAILTON;3;2;Energizada;;;ENERGIZADA;LV + ENERGZ;;;LV-1165        1421 EN;;;;67%;7;PLANO 7;QLP;100%;jan./1;R$ 31.120,68;;;;12/01/2026;31/01/2026;05/01/2026;;TRUE;TRUE;TRUE;TRUE;;;D054475;-10,9859438, -39,6234911;https://drive.google.com/file/d/132SlHWdL59C189dcG451h3O_OmtbERn3/view;E937008 – E937010;;;SENHOR DO BONFIM;2026-01-01;1225627;Consolidado;N/A
B-0979517;ER-CIND-FAZ-RAIO DO SOL-RURAL;QUEIMADAS;ANAILTON;12;12;Energizada;;;ENERGIZADA;LV + ENERGZ;;;;;;;100%;2;PLANO 14;REPUTACIONAL;100%;jan./1;R$ 31.510,73;;;;12/01/2026;17/01/2026;12/01/2026;;TRUE;TRUE;TRUE;TRUE;;;DEPENDE DE 9101195078.;;https://drive.google.com/file/d/1q0U-Wvi_NAcU8NjvmaQWyFY5ZbNP9Ji5/view;E875544 – E875555;;;SENHOR DO BONFIM;2026-01-01;0979517;Consolidado;N/A
B-1222441;UB-CIND-RUA-DO CUPIM-CENTRO;CAMPO FORMOSO;GESONI;2;0;Energizada;;;ENERGIZADA;BT;;;5263 BT;;;;0%;1;PLANO 7;AGIL;100%;jan./1;R$ 13.025,83;;;;21/01/2026;23/01/2026;20/01/2026;;;TRUE;TRUE;TRUE;;;Q059443;-10,4984799, -40,3154779;;;;;SENHOR DO BONFIM;2026-01-01;1222441;Consolidado;N/A
