PROJETO;TÍTULO;MUNICIPIO;PSTP;ENCARREGADO;STATUS 1;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;CRITERIO;PLANO;PST EXEC;CAVR;CAVD;EQPP;EQPR;RDEP;RDER;CLIET.;AVANÇO;AVNR;CARTEIRA;V. PROJETO;V. REAL;PV. INÍCIO;PV. FIM;ENERGIZAÇÃO;SUPERVISOR;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1193876;AL 02-NOR-RT-3-3-Q098711;NORDESTINA;1;ALDAIR;Energizada;Pendente;LV + ENERGZ;1 N4 C/ RELIG;;NÃO É POSSIVEL DESL;;AL/MELHORAMENTO;PLANO 1;1;;;;;;;0;100%;;jul./1;R$ 108.656,57;;15/07/2025;16/07/2025;;DICSON;;21/07/2025;;TRUE;;;;Q098711;-10,8244484;-39,4294331;SENHOR DO BONFIM;2025-07-01;1193876;Consolidado;N/A
B-1156254;MP CIND POV CALDEIRÃO DO SANGUE RURAL;NORDESTINA;20;ALDAIR;Energizada;Pendente;LV + ENERGZ;N1-3 CHP;81499 / 2025-81552 SUBST.PT;250 UC'S;30;QLP;PLANO 14;20;;;;;;;4;100%;;jul./1;R$ 73.043,81;35.449,43;14/07/2025;26/07/2025;;DICSON;;14/07/2025;;TRUE;TRUE;;;D020453;-10,8548086;-39,461793;SENHOR DO BONFIM;2025-07-01;1156254;Consolidado;N/A
B-0545761;MP-CCOL-POV. SAO PEDRO COMPL-RURAL;NORDESTINA;23;ALDAIR;Energizada;Realizado;LV + BT + ENERGZ;N3 P/ N4;;NÃO É POSSIVEL DESL;;REPUTACIONAL;PLANO 14;25;;;;;;;2;100%;;jun./1;R$ 107.491,64;;;;;DICSON;;SACADO JUNHO;;TRUE;TRUE;;;D144635;-10,9330151;-39,3748213;SENHOR DO BONFIM;2025-07-01;0545761;Consolidado;N/A
B-1182735;RC-COEL-RUA-DOM PEDRO II-GAMBOA;SENHOR DO BONFIM;5;BADU;Energizada;Realizado;DESL + LV;1 N1, 1 N4;;SUBS TRF, SUBS 10 VAOS BT;18 76483;AL/MELHORAMENTO;PLANO 8;4;;;;;;;0;100%;;jul./1;R$ 84.191,00;;17/07/2025;18/07/2025;;JOAO;;10/07/2025;;TRUE;TRUE;;;Q043523;-10,4668278;-40,1804812;SENHOR DO BONFIM;2025-07-01;1182735;Consolidado;N/A
B-1161096;MP CIND POV ALTO BONITO RURAL;SENHOR DO BONFIM;43;BADU;Energizada;Pendente;LV + ENERGZ;N4-3 C/ CHP;;1 UC'S;;REPUTACIONAL;PLANO 14;47;;;;;;;5;100%;;jul./1;R$ 418.713,48;;14/07/2025;26/07/2025;;JOAO;;16/07/2025;;TRUE;TRUE;;;E069795;-10,5765487;-39,9498358;SENHOR DO BONFIM;2025-07-01;1161096;Consolidado;N/A
B-0858295;MP CIND POV MAXIXEIRO-RURAL;CAMPO FORMOSO;37;EDVALDO;Energizada;Realizado;LV + ENERGZ;N3/N4 CHP;79498;;;REPUTACIONAL;PLANO 14;25;;;;;;;6;100%;;jul./1;R$ 360.855,98;44.690,50;11/07/2025;26/07/2025;;JOAO;;04/07/2025;;TRUE;TRUE;;TRUE;B768939;-10,4184801;-40,8384324;SENHOR DO BONFIM;2025-07-01;0858295;Consolidado;N/A
B-1082438;LD CIND FAZ IPUCA RURAL;PINDOBAÇU;29;EDVALDO;Energizada;Pendente;LV + ENERGZ;N3 P/ N4;;112 UCS'S;29 80508;PRIORIDADE PLANO ANEEL;PLANO 7;29;;;;;;;1;100%;;jun./1;R$ 387.222,50;;;;;JOAO;;SACADO JUNHO;;TRUE;TRUE;;;B306389;-10,7209586;-40,3289308;SENHOR DO BONFIM;2025-07-01;1082438;Consolidado;N/A
B-0940009;RR-CIND-POV RIACHO DAS P-R PEDRAS-CSC;CANSANÇÃO;45;JEFERSON;Em execução;;DESL + ENERGZ;N3/N4 S/ CHP;Visitar obra;TROCAR POSTE MT;24 79044;REPUTACIONAL;PLANO 14;;;;;;;;2;100%;;jul./1;R$ 178.644,65;;17/07/2025;31/07/2025;;DICSON;;21/07/2025;;TRUE;TRUE;;;B305490;-10,7704325;-39,3399141;SENHOR DO BONFIM;2025-07-01;0940009;Consolidado;N/A
B-1146383;MP CIND POV BOA VISTA RURAL;FILADÉLFIA;23;GESONI;Energizada;Pendente;LV + ENERGZ;;Visitar obra;;;PRIORIDADE PLANO ANEEL;PLANO 14;24;;;;;;;2;100%;;jun./1;R$ 254.259,61;;;;;JOAO;;21/07/2025;;TRUE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-07-01;1146383;Consolidado;N/A
B-1203209;ER-CIND-POV-VARZEA DO PO O -RURAL;PONTO NOVO;2;GESONI;Energizada;Realizado;DESL + LV;LV 2 POSTES;78060;ADF (2 VAOS), N1 C/ TRAFO, 1 SUBS 1 VAO 3X35;13 80528;GOVERNO;PLANO 7;4;;;;;;;1;100%;;jul./1;R$ 45.333,35;5.904,19;14/07/2025;16/07/2025;;JOAO;;07/07/2025;;TRUE;TRUE;;;Q055421;-10,9240745;-40,0631371;SENHOR DO BONFIM;2025-07-01;1203209;Consolidado;N/A
B-1168792;ER-CIND-LOT-RURAL-REASSENTAMENTO BARRAGE;PONTO NOVO;18;GESONI;Energizada;Pendente;LV + ENERGZ;LV 18 N1;;NÃO É POSSIVEL DESL;;SOLICITAÇÃO ATENDIMENTO;PLANO 7;15;;;;;;;1;100%;;jun./1;R$ 131.673,01;;;;;JOAO;;SACADO JUNHO;;TRUE;TRUE;;;E528962;-10,8994324;-40,1157079;SENHOR DO BONFIM;2025-07-01;1168792;Consolidado;N/A
B-1044044;MP-CCOL-POV ÁGUA LIMPA-RURAL;FILADÉLFIA;43;GESONI;Em execução;Pendente;LV + ENERGZ;N1-3 CHP;;280 UC'S;29 80514;RECLAMAÇÃO;PLANO 7;;;;;;;;6;100%;;jul./1;R$ 184.949,75;;17/07/2025;31/07/2025;;JOAO;;11/07/2025;;TRUE;TRUE;;;Q039701;-10,7238843;-40,1632901;SENHOR DO BONFIM;2025-07-01;1044044;Consolidado;N/A
B-1190969;ER-CIND-POV-LAGE DO JOS -RURAL;CANSANÇÃO;1;JEFERSON;Energizada;Pendente;LV + ENERGZ;N1 C/ TRF;;93 UC'S;18 76492 ;REPUTACIONAL;PLANO 7;1;;;;;;;1;100%;;jul./1;R$ 19.222,11;2.374,80;14/07/2025;16/07/2025;;DICSON;;03/07/2025;;TRUE;TRUE;;;D189147;-10,6429582;-39,5426553;SENHOR DO BONFIM;2025-07-01;1190969;Consolidado;N/A
B-1165543;UB-CIND-RUA-SIMOES-N S DA CONCEI O;ITIÚBA;3;ISRAEL;Em execução;;BT;;Visitar obra;;;PRIORIDADE PLANO ANEEL;PLANO 7;;;;;;;;;100%;;jun./1;;;;;;JOAO;;SACADO JUNHO;;TRUE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-07-01;1165543;Consolidado;N/A
B-1170254;ER-CIND-POV-PAU DE COLHER-1260;CANSANÇÃO;12;JEFERSON;Energizada;Pendente;LV + BT + ENERGZ;LV 3 N1;;NÃO É POSSIVEL DESL;;RECLAMAÇÃO;PLANO 7;12;;;;;;;5;100%;;jun./1;R$ 131.840,28;;;;;DICSON;;SACADO JUNHO;;TRUE;TRUE;;;D576724;-10,6299415;-39,4706341;SENHOR DO BONFIM;2025-07-01;1170254;Consolidado;N/A
B-1198578;AC-CIND-FAZ LAGOA DO SERTAO-RURAL;CANSANÇÃO;6;JEFERSON;Energizada;;BT;;80838;;;REPUTACIONAL;PLANO 7;7;;;;;;;1;100%;;jul./1;R$ 26.090,32;11.406,19;08/07/2025;10/07/2025;;DICSON;;03/07/2025;;TRUE;TRUE;;;Q099584;-10,668702;-39,4719632;SENHOR DO BONFIM;2025-07-01;1198578;Consolidado;N/A
B-1125553;RC-PREF-ROD-BA 220 -FAZ LAGOA DA VOLTA;MONTE SANTO;6;JOSE;Em execução;;DESL;;;2 EQUIPES;29 81609;GOVERNO;PLANO 8;;;;;;;;;100%;;jun./1;;19.953,82;;;;DICSON;;15/07/2025;;TRUE;TRUE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-07-01;1125553;Consolidado;N/A
B-1172956;ER-CIND-FAZ-PACUI-RURAL;CAMPO FORMOSO;2;JEFFERSON;Energizada;;BT;;;;;REPUTACIONAL;PLANO 7;2;;;;;;;2;100%;;jul./1;R$ 15.407,86;3.225,49;08/07/2025;10/07/2025;;JOAO;;04/07/2025;;TRUE;TRUE;;;Q024725;-10,1074835;-40,8170714;SENHOR DO BONFIM;2025-07-01;1172956;Consolidado;N/A
B-1181949;RC-SEIN-FAZ-QUIQUIM-RURAL-PEDRA VERMELHA;MONTE SANTO;15;JOSE;Em execução;Pendente;DESL + LV;;;;30, 31;GOVERNO;PLANO 7;;;;;;;;;100%;;jun./1;;;;;;DICSON;;21/07/2025;;TRUE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-07-01;1181949;Consolidado;N/A
B-1170277;IE-RELIGADOR-JNC-09X1-Q022984;CAMPO FORMOSO;1;JEFFERSON;Energizada;Realizado;LV + ENERGZ;LV RELIG;79425, 80253;NÃO É POSSIVEL DESL;;EQUIPAMENTO;PLANO 8;0;;;;;;;0;100%;;jun./1;R$ 134.004,23;;;;;JOAO;;08/07/2025;;TRUE;TRUE;;;Q022985;-10,2054067;-40,5745999;SENHOR DO BONFIM;2025-07-01;1170277;Consolidado;N/A
B-1184458;ER-CIND-FAZ-LAGOA DA VOLTA-RURAL;MONTE SANTO;7;JOSE;Em execução;Pendente;LV + ENERGZ;N1 C/ TRF;;NÃO É POSSIVEL DESL;;SOLICITAÇÃO ATENDIMENTO;PLANO 7;;;;;;;;1;100%;;jul./1;R$ 71.093,68;11.856,02;14/07/2025;17/07/2025;;DICSON;;04/07/2025;;TRUE;TRUE;;;A249905;-10,4632632;-39,2439461;SENHOR DO BONFIM;2025-07-01;1184458;Consolidado;N/A
B-1108365;ER-CIND-POV-TANQUE VELHO-TANQUE VELHO;SENHOR DO BONFIM;5;JOILSON/DIEGO;Energizada;Realizado;LV + ENERGZ;2 N1;;;;SOLICITAÇÃO ATENDIMENTO;PLANO 14;3;;;;;;;0;100%;;jul./1;R$ 38.525,31;8.951,75;28/07/2025;29/07/2025;;JOAO;;03/07/2025;;TRUE;TRUE;;;D097755;-10,5598357;-40,0955606;SENHOR DO BONFIM;2025-07-01;1108365;Consolidado;N/A
B-1181484;ER-CIND-ET-SR BOMFIM 3 MORRINHOS-URBANA;SENHOR DO BONFIM;17;JOILSON/DIEGO;Energizada;Realizado;LV + BT + ENERGZ;LV N3/4 ;;NÃO É POSSIVEL DESL;;PRIORIDADE PLANO ANEEL;PLANO 14;20;;;;;;;4;100%;;jun./1;R$ 140.909,38;;;;;JOAO;;SACADO JUNHO;;TRUE;TRUE;;;D517281;-10,238673;-39,2133007;SENHOR DO BONFIM;2025-07-01;1181484;Consolidado;N/A
B-1177723;AL-02-NOR-CONSTR-EQ;NORDESTINA;2;ALDAIR;Em execução;Pendente;LV + ENERGZ;2 N1 C/ REGUL;;212;18 76486;AL/MELHORAMENTO;PLANO 1;;;;;;;;0;100%;;jul./1;R$ 388.702,22;4.556,63;11/06/2025;12/07/2025;;DICSON;;21/07/2025;;TRUE;TRUE;;;D026487;-10,8273031;-39,4923821;SENHOR DO BONFIM;2025-07-01;1177723;Consolidado;N/A
B-1193545;AL QDD-09S4-CONSTRUCAO;NORDESTINA;71;ALDAIR + BIGODE;Em execução;Pendente;LV + ENERGZ;1 N1-3, 3 N1, 1 N4;;NÃO É POSSIVEL DESL;;AL/MELHORAMENTO;PLANO 1;;;;;;;;0;100%;;jul./1;R$ 1.035.467,34;164.125,47;07/07/2025;31/07/2025;;DICSON;;07/07/2025;;TRUE;TRUE;;;D714585;-10,7779993;-39,5615471;SENHOR DO BONFIM;2025-07-01;1193545;Consolidado;N/A
B-1200672;RR-CIND-POV-JUA-S O BENTO;MONTE SANTO;5;JOSE;Energizada;;DESL;;;Terminar estruturas AVIFAUNA;26 79559;SOLICITAÇÃO ATENDIMENTO;PLANO 7;0;;;;;;;0;100%;;jun./1;R$ 119.404,34;;;;;DICSON;;SACADO JUNHO;;TRUE;TRUE;;;Q022985;-10,2054067;-40,5745999;SENHOR DO BONFIM;2025-07-01;1200672;Consolidado;N/A
B-1176389;AL-NOR-01N1-RECOND-EQUIPAMENTO;NORDESTINA;2;ALDAIR;Em execução;Pendente;LV + ENERGZ;2 N1 C/ REGUL;;NÃO É POSSIVEL DESL;;AL/MELHORAMENTO;PLANO 1;;;;;;;;0;100%;;jul./1;R$ 390.193,62;;18/07/2025;19/07/2025;;DICSON;;21/07/2025;;TRUE;;;;Q095587;-10,743699;-39,4443619;SENHOR DO BONFIM;2025-07-01;1176389;Consolidado;N/A
B-1165914;EQ-COEL-RUA-MARCOS DE JESUS-ALTO DAS POP;NORDESTINA;2;ALDAIR;Em execução;Pendente;LV + ENERGZ;2 N1 E RELOC REGUL;;NÃO É POSSIVEL DESL;;AL/MELHORAMENTO;PLANO 8;;;;;;;;0;100%;;jul./1;R$ 114.607,64;;28/07/2025;29/07/2025;;DICSON;;21/07/2025;;TRUE;;;;Q095459;-10,6886805;-39,4846989;SENHOR DO BONFIM;2025-07-01;1165914;Consolidado;N/A
B-1043096;MP-CCOL-FAZ-LAGOA DO CORREDOR-RURAL;MONTE SANTO;22;JOSE;Energizada;;DESL + ENERGZ;;;;25 79554;REPUTACIONAL;PLANO 14;22;;;;;;;;100%;;jun./1;R$ 257.838,10;;;;;DICSON;;15/07/2025;;TRUE;TRUE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-07-01;1043096;Consolidado;N/A
B-1132965;ER-CIND-POV-PEDREGULHO-RURAL;MONTE SANTO;8;JOSE;Energizada;;BT;;83273;;;REPUTACIONAL;PLANO 14;9;;;;;;;1;100%;;jun./1;R$ 49.487,93;;;;;DICSON;;SACADO JUNHO;;TRUE;TRUE;;;D152839;-10,6547057;-39,2549557;SENHOR DO BONFIM;2025-07-01;1132965;Consolidado;N/A
B-1172446;UB-CIND-RUA-CORONEL JO O CORDEIRO-ALTO;MONTE SANTO;3;JOSE;Energizada;;BT;;;;;REPUTACIONAL;PLANO 7;3;;;;;;;0;100%;;jul./1;R$ 18.788,59;3.674,48;08/07/2025;09/07/2025;;DICSON;;04/07/2025;;TRUE;TRUE;;;E358942;-10,4245018;-39,3344775;SENHOR DO BONFIM;2025-07-01;1172446;Consolidado;N/A
B-1203693;ER-CIND-POV-PEDREGULHO-RURAL;MONTE SANTO;3;JOSE;Energizada;;BT;;83279;;;REPUTACIONAL;PLANO 7;3;;;;;;;1;100%;;jul./1;R$ 16.584,52;5.011,48;10/07/2025;11/07/2025;;DICSON;;SACADO JUNHO;;TRUE;TRUE;;;D152864;-10,6508911;-39,2612228;SENHOR DO BONFIM;2025-07-01;1203693;Consolidado;N/A
B-1197295;ER-CIND-FAZ-PILOES-RURAL;CAMPO FORMOSO;15;LALA;Energizada;;DESL;;;REALOC TRF (Precisa implantar 2 postes e 2 vao BT antes);17 72955;QLP;PLANO 7;16;;;;;;;14;100%;;jul./1;R$ 73.043,81;29.383,43;07/07/2025;17/07/2025;;JOAO;;09/07/2025;;TRUE;TRUE;;;B062471;-10,4642887;-40,3590396;SENHOR DO BONFIM;2025-07-01;1197295;Consolidado;N/A
B-1146608;ER-CIND-FAZ-PILOES-RURAL;CAMPO FORMOSO;16;LALA;Energizada;Pendente;LV + ENERGZ;N1-3 CHP;;NÃO É POSSIVEL DESL;;RECLAMAÇÃO;PLANO 14;15;;;;;;;7;100%;;jul./1;R$ 109.138,53;27.801,99;18/07/2025;25/07/2025;;JOAO;;09/07/2025;;TRUE;TRUE;;;D520441;-10,4772578;-40,3530188;SENHOR DO BONFIM;2025-07-01;1146608;Consolidado;N/A
B-1158477;RR-SEIN-FAZ-SANTA TEREZA-POV ALECRIM;QUEIMADAS;18;RAEL;Em execução;Pendente;LV + ENERGZ;N3/N4 C/ CHP;;38 UC'S;26 79558;GOVERNO;PLANO 14;;;;;;;;1;100%;;jul./1;R$ 157.067,04;26.192,67;16/07/2025;22/07/2025;;DICSON;;14/07/2025;;TRUE;TRUE;;;D582546;-11,047114;-39,7604503;SENHOR DO BONFIM;2025-07-01;1158477;Consolidado;N/A
B-1155338;ER-COEL-FAZ-RIO DO PEIXE-RURAL-QUEIMADAS;QUEIMADAS;40;MARCELO;Energizada;Pendente;LV + ENERGZ;N1-3 S/ CHP;;0 UC'S;29 80518;GOVERNO;PLANO 14;42;;;;;;;3;100%;;jul./1;R$ 272.368,57;67.014,85;23/07/2025;31/07/2025;;DICSON;;14/07/2025;;TRUE;TRUE;;;E518179;-11,0588737;-39,5505086;SENHOR DO BONFIM;2025-07-01;1155338;Consolidado;N/A
B-1090074;MP CIND FAZ MUCAMBO RURAL;QUEIMADAS;15;MARCELO;Energizada;Pendente;LV + ENERGZ;LV N3/4 CHP;;68 UCS;22 78013;PRIORIDADE PLANO ANEEL;PLANO 14;21;;;;;;;1;100%;;jun./1;R$ 126.511,97;;;;;DICSON;;SACADO JUNHO;;TRUE;TRUE;;;D186221;-11,1253775;-39,9327972;SENHOR DO BONFIM;2025-07-01;1090074;Consolidado;N/A
B-1155419;ER-SEIN-POV-CANCELAS-RURAL;QUEIMADAS;23;RAEL;Energizada;Pendente;LV + ENERGZ;N3/N4 S/ CHP;;69 UC'S;24 79046;GOVERNO;PLANO 7;23;;;;;;;4;100%;;jul./1;R$ 170.766,30;38.724,60;07/07/2025;15/07/2025;;DICSON;;07/07/2025;;TRUE;TRUE;;;P367324;-11,0787966;-39,5842949;SENHOR DO BONFIM;2025-07-01;1155419;Consolidado;N/A
B-1108950;ER-CIND-FAZ-CARPINTARIA-NCL PILAR-RURAL;JAGUARARI;8;REGINALDO;Energizada;;BT;;;;;REPUTACIONAL;PLANO 14;9;;;;;;;5;100%;;jul./1;R$ 43.099,10;13.405,26;07/07/2025;10/07/2025;;JOAO;;03/07/2025;;TRUE;TRUE;;;B977291;-9,9009181;-39,9627596;SENHOR DO BONFIM;2025-07-01;1108950;Consolidado;N/A
B-1195324;ER-CIND-RUA-DO CAMPO-CENTRO;ANTONIO GONCALVES;2;WAGNER;Energizada;;BT;;;;;OBRA +;PLANO 7;2;;;;;;;1;100%;;jul./1;R$ 9.811,92;;;;;JOAO;;12/07/2025;;TRUE;TRUE;FALSE;FALSE;D002794;-10,584679;-40,19565;SENHOR DO BONFIM;2025-07-01;1195324;Consolidado;N/A
B-1185391;ER-CIND-POV-NOVO HORIZONTE-N HORIZONTE;FILADÉLFIA;3;WAGNER;Energizada;;BT;;;;;OBRA +;PLANO 7;3;;;;;;;1;100%;;jul./1;R$ 18.054,49;;;;;JOAO;;12/07/2025;;TRUE;TRUE;FALSE;FALSE;D091313;-10,663457;-40,145658;SENHOR DO BONFIM;2025-07-01;1185391;Consolidado;N/A
B-1188766;ER-SEIN-ROD-LOMANTO JR-PASSAGEM VELHA;SENHOR DO BONFIM;3;WAGNER;Energizada;;BT;;;;;OBRA +;PLANO 7;3;;;;;;;1;100%;;jul./1;R$ 16.746,53;;;;;JOAO;;12/07/2025;;TRUE;TRUE;FALSE;FALSE;D922253;-10,494315;-40,161061;SENHOR DO BONFIM;2025-07-01;1188766;Consolidado;N/A
B-1209307;UB-CIND-RUA-LESTE BRASILEIRO-CENTRO-SENH;SENHOR DO BONFIM;2;WAGNER;Energizada;;BT;;;;;OBRA +;PLANO 7;2;;;;;;;1;100%;;jul./1;R$ 13.029,84;;;;;JOAO;;12/07/2025;;TRUE;TRUE;FALSE;FALSE;Q040580;-10,453306;-40,190138;SENHOR DO BONFIM;2025-07-01;1209307;Consolidado;N/A
B-1200655;IP-SEIN-POV-DISTRITO DE QUICE-RURAL-QUIC;SENHOR DO BONFIM;67;WAGNER;Energizada;Realizado;LV + ENERGZ;N1-3 C/ CHP;;NÃO É POSSIVEL DESL;;GOVERNO;PLANO 7;67;;;;;;;0;100%;;jul./1;R$ 455.027,69;;16/06/2025;12/07/2025;;JOAO;;SACADO JUNHO;;TRUE;TRUE;;;Q049739;-10,5067374;-40,0884618;SENHOR DO BONFIM;2025-07-01;1200655;Consolidado;N/A
