NOTA;PROJETO;TÍTULO;MUNICIPIO;PLANO;CRITERIO;PSTP;PST EXEC;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;INICIO;FIM;FAIXA;COORD;Carteira;STATUS 1;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102166668;B-1185144;ER-CIND-POV-TANQUE DAS VARAS-831;ANDORINHAS;;PRIORIDADE PLANO ANEEL;4;;1;;;;;REGINALDO;2025-03-26 00:00:00;2025-03-27 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1185144;Consolidado;N/A
9102039781;B-1134925;UB-CIND-RUA-DO CURRAL-CENTRO-ANDORINHA;ANDORINHAS;;ESTRATÉGICA;1;;1;;;;;REGINALDO;2025-03-28 00:00:00;2025-03-28 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1134925;Consolidado;N/A
9102159387;B-1183437;ER-CIND-POV-LARANJEIRAS-RURAL;ANTÔNIO GONÇALVES;;PRIORIDADE PLANO ANEEL;8;9;0;4;;2025-03-19 00:00:00;DICSON;REGINALDO;2025-03-20 00:00:00;2025-03-22 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183437;Consolidado;N/A
9101691568;B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;;REPUTACIONAL;324;;27;;;;;EDVALDO + ALDAIR ;2025-01-15 00:00:00;2025-03-31 00:00:00;ACIMA 100 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1044483;Consolidado;N/A
9101864792;B-1060807;LD-CIND-POV RDP-RIACHO DAS PEDRAS-CSC;CANSANÇÃO;;REPUTACIONAL;11;11;3;5;;2025-03-26 00:00:00;ALAN;ANAILTON ;2025-03-10 00:00:00;2025-03-15 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1060807;Consolidado;N/A
9102050747;B-1137977;ER-CIND-POV-LAGE DA GAMELEIRA-RURAL;CANSANÇÃO;;SOLICITAÇÃO ATENDIMENTO;37;35;1;1;;2025-03-21 00:00:00;ALAN;ANAILTON ;2025-03-17 00:00:00;2025-03-24 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1137977;Consolidado;N/A
9102165518;B-1183187;ER-CIND-POV-DEIXAI 7-RURAL;CANSANÇÃO;;PRIORIDADE PLANO ANEEL;3;2;1;2;;2025-03-26 00:00:00;DICSON;GESONI ;2025-03-10 00:00:00;2025-03-12 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183187;Consolidado;N/A
9102156278;B-1179724;UB-CIND-RUA-ANTONIO JOSE -CENTRO;CANSANÇÃO;;JUDICIAL;1;1;0;2;;2025-03-07 00:00:00;ALAN;ANAILTON ;2025-02-13 00:00:00;2025-03-13 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1179724;Consolidado;N/A
9102157683;B-1181422;UB-CIND-RUA-JOSE BELAU -TAPERA;CANSANÇÃO;;PRIORIDADE PLANO ANEEL;1;1;0;1;;2025-03-21 00:00:00;DICSON;GESONI ;2025-03-14 00:00:00;2025-03-14 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1181422;Consolidado;N/A
9101947893;B-1100808;ER-CIND-FAZ-MALHADOR-RURAL;FILADÉLFIA;;AIC OBJETIVO;6;9;0;1;;2025-03-21 00:00:00;DICSON;GESONI ;2025-03-13 00:00:00;2025-03-14 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1100808;Consolidado;N/A
9102091854;B-1152231;UB-CIND-RUA DO POSTO 237-CENTRO-JACARE;FILADÉLFIA;;PRIORIDADE PLANO ANEEL;3;3;1;1;;2025-03-10 00:00:00;DICSON;GESONI ;2025-03-10 00:00:00;2025-03-10 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1152231;Consolidado;N/A
9102163012;B-1180582;ER-CCOL-FAZ-ALAGADICO DE CIMA-RURAL;FILADÉLFIA;;PRIORIDADE PLANO ANEEL;4;4;1;1;;2025-03-12 00:00:00;DICSON;JOILSON;2025-03-11 00:00:00;2025-03-12 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1180582;Consolidado;N/A
9101581073;B-0972525;MP-CIND-POV ITAPICURU-ITAPICURU;ITIÚBA;;GOVERNO;34;;2;;;;;GESONI ;2025-03-21 00:00:00;2025-03-31 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;0972525;Consolidado;N/A
9102041389;B-1134653;ER-GOVE-FAZ-ALAGOAS-ALAGOAS;ITIÚBA;;GOVERNO;53;;4;;;;;WAGNER;2025-03-13 00:00:00;2025-03-31 00:00:00;51-100 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1134653;Consolidado;N/A
9102164106;B-1183295;ER-CIND-POV-ALAGADICO-TAQUARI;ITIÚBA;;PRIORIDADE PLANO ANEEL;2;2;1;1;;2025-03-13 00:00:00;ALAN;ISRAEL ;2025-03-07 00:00:00;2025-03-08 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183295;Consolidado;N/A
9100436184;B-0592367;MP-CCOL-POV.VARZEA DE FORA-RURAL;ITIÚBA;;REPUTACIONAL;21;21;2;2;;2025-03-29 00:00:00;ALAN;ISRAEL ;2025-03-24 00:00:00;2025-03-28 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;0592367;Consolidado;N/A
9101065082;B-0812057;MP CIND ASSENTAMENTO CASSATINGA-RURAL;ITIÚBA;;REPUTACIONAL;15;15;2;2;;2025-03-21 00:00:00;ALAN;ISRAEL ;2025-03-19 00:00:00;2025-03-22 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;0812057;Consolidado;N/A
9102134160;B-1176815;RR-CIND POV V COMPRIDA VARZEA COMPRIDA;ITIÚBA;;REPUTACIONAL;22;;4;;;;;ISRAEL ;;;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1176815;Consolidado;N/A
9102161712;B-1184688;ER-CIND-POV-VARZEA FORMOSA 51-RURAL;ITIÚBA;;PRIORIDADE PLANO ANEEL;0;0;1;1;;2025-03-25 00:00:00;DICSON;GESONI ;2025-03-19 00:00:00;2025-03-19 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1184688;Consolidado;N/A
9102168025;B-1184422;ER-CIND-POV-BOM DESPACHO-BOM DESPACHO;ITIÚBA;;PRIORIDADE PLANO ANEEL;5;;1;;;;;WAGNER;2025-03-10 00:00:00;2025-03-12 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1184422;Consolidado;N/A
9102154740;B-1183866;ER-CIND-POV-PONTA BAIXA 36-RURAL;ITIÚBA;;PRIORIDADE PLANO ANEEL;2;;1;;;;;ISRAEL ;2025-03-08 00:00:00;2025-03-11 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183866;Consolidado;N/A
9102156891;B-1183673;ER-CIND-RUA-DA IGREJA -ADRO S  GONCALO;ITIÚBA;;RECLAMAÇÃO;1;;1;;;;;ISRAEL ;2025-03-06 00:00:00;2025-03-11 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183673;Consolidado;N/A
9102106139;B-1158239;ER-CIND-POV-CARRAPATO-RURAL;ITIÚBA;;PRIORIDADE PLANO ANEEL;7;7;4;4;;2025-03-14 00:00:00;DICSON;GESONI ;2025-03-17 00:00:00;2025-03-19 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1158239;Consolidado;N/A
9102162613;B-1183391;ER-CIND-POV-CARRAPATO-CARRAPATO;ITIÚBA;;PRIORIDADE PLANO ANEEL;2;2;2;2;;2025-03-14 00:00:00;DICSON;GESONI ;2025-03-17 00:00:00;2025-03-19 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183391;Consolidado;N/A
9102132348;B-1164780;UB-CIND-RUA-JOAO AVELINO SILVA-CENTRO;ITIÚBA;;PRIORIDADE PLANO ANEEL;7;;11;;;;;ISRAEL ;2025-03-07 00:00:00;2025-03-12 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1164780;Consolidado;N/A
9102153949;B-1182772;ER-CIND-POV-CAJARANA-SIITO DO FELIX;ITIÚBA;;PRIORIDADE PLANO ANEEL;1;1;1;1;;2025-03-21 00:00:00;DICSON;GESONI ;2025-03-20 00:00:00;2025-03-20 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1182772;Consolidado;N/A
9102123724;B-1163339;LD CIND POV JOCUNA RURAL;JAGUARARI;;ESTRATÉGICA;6;;6;;;;;REGINALDO;2025-03-21 00:00:00;2025-03-25 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1163339;Consolidado;N/A
9102074760;B-1142637;ER-CIND-POV-GAMELEIRA-RURAL;JAGUARARI;;SOLICITAÇÃO ATENDIMENTO;1;1;0;1;;2025-03-19 00:00:00;DICSON;REGINALDO;2025-03-19 00:00:00;2025-03-19 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1142637;Consolidado;N/A
9102158766;B-1180432;ER-CIND-ROD-MINA BARRINHA-RURAL;JAGUARARI;;PRIORIDADE PLANO ANEEL;1;1;1;1;;2025-03-17 00:00:00;DICSON;REGINALDO;2025-03-20 00:00:00;2025-03-20 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1180432;Consolidado;N/A
9003901510;B-0477336;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;MONTE SANTO;;REPUTACIONAL;281;;46;;;;;OSMAR ;;;ACIMA 100 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;0477336;Consolidado;N/A
9102103056;B-1152424;LD - CIND POV  PERIPERI - RURAL;MONTE SANTO;;ESTRATÉGICA;1;;1;;;;;OSMAR ;2025-03-22 00:00:00;2025-03-22 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1152424;Consolidado;N/A
9100995051;B-0787131;MP-CCOL-POV.SERRA GRANDE-RURAL;MONTE SANTO;;REPUTACIONAL;16;16;2;2;;2025-03-29 00:00:00;ALAN;OSMAR ;2025-03-24 00:00:00;2025-03-27 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;0787131;Consolidado;N/A
9102156488;B-1185105;ER-CIND-POV-PANTANAL-RURAL;MONTE SANTO;;PRIORIDADE PLANO ANEEL;3;3;1;1;;2025-03-31 00:00:00;DICSON;DIEGO;2025-03-22 00:00:00;2025-03-22 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1185105;Consolidado;N/A
9102156917;B-1184458;ER-CIND-FAZ-LAGOA DA VOLTA-RURAL;MONTE SANTO;;SOLICITAÇÃO ATENDIMENTO;7;;1;;;;;OSMAR ;2025-03-06 00:00:00;2025-03-12 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1184458;Consolidado;N/A
9101737748;B-1013407;RR-CIND-POV-TOCAS-RURAL;MONTE SANTO;;REPUTACIONAL;17;17;0;6;;2025-03-31 00:00:00;DICSON;OSMAR /GERSONI;2025-03-28 00:00:00;2025-03-31 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1013407;Consolidado;N/A
9102065832;B-1143227;ER-CIND-POV-BOM SUCESSO-I E II;MONTE SANTO;;RECLAMAÇÃO;2;;1;;;;;OSMAR ;2025-03-21 00:00:00;2025-03-21 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1143227;Consolidado;N/A
9102167589;B-1183537;ER-CIND-FAZ-POCO DANTAS-RURAL;MONTE SANTO;;PRIORIDADE PLANO ANEEL;3;;1;;;;;OSMAR ;2025-03-13 00:00:00;2025-03-13 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183537;Consolidado;N/A
9102106606;B-1157312;AC-CIND-POV-LAGOA DO SACO-RURAL;MONTE SANTO;;DIA C;5;5;4;4;;2025-03-31 00:00:00;DICSON;JOSE SILVA ;2025-03-19 00:00:00;2025-03-19 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1157312;Consolidado;N/A
9102160174;B-1183032;ER-CIND-FAZ JUREMA DO ALTO ALEGRE-RURAL;MONTE SANTO;;PRIORIDADE PLANO ANEEL;2;4;1;2;;2025-03-15 00:00:00;ALAN;OSMAR ;2025-03-14 00:00:00;2025-03-14 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1183032;Consolidado;N/A
9102162534;B-1180132;ER-CIND-POV-LAGE-RURAL;MONTE SANTO;;PRIORIDADE PLANO ANEEL;4;4;1;1;;2025-03-17 00:00:00;ALAN;OSMAR ;2025-03-06 00:00:00;2025-03-11 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1180132;Consolidado;N/A
9102151378;B-1180261;ER-CIND-POV-BOQUEIRAO 1103-RURAL;MONTE SANTO;;PRIORIDADE PLANO ANEEL;1;;1;;;;;OSMAR ;2025-03-20 00:00:00;2025-03-20 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1180261;Consolidado;N/A
9102153366;B-1182012;ER-CIND-POV-LAGE-RURAL;MONTE SANTO;;PRIORIDADE PLANO ANEEL;2;4;1;2;;2025-03-15 00:00:00;ALAN;OSMAR ;2025-03-06 00:00:00;2025-03-11 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1182012;Consolidado;N/A
9102156715;B-1181327;AC-CIND-POV-LAGOA DO SACO 62-RURAL CX TE;MONTE SANTO;;PRIORIDADE PLANO ANEEL;3;3;0;1;;2025-03-31 00:00:00;DICSON;JOSE SILVA ;2025-03-18 00:00:00;2025-03-18 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1181327;Consolidado;N/A
9101680413;B-1066471;MP-CCOL RUA DO CAMPO RURAL;NORDESTINA;;GOVERNO;29;;16;;;;;MARCELO;2025-03-24 00:00:00;2025-03-28 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1066471;Consolidado;N/A
9101774517;B-1063282;MP CIND POV FAZEDINHA RURAL;NORDESTINA;;GOVERNO;18;;4;;;;;ANAILTON ;2025-03-25 00:00:00;2025-03-29 00:00:00;16-50 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1063282;Consolidado;N/A
9102156475;B-1184767;ER-CIND-FAZ-COSTA 40-RUARAL-NORDESTINA;NORDESTINA;;PRIORIDADE PLANO ANEEL;1;1;1;1;;2025-03-07 00:00:00;ALAN;ANAILTON ;2025-03-31 00:00:00;2025-03-31 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1184767;Consolidado;N/A
9102091353;B-1152856;AC-CIND-POV-ANGIGAL-RURAL;NORDESTINA;;TRANSGRESSÃO;4;;0;;;;;MARCELO;2025-03-12 00:00:00;2025-03-13 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1152856;Consolidado;N/A
9101918653;B-1086353;LD - CIND POV  CARNAÍBA - RURAL;PINDOBAÇU;;NOVOS QUESTIONAMENTOS ANEEL;10;;4;;;;;JOSE SILVA ;2025-03-26 00:00:00;2025-03-31 00:00:00;6-15 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1086353;Consolidado;N/A
9102161705;B-1184908;ER-CIND-POV-DE LAGINHA-RURAL;PINDOBAÇU;;PRIORIDADE PLANO ANEEL;2;2;1;2;;2025-03-14 00:00:00;DICSON;JOSE SILVA ;2025-03-19 00:00:00;2025-03-19 00:00:00;0-5 POSTES;SENHOR DO BONFIM;2025-03-01;INDEFINIDO;1184908;Consolidado;N/A
