PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;PSTP;PST EXEC;STATUS 1;LV;RESUMO;OBS;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;CONCRETO;% POSTES;CAVR;% CAVAS;OBS CAVA;CLIET.;PLANO;CRITERIO;AVANÇO;CARTEIRA;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;OBRAS SIMPLIFICADAS;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1134149;LD CIND POV SÃO JOÃO DOS CAMPOS RURAL;MONTE SANTO;JOSE/OSMAR;49;44;Energizada;;LV + ENERGZ + DESL;Pendente podas;TRANS N3 P/N4;(EN) 125849 LV-148543;21/11/2025;143047;49;100%;49;100,0%;;7;PLANO 14;AIC AUDITORIA;50%;out./1;R$ 500.132,76;22/11/2025;GABRIEL;;13/10/2025;15/11/2025;;;TRUE;TRUE;;;D012482;-10,2518285, -39,466756;E875537 – E875585;;;;SENHOR DO BONFIM;2025-11-01;1134149;Consolidado;N/A
B-1181856;ER-SEIN-RUA-SERRINHA-CENTRO-NUCLEO PILAR;JAGUARARI;ALDAIR;32;32;Energizada;Pendente;LV + ENERGZ;;N1-3;145676 EN 141082 LV;;;32;100%;32;100,0%;;0;PLANO 7;GOVERNO;100%;nov./1;R$ 292.335,35;14/11/2025;JOAO;;04/11/2025;15/11/2025;07/11/2025;Sim;TRUE;TRUE;;;Q066061;-9.8720057, -39.8993768;E903108 – E903139;;;;SENHOR DO BONFIM;2025-11-01;1181856;Consolidado;N/A
B-1214079;IT-GRUA-POV-CAATINGUINHA 4545-RURAL;SENHOR DO BONFIM;JOILSON;15;0;Energizada;;DESL + LV;;5 POSTES;134442 EN 147965 LV;29/11/25;141554 e 141555 (ANEXA PEX);11;73,33333333%;6;40,0%;;0;PLANO 7;REPUTACIONAL;100%;out./1;R$ 63.731,32;;JOAO;;16/10/2025;22/11/2025;19/11/2025;Solicitado;FALSE;TRUE;FALSE;FALSE;Q043225;-10,4235329, -40,1895399;E875650 – E875665;https://drive.google.com/file/d/1bh8HQM6yOMLwUn-CLGZFYRmkXM71n8jv/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1214079;Consolidado;N/A
B-1178411;ER-CIND-FAZ-PICADA 612-RURAL;SENHOR DO BONFIM;REGINALDO;14;8;Energizada;Pendente;LV+ENER+TRNS-REDE-BT;;N3 P/N4;LV 148974   144405 EN  144406 BT;;;5;35,71428571%;14;100,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 103.316,77;20/11/2025;JOAO;;03/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;B640476;-10.5495906, -40.1246195;E902923 – E902936;https://drive.google.com/file/d/1jEcugo4ZpV19lDdeTuE4_Jm1hQLxMaFh/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1178411;Consolidado;N/A
B-0744119;MP-CIND-POV TOCA DA NOVILHA-RURAL;CAMPO FORMOSO;ISRAEL;13;10;Energizada;;LV + ENERGZ;EM SEPARAÇÃO, CONFIRMAR SE FOI 100% ATENDIDA;N3;EN 144140 LV 148250;;;15;115,3846154%;13;100,0%;5 SEM ACESSO;1;PLANO 7;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 71.171,71;28/11/2025;JOAO;;17/11/2025;29/11/2025;18/11/2025;Solicitado;;TRUE;FALSE;FALSE;Q063144;-10.4322025, -40.5640763;E903420 - E903435;https://drive.google.com/file/d/1oWaeU83Q0iOulXnQBU7NczHDQQvCzIUw/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;0744119;Consolidado;N/A
B-1186811;ER-CIND-ROD-LOMANTO JUNIOR-RURAL;JAGUARARI;WAGNER;12;11;Energizada;;LV+BT+ENERG;CAVAS PRONTAS;N3;BT 139516 EN 139528 LV 141488 ;;;12;100%;;0,0%;;1;PLANO 14;QLP;100%;nov./1;R$ 91.528,91;;JOAO;;10/11/2025;15/11/2025;11/11/2025;Sim;TRUE;TRUE;;;D207714;-10.24054, -40.200146;E902998 – E903009;https://drive.google.com/file/d/10lPVC-geujuqFj0ABTJAP17x2AQBtAoG/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1186811;Consolidado;N/A
B-1194379;ER-CIND-FAZ-GATO-RURAL;ITIÚBA;GESONI;11;11;Energizada;;LV+ENERGIZ;Falta o cabo: CABO COBRE XLPE 35MM2 1F PRETO;N4;139329 EN 140665 LV;;;11;100%;8;72,7%;JA LOCADO KLC;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 99.025,36;;JOAO;;17/11/2025;29/11/2025;14/11/2025;Sim;TRUE;TRUE;;;E703914;-10.726086, -39.929985;E902987 – E902997;https://drive.google.com/file/d/1AnigDSDlsRefhUZx5LTXbwuZOLyDMYiA/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1194379;Consolidado;N/A
B-1162110;ER-CIND-POV-VARZEA CURRAL-RURAL;QUEIMADAS;MARCELO;10;0;Energizada;Pendente;LV+ENERGIZ;Previsão de desligamento 18/11;N1/3;134653 EN / 134701 LV;25/11/2025;143330;10;100%;10;100,0%;;1;PLANO 7;QLP;100%;nov./1;R$ 76.924,23;21/11/2025;GABRIEL;;10/11/2025;15/11/2025;10/11/2025;Sim;TRUE;TRUE;;;E461011;-11.034363, -39.604916;E902962 – E902971;https://drive.google.com/file/d/12nMbMkBMh97CYldCVJ8ZPdbQCaIFHTpX/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1162110;Consolidado;N/A
B-1174377;ER-CIND-POV-ASSENT OURICURI TORTO-RURAL;ITIÚBA;GESONI;10;10;Energizada;;LV + ENERGZ;;N4;139315 EN 140904 LV;;;10;100%;;0,0%;JA LOCADO KLC;1;PLANO 7;QLP;100%;nov./1;R$ 136.387,58;28/11/2025;JOAO;;17/11/2025;29/11/2025;14/11/2025;Sim;TRUE;TRUE;;;D074332;-10.7594899, -39.9312999;E902972 – E902981;https://drive.google.com/file/d/1w28DHwVH3siLTyp1SZe5SnYryXm_0dWg/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1174377;Consolidado;N/A
B-1197186;ER-CIND-FAZ-ANGICO-BARRINHA;JAGUARARI;ALDAIR;9;9;Energizada;;LV+BT;;N1;BT 139744 LV 145233;25/11/2025;143335;10;111,1111111%;9;100,0%;;1;PLANO 14;PRIORIDADE PLANO ANEEL;100%;nov./1;R$ 86.207,79;22/11/2025;JOAO;;17/11/2025;22/11/2025;18/11/2025;Solicitado;;TRUE;;;D394357;-9.8877005, -40.1535408;E903379 - E903388;https://drive.google.com/file/d/1ixIZgJwCMOOANj3uSY8MJ4_1ZNipv3up/view?usp=drive_link;;;SENHOR DO BONFIM;2025-11-01;1197186;Consolidado;N/A
