PROJETO_FATO;Carteira;COORD;% CAVAS;% POSTES;AR;AS BUILT;AVANÇO;AVNR;BOOK;CAVD;CAVR;CLIENT.;CLIET.;CLIET. PREV;CLIET. REAL;CONCRETO;COORDENADAS;CRITERIO;DATA DESL;DESLIG;DEVOLUÇAO;DIAS;DIAS.1;DIAS.2;DT DESL;DT. SEPARAÇÃO;ENCARREGADO;ENERGIZAÇÃO;EQPP;EQPR;FAIXA;FIM;INICIO;LAT;LATITUDE;LINK PROJETO;LONG;LONGITUDE;LV;MUNICIPIO;NOTA;Nº PES;OBRAS SIMPLIFICADAS;OBS;OBS CAVA;PERFIL;PES DESLIG;PES S/I;PG'S;PLANO;PROJETO;PRÉ FECHAMENTO;PST EXEC;PSTP;PV. FIM;PV. INICIO;PV. INÍCIO;RDEP;RDER;REFERÊNCIA;RESERVA;RESUMO;RESUMO LV;SACADO;STATUS;SUPERVISOR;TÍTULO;V. PRJ 25%;V. PROJETO;V. REAL;VISITA PRÉVIA
1121813;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;11;;;;REPUTACIONAL;;;;;;;;;;;;;;;;;;;;;;QUEIMADAS;;;;;;ACIMA 100 POSTES;;;;;B-1121813;;;109;2025-01-31 00:00:00;;;;;;;;;;NÃO DEFINIDO;;MP-CCOL-POV.SANTO EUSEBIO-RURAL;;1299165.01;;
1112875;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;0;;;;GOVERNO;;;;;;;;;;;;;;;;;;;;;;NORDESTINA;;;;;;16-50 POSTES;;;;;B-1112875;;;45;2025-01-31 00:00:00;;;;;;;;;;NÃO DEFINIDO;;ER-CCOL-FAZ-CALDEIR O DO COXO-RURAL;;490292.56;;
1140841;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;REPUTACIONAL;;;;;;;;;ANAILTON;2025-01-17 00:00:00;;;;;;;;;;;;NORDESTINA;9102074591;;;;;0-5 POSTES;;;;;B-1140841;;3;3;2025-01-10 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;IT-CIND-AV-LUIZ EDU. MAGALHAES-CENTRO;;28425.29;;
1113890;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;3;4;;;GOVERNO;;;;;;;;;ANAILTON;2025-01-24 00:00:00;;;;;;;;;;;;CANSANÇÃO;;;;;;16-50 POSTES;;;;;B-1113890;;30;30;2025-01-18 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;ER-SEIN-POV-LAGOA DO CURRAL-RURAL;;214459.58;;
1158254;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;;;;SOLICITAÇÃO ATENDIMENTO;;;;;;;;;ANAILTON;2025-01-23 00:00:00;;;;;;;;;;;;CANSANÇÃO;;;;;;6-15 POSTES;;;;;X-1158254;;6;6;2025-01-20 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;UB-CIND-AV- MONTE SANTO-99;;77522.55;;
1089356;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;3;;;;REPUTACIONAL;;;;;;;;;;;;;;;;;;;;;;QUEIMADAS;;;;;;16-50 POSTES;;;;;B-1089356;;;43;2025-01-31 00:00:00;;;;;;;;;;NÃO DEFINIDO;;MP-CCOL-FAZ.VARZEA DA NOVILHA RURAL;;356018.91;;
0477336;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;46;;;;REPUTACIONAL;;;;;;;;;;;;;;;;;;;;;;MONTE SANTO;;;;;;;;;;;B-0477336;;;281;2025-02-27 00:00:00;;;;;;;;;;NÃO DEFINIDO;;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;;1073081.49;;
1128973;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;2;;;;QLP;;;;;;;;;;;;;;;;;;;;;;MONTE SANTO;;;;;;16-50 POSTES;;;;;B-1128973;;;17;2025-01-17 00:00:00;;;;;;;;;;NÃO DEFINIDO;;MP CIND POV QUEIMADA GRANDE RURAL;;138101.08;;
1113285;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;1;1;;;NOVOS QUESTIONAMENTOS ANEEL;;;;;;;;;OSMAR;2025-01-30 00:00:00;;;;;;;;;;;;MONTE SANTO;;;;;;6-15 POSTES;;;;;B-1113285;;8;8;2025-01-24 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;ER-CIND-POV-VILA NOVA-VILA NOVA;;71298.86;;
1053426;01/01/2025;SENHOR DO BONFIM;;;;;;;;;;;;5;7;;;REPUTACIONAL;;;;;;;;;ISRAEL;2025-01-31 00:00:00;;;;;;;;;;;;ITIÚBA;;;;;;16-50 POSTES;;;;;B-1053426;;25;26;2025-01-17 00:00:00;;;;;;;;;;NÃO DEFINIDO;DICSON;MP-CCOL-POV GATO-RURAL;;105541.05;;
