NOTA;PROJETO;TÍTULO;MUNICÍPIO;PLANO;CRITÉRIO;POSTES PREV;POSTES REAL;CLIET. PREV;CLIET. REAL;V. PROJETO;ENERGIZAÇÃO;SUPERVISOR;ENCARREGADO;INICIO;FIM;PERFIL;ORIGEM_ETL;FAIXA;TITULO;MUNICIPIO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PSTR;EQPP;EQPR;RDEP;RDER;AVNP;AVNR;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;V. REAL;RESUMO LV;Nº PES;DATA DESL;CRITERIO;COORDENADAS;PG'S;LINK PROJETO;CONCRETO;% POSTES;% CAVAS;OBS CAVA;CAT;DT DESL;AS BUILT;DEVOLUÇAO;CLIENT.;CART;DESLIG;DIAS;DIAS.1;BOOK;DIAS.2;LAT;LONG
;B-1121813;MP-CCOL-POV.SANTO EUSEBIO-RURAL;QUEIMADAS;;REPUTACIONAL;109;;11;;1299165.01;;;;;2025-01-31 00:00:00;ACIMA 100 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1112875;ER-CCOL-FAZ-CALDEIR O DO COXO-RURAL;NORDESTINA;;GOVERNO;45;;0;;490292.56;;;;;2025-01-31 00:00:00;16-50 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102074591;B-1140841;IT-CIND-AV-LUIZ EDU. MAGALHAES-CENTRO;NORDESTINA;;REPUTACIONAL;3;3;1;1;28425.29;2025-01-17 00:00:00;DICSON;ANAILTON;;2025-01-10 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1113890;ER-SEIN-POV-LAGOA DO CURRAL-RURAL;CANSANÇÃO;;GOVERNO;30;30;3;4;214459.58;2025-01-24 00:00:00;DICSON;ANAILTON;;2025-01-18 00:00:00;16-50 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1158254;UB-CIND-AV- MONTE SANTO-99;CANSANÇÃO;;SOLICITAÇÃO ATENDIMENTO;6;6;1;;77522.55;2025-01-23 00:00:00;DICSON;ANAILTON;;2025-01-20 00:00:00;6-15 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1089356;MP-CCOL-FAZ.VARZEA DA NOVILHA RURAL;QUEIMADAS;;REPUTACIONAL;43;;3;;356018.91;;;;;2025-01-31 00:00:00;16-50 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-0477336;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;MONTE SANTO;;REPUTACIONAL;281;;46;;1073081.49;;;;;2025-02-27 00:00:00;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1128973;MP CIND POV QUEIMADA GRANDE RURAL;MONTE SANTO;;QLP;17;;2;;138101.08;;;;;2025-01-17 00:00:00;16-50 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1113285;ER-CIND-POV-VILA NOVA-VILA NOVA;MONTE SANTO;;NOVOS QUESTIONAMENTOS ANEEL;8;8;1;1;71298.86;2025-01-30 00:00:00;DICSON;OSMAR;;2025-01-24 00:00:00;6-15 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1053426;MP-CCOL-POV GATO-RURAL;ITIÚBA;;REPUTACIONAL;26;25;5;7;105541.05;2025-01-31 00:00:00;DICSON;ISRAEL;;2025-01-17 00:00:00;16-50 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1053427;MP-CCOL-FAZ OLHOS DAGUA-RURAL;ITIÚBA;;REPUTACIONAL;11;;3;;65807.63;;;;;2025-01-24 00:00:00;6-15 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1168522;ME-COEL-AV-ROGERIO BENTO PITANGA 99999;ITIÚBA;;RECLAMAÇÃO;0;0;0;1;29834.15;2025-01-22 00:00:00;DICSON;ALDAIR;;2025-01-20 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1085264;MP CIND RUA DA LINHA PINDOBAÇU RURAL;PINDOBAÇU;;NOVOS QUESTIONAMENTOS ANEEL;39;41;11;18;366503.58;2025-01-31 00:00:00;DICSON;REGINALDO;;2025-01-24 00:00:00;16-50 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1161107;RC-GOVE-RUA-CARNAIBA DE BAIXO-RURAL;PINDOBAÇU;;REPUTACIONAL;3;1;0;0;65125.21;2025-01-30 00:00:00;DICSON;JOSE SILVA;;2025-01-17 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-0948330;RR-CIND-POV JIBOIA ZU-RL ANTO GON ALVES;ANTÔNIO GONÇALVES;;REPUTACIONAL;3;3;1;1;17004.96;2024-01-09 00:00:00;DICSON;JOSE SILVA;;2025-01-14 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1139377;ER-CIND-POV-BREJAO DA GROTA 530-RURAL;ANTÔNIO GONÇALVES;;RECLAMAÇÃO;2;2;1;1;31019.1;2025-01-09 00:00:00;DICSON;VAGNER;;2025-01-16 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1114986;IP-CCOL-AV-CONTORNO-CENTRO-TIJUACU;SENHOR DO BONFIM;;REPUTACIONAL;68;68;0;0;461717.75;2025-01-31 00:00:00;DICSON;GERSONI;;2025-01-31 00:00:00;51-100 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-0952864;RI-SEIN-POV-TANQUINHO DE CIMA-RURAL-TANQ;SENHOR DO BONFIM;;REPUTACIONAL;28;28;0;1;123130.57;2025-01-27 00:00:00;DICSON;JOILSON;;2025-01-24 00:00:00;16-50 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1024130;RR-CIND-POV-VARZEA DOS PATOS-RURAL;FILADÉLFIA;;REPUTACIONAL;7;7;2;2;54185.57;2025-01-21 00:00:00;DICSON;JOSE SILVA;;2025-01-10 00:00:00;6-15 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1093839;AC-CIND-POV  TANQUINHO DO POÇO-RURAL;ANDORINHAS;;SOLICITAÇÃO ATENDIMENTO;1;0;1;1;25421.07;2025-01-09 00:00:00;DICSON;REGINALDO;;2025-01-20 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1094402;AC-PREF-AV-CARLOS HUMBERTO FILHO-MEDRADO;ANDORINHAS;;SOLICITAÇÃO ATENDIMENTO;0;0;1;1;2158.36;2025-01-23 00:00:00;DICSON;REGINALDO;;2025-01-17 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1160430;ER-CIND-RUA-DO MATADOURO 95-CATUNY;JAGUARARI;;RECLAMAÇÃO;1;;1;;9171.67;;;;;2025-01-09 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1073129;ER-CCOL-POV-GAMELEIRA-GAMELEIRA;ANDORINHAS;;REPUTACIONAL;5;6;6;6;15032.02;2025-01-24 00:00:00;DICSON;REGINALDO;;2025-01-13 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;X-1131409;AC-CIND-AV-ANTONIO LAURINDO-CENTRO;SENHOR DO BONFIM;;REPUTACIONAL;2;2;1;1;42042.49;2025-01-28 00:00:00;WESLEY;JOILSON;;2025-01-19 00:00:00;0-5 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;;REPUTACIONAL;324;;27;;3518237.37;;;;;2025-03-31 00:00:00;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-0914747;RU-CCOL-FAZ GENIO-RURAL-CRB;CAMPO FORMOSO;;JUDICIAL;96;;10;;660273.67;;;;;2025-01-31 00:00:00;51-100 POSTES;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1156377;AC-CIND-LOT-RIO DA PRATA-MISSAO DO SAHY;SENHOR DO BONFIM;;;;5;;1;;2025-01-11 00:00:00;DICSON;REGINALDO;;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102124526;B-1158654;ER-CIND-POV-FOLHA LARGA-RURAL;CAMPO FORMOSO;;JUDICIAL;6;6;1;1;;2025-01-22 00:00:00;ALAN;VAGNER;2024-12-17 00:00:00;2024-12-19 00:00:00;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1140793;ER-CIND-POV-SANTO ANTONIO-RURAL;FILADÉLFIA;;;;0;;0;;2025-01-28 00:00:00;DICSON;GERSONI;;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101905218;B-1121963;IT-GRUA-POV-CONSORCIO BA SOLAR 2-RURAL;FILADÉLFIA;;;65;63;;1;1172396;2025-01-25 00:00:00;DICSON;GERSONI;;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1183001;ER-CIND-POV-CARIACA DE CIMA-CARIACA;SENHOR DO BONFIM;;;;4;;1;;2025-01-29 00:00:00;WESLEY;JOILSON;;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1121944;ER-CIND-FAZ-BOM SUCESSO-ROMULO CAMPOS;ITIÚBA;;;;0;;1;;2025-01-30 00:00:00;DICSON;ALDAIR;;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1033879;ER-CIND-FAZ-VARZINHA-ROMULO CAMPOS;ITIÚBA;;;;4;;4;;2025-01-30 00:00:00;DICSON;ALDAIR;;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1155045;ER-CCOL-POV-TEIU-RURAL;SENHOR DO BONFIM;;;;4;;2;;2025-01-16 00:00:00;DICSON;REGINALDO;;;;Janeiro 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
