PROJETO;TITULO;MUNICIPIO;ENCARREGADO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PST EXEC;EQPP;EQPR;RDEP;RDER;AVANÇO;AVNR;PLANO;V. PROJETO;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;ENERGIZAÇÃO;SUPERVISOR;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;ALDAIR + EDVALDO;Energizada;Realizado;*;;LV + ENERG;;27;;;323;0;;;;;100%;0%;PLANO 14;R$ 3.522.354,62;R$ 880.588,66;abr./25;01/03/2025;05/04/2025;30/04/2025;JOÃO;HIAGO;01/03/2025;;TRUE;TRUE;FALSE;FALSE;D010745;-9.9124989;-40.6843068;SENHOR DO BONFIM;2025-04-01;1044483;Consolidado;N/A
B-1127905;RR-CCOL-POV-BARAUNA-RURAL;ANDORINHAS;JOSE SILVA;Em execução;Pendente;45474/45475;;LV + ENERG;;4;;;38;0;;;;;50%;0%;PLANO 14;R$ 259.844,28;R$ 64.961,07;abr./25;03/04/2025;26/05/2025;;JOÃO;DIORLAN;08/04/2025;Sim;TRUE;TRUE;FALSE;FALSE;D565526;-10.2215332;-39.9953837;SENHOR DO BONFIM;2025-04-01;1127905;Consolidado;N/A
B-1160399;UB-CIND-RUA-ANA IZABEL MUNIZ-CENTRO;FILADÉLFIA;BADU;Energizada;Realizado;;32528 09/04;DESLG. 09/04 + LV;;1;;;4;0;;;;;100%;0%;PLANO 7;R$ 114.492,27;R$ 28.623,07;abr./25;07/04/2025;09/04/2025;09/04/2025;JOÃO;LUDIMILA;07/04/2025;;TRUE;TRUE;TRUE;FALSE;Q053010;-10.7406578;-40.1320495;SENHOR DO BONFIM;2025-04-01;1160399;Consolidado;N/A
B-1152424;LD - CIND POV PERIPERI - RURAL;MONTE SANTO;GESONI;Energizada;Realizado;;;LV + ENERGIZAÇÃO;;1;;;1;1;;;;;100%;0%;PLANO 7;R$ 33.804,70;R$ 8.451,18;mar./25;01/03/2025;31/03/2025;04/04/2025;DICSON;ADISON;;;TRUE;TRUE;TRUE;FALSE;A189384;-10,5117465;-39,5420435;SENHOR DO BONFIM;2025-04-01;1152424;Consolidado;N/A
B-1078156;LD CIND POV ALAGADIÇO RURAL JQR;JAGUARARI;BADU;Energizada;Pendente;2025-39888/2025-39889;;LV + ENERG;;1;;;13;0;;;;;100%;0%;PLANO 14;R$ 97.029,27;R$ 24.257,32;abr./25;02/04/2025;11/04/2025;30/04/2025;JOÃO;DIORLAN;10/04/2025;Sim;TRUE;TRUE;FALSE;FALSE;D179260;-10.0647744;-40.1924558;SENHOR DO BONFIM;2025-04-01;1078156;Consolidado;N/A
B-1179348;ER-CCOL-ET-ADUTORA MINA CARAIBA-RURAL;JAGUARARI;BADU;Energizada;Realizado;;;LV + ENERG;;1;;;6;0;;;;;100%;0%;PLANO 7;R$ 40.852,13;R$ 10.213,03;abr./25;01/04/2025;12/04/2025;04/04/2025;JOÃO;DIORLAN;01/04/2025;;TRUE;TRUE;FALSE;FALSE;Q067034;-9.8123444;-40.003984;SENHOR DO BONFIM;2025-04-01;1179348;Consolidado;N/A
B-1123289;ER-CIND-POV-PARELHA-RURAL;CANSANÇÃO;ANAILTON;Energizada;Realizado;45398/45399;;LV + ENERG;;1;;;13;0;;;;;100%;0%;PLANO 7;R$ 130.029,31;R$ 32.507,33;abr./25;01/04/2025;08/04/2025;30/04/2025;DICSON;GUTEMBERG;07/04/2025;;TRUE;TRUE;FALSE;FALSE;D189057;-10.6269935;-39.5479689;SENHOR DO BONFIM;2025-04-01;1123289;Consolidado;N/A
B-1093080;ER-CCOL-FAZ-VARZEA NOVA-RURAL;PINDODAÇU;BADU;Energizada;Realizado;;;LV + ENERGIZAÇAO;;5;;;6;0;;;;;100%;0%;PLANO 14;R$ 51.709,46;R$ 12.927,37;abr./25;07/04/2025;18/04/2025;30/04/2025;JOÃO;ANDERSON;02/04/2025;;TRUE;TRUE;FALSE;FALSE;D595807;-10,7519593;-40,3589326;SENHOR DO BONFIM;2025-04-01;1093080;Consolidado;N/A
B-1143227;ER-CIND-POV-BOM SUCESSO-I E II;MONTE SANTO;GESONI;Energizada;Realizado;;;LV + ENERGIZAÇÃO;;1;;;2;2;;;;;100%;0%;PLANO 14;R$ 22.819,74;R$ 5.704,94;mar./25;01/03/2025;31/03/2025;03/04/2025;DICSON;ADISON;;;TRUE;TRUE;TRUE;FALSE;D196167;-10,3721488;-39,1971232;SENHOR DO BONFIM;2025-04-01;1143227;Consolidado;N/A
B-1134653;ER-GOVE-FAZ-ALAGOAS-ALAGOAS;ITIÚBA;ISRAEL;Em execução;Pendente;45476/45479;;LV + ENERG;;4;;;53;0;;;;;100%;0%;PLANO 14;R$ 449.784,53;R$ 112.446,13;abr./25;02/04/2025;26/04/2025;;JOÃO;LUDIMILA;07/04/2025;;TRUE;TRUE;FALSE;FALSE;D200297;-10.5937937;-39.7930004;SENHOR DO BONFIM;2025-04-01;1134653;Consolidado;N/A
B-1159887;ME-COEL-RUA-CANDIDO FONSECA-MERCADO;SENHOR DO BONFIM;BADU;Energizada;;;39581 23/04;DESLIG. TROCA DE TF + BARRAMENTO 03/04;;0;;;0;0;;;;;100%;0%;PLANO 8;R$ 35.446,09;R$ 8.861,52;abr./25;03/04/2025;03/04/2025;30/04/2025;JOÃO;FERNANDA;01/04/2025;;TRUE;TRUE;TRUE;FALSE;Q042701;-10.4578204;-40.1812621;SENHOR DO BONFIM;2025-04-01;1159887;Consolidado;N/A
B-1148579;ER-CIND-RUA-CATUNY-CENTRO-ESTIVA;SENHOR DO BONFIM;BADU;Energizada;Realizado;45461;;LV + DESLG (Não Precisa de LV);;1;;;1;0;;;;;100%;0%;PLANO 7;R$ 18.208,65;R$ 4.552,16;abr./25;;;30/04/2025;JOÃO;FERNANDA;?;;FALSE;TRUE;FALSE;FALSE;Q044272;-10.359970;-40.171431;SENHOR DO BONFIM;2025-04-01;1148579;Consolidado;N/A
B-1007792;ER-CCOL-POV-QUIXABEIRA -RURAL;CAMPO FORMOSO;EDVALDO;Energizada;;;33864 08/04;DESLIG. 08/04;;1;;;3;0;;;;;100%;0%;PLANO 7;R$ 23.647,36;R$ 5.911,84;abr./25;07/04/2025;08/04/2025;30/04/2025;JOÃO;HIAGO;10/04/2025;Sim;TRUE;TRUE;TRUE;FALSE;D301550;-9.9648812;-40.5897338;SENHOR DO BONFIM;2025-04-01;1007792;Consolidado;N/A
B-1063282;MP CIND POV FAZEDINHA RURAL;NORDESTINA;MARCELO;Energizada;Pendente;45386/45387/45388;;LV + ENERGIZAÇÃO;;4;;;16;0;;;;;100%;0%;PLANO 14;R$ 145.809,63;R$ 36.452,41;mar./25;01/03/2025;30/04/2025;30/04/2025;DICSON;GUTEMBERG;14/04/2025;Solicitado;FALSE;TRUE;FALSE;FALSE;Q102337;-10,8232852;-39,4457387;SENHOR DO BONFIM;2025-04-01;1063282;Consolidado;N/A
B-0724629;MP-CCOL-PO ALAGADICO 222-RURAL;ITIÚBA;WAGNER;Em execução;Pendente;45417/45420/45421/45424/45425;;LV + ENERG + TRANS DE REDE;;10;;;33;0;;;;;50%;0%;PLANO 14;R$ 230.849,09;R$ 57.712,27;abr./25;14/04/2025;30/05/2025;;JOÃO;LUDIMILA;03/04/2025;;TRUE;TRUE;FALSE;FALSE;Q093587;-10.621766;-39.7793679;SENHOR DO BONFIM;2025-04-01;0724629;Consolidado;N/A
B-1190908;ER-CIND-RUA-CAPITAO ARISTIDES-COVAS;ITIÚBA;ISRAEL;Energizada;;;40491 22/04;DESLIG. SUBS DE TRAFO 08-04;;1;;;0;0;;;;;100%;0%;PLANO 7;R$ 28.002,34;R$ 7.000,59;abr./25;08/04/2025;08/04/2025;30/04/2025;JOÃO;LUDIMILA;;;FALSE;TRUE;FALSE;FALSE;Q053883;-10.8629581;-40.0134818;SENHOR DO BONFIM;2025-04-01;1190908;Consolidado;N/A
B-1152856;AC-CIND-POV-ANGIGAL-RURAL;NORDESTINA;MARCELO;Paralisada;Pendente;45383/45385;;LV (REGULADOR DE TENSAO);;0;;;4;0;;;;;0%;62%;PLANO 7;R$ 1.396.641,65;R$ 349.160,41;mar./25;01/03/2025;;;DICSON;GUTEMBERG;?;;FALSE;TRUE;TRUE;FALSE;Q106463;-10,9446747;-39,4145806;SENHOR DO BONFIM;2025-04-01;1152856;Consolidado;N/A
B-1181827;AC-CIND-RUA-OSVALDO JOSE -NOVA QUEIMADA;QUEIMADAS;MARCELO;Energizada;;;44277 30/04;DESLIG. DO TF 1170 CHI;;0;;;1;0;;;;;100%;0%;PLANO 7;R$ 8.835,60;R$ 2.208,90;mar./25;01/03/2025;30/04/2025;30/04/2025;DICSON;GUTEMBERG;14/04/2025;Solicitado;FALSE;TRUE;FALSE;FALSE;Q097059;-10.979952;-39.620984;SENHOR DO BONFIM;2025-04-01;1181827;Consolidado;N/A
