PROJETO;TITULO;MUNICIPIO;PSTP;PST EXEC;ENCARREGADO;STATUS;LV;RESUMO;RESUMO LV;PLANO;Nº PES;DATA DESL;PES DESLIG;CRITERIO;CAVR;CAVD;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;PV. INÍCIO;PV. FIM;ENERGIZAÇÃO;SUPERVISOR;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1193545;AL QDD-09S4-CONSTRUCAO;NORDESTINA;71;76;ALDAIR/BIGODE;Energizada;Realizado;LV + ENERGZ;1 N1-3, 3 N1, 1 N4;PLANO 1;87134 87135 (LV);;;AL/MELHORAMENTO;;;0;100%;;R$ 1.035.467,34;;01/08/2025;30/08/2025;01/08/2025;DICSON;;11/08/2025;;;FALSE;;;D714584;-10,7788284;-39,5621061;SENHOR DO BONFIM;2025-08-01;1193545;Consolidado;N/A
B-1134327;LD CIND FAZ SÃO JOÃO RURAL;CANSANÇÃO;56;;JEFFERSON;;Pendente;LV + ENERGZ;N3/4;PLANO 14;;;;PRIORIDADE PLANO ANEEL;;;1;50%;;R$ 756.608,39;;;;;DICSON;;;;;;;;E284390;-10.8421072;-39.308;SENHOR DO BONFIM;2025-08-01;1134327;Consolidado;N/A
B-1137567;MP CIND-POV-NOVO ACORDO RURAL;CANSANÇÃO;51;;JEFFERSON/MARCELO;;Realizado;LV + ENERGZ;1 N4-3 + N3;PLANO 14;94547 94548(LV) - 98339-(BT)  98357-(BT);;;PRIORIDADE PLANO ANEEL;;;6;50%;;R$ 465.190,43;;11/08/2025;30/08/2025;;DICSON;;11/08/2025;;TRUE;;;;D708789;-10,7369388;-39,3225267;SENHOR DO BONFIM;2025-08-01;1137567;Consolidado;N/A
B-0877780;MP-CCOL-FAZ RAIO DO SOL-RURAL;QUEIMADAS;49;;OSMAR;Paralisada;;DESL +LV + ENERGZ;;PLANO 14;;;;REPUTACIONAL;;;9;50%;;R$ 196.518,35;;;;;DICSON;;;;;;;;Q104891;-10,9814946;-39,6346926;SENHOR DO BONFIM;2025-08-01;0877780;Consolidado;N/A
B-0940009;RR-CIND-POV RIACHO DAS P-R PEDRAS-CSC;CANSANÇÃO;45;47;JEFFERSON;Energizada;;DESL + ENERGZ;N3/N4 S/ CHP;PLANO 14;;;;REPUTACIONAL;;;;100%;;R$ 178.644,65;;01/08/2025;30/08/2025;01/08/2025;DICSON;;;;TRUE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;0940009;Consolidado;N/A
B-1044044;MP-CCOL-POV ÁGUA LIMPA-RURAL;FILADÉLFIA;43;37;GESONI;Energizada;Realizado;LV + ENERGZ;N1-3 CHP;PLANO 7;94577 (LV);;;RECLAMAÇÃO;;;2;100%;;R$ 178.644,65;;01/08/2025;30/08/2025;01/08/2025;JOÃO;;;;TRUE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1044044;Consolidado;N/A
B-1161547;ER-CCOL-POV-BOCA DO MATO-BOCA DO MATO;QUEIMADAS;35;35;ISRAEL;Energizada;Realizado;LV + BT + ENERGZ;N3/4;PLANO 14;97727(LV)      98876(BT)       97525(BT);;;GOVERNO;;;1;50%;;R$ 287.956,17;;06/08/2025;18/08/2025;01/08/2025;DICSON;;05/08/2025;;TRUE;;;;Q090282;-10,8264401;-39,6008524;SENHOR DO BONFIM;2025-08-01;1161547;Consolidado;N/A
B-1200619;RR-CIND-POV-LAGEDO RASO-TIQUARA-RURAL;CAMPO FORMOSO;32;;;Paralisada;Pendente;LV + ENERGZ;N3/4;PLANO 14;;;;PRIORIDADE PLANO ANEEL;;;4;100%;;R$ 239.433,16;;;;;JOÃO;;;;;;;;E477078;-10.4260454;-40.5242499;SENHOR DO BONFIM;2025-08-01;1200619;Consolidado;N/A
B-1075602;AC-CIND-FAZ-NOVA ESPERAN A-RURAL;QUEIMADAS;29;;GESONI;Em execução;Pendente;LV + ENERGZ;N3;PLANO 7;94571(LV)                99742-(BT);;;RECLAMAÇÃO;;;1;100%;;R$ 155.068,88;;25/08/2025;30/08/2025;;DICSON;;18/08/2025;;;;;;D555004;-11,1998166;-39,8280442;SENHOR DO BONFIM;2025-08-01;1075602;Consolidado;N/A
B-1148107;MP CIND POV TIRIRCA E BANABEIRA RURAL;QUEIMADAS;25;;GESONI/MARCELO;Em execução;Pendente;LV + ENERGZ;1 N4-3;PLANO 14;94561 (LV)               99714-(BT);;;AIC AUDITORIA;;;5;100%;;R$ 240.479,16;;04/08/2025;16/08/2025;;DICSON;;11/08/2025;;;;;;D277799;-11,2970312;-39,8701245;SENHOR DO BONFIM;2025-08-01;1148107;Consolidado;N/A
B-1155426;ER-CCOL-POV-VAZEA CURRAL-RURAL;QUEIMADAS;24;;ISRAEL;Em execução;Pendente;LV + ENERGZ;N3;PLANO 7;94572 (LV)      99788-(BT)    99765-(BT);;;GOVERNO;;;1;100%;;R$ 211.324,50;;25/08/2025;30/08/2025;;DICSON;;18/08/2025;;;;;;D205317;-11,0629465;-39,5846894;SENHOR DO BONFIM;2025-08-01;1155426;Consolidado;N/A
B-0636485;MP-CCOL-F. PAPAGAIO-POÇA DA SEREIA-RURAL;QUEIMADAS;23;12;MARCELO;Energizada;Realizado;LV + ENERGZ;N3/4;PLANO 14;94573(LV)            100370-(BT);;;PRIORIDADE PLANO ANEEL;;;2;100%;;R$ 94.527,05;;04/08/2025;16/08/2025;01/08/2025;DICSON;;18/08/2025;;;;;;D314243;-10,9719001;-39,7030752;SENHOR DO BONFIM;2025-08-01;0636485;Consolidado;N/A
B-1161877;ER-SEIN-POV-BOQUEIRAO-BOQUEIRAO;QUEIMADAS;23;;MARCELO;;Pendente;LV + BT + ENERGZ;N3/4;PLANO 7;94563(LV)                98206-(BT);;;GOVERNO;;;1;50%;;R$ 229.942,73;;18/08/2025;23/08/2025;;DICSON;;11/08/2025;;;;;;D668425;-10,9428983;-39,802938;SENHOR DO BONFIM;2025-08-01;1161877;Consolidado;N/A
B-1125291;ER-SEIN-RUA-SR DO BONFIM-CENTRO;SENHOR DO BONFIM;21;21;REGINALDO;Energizada;Realizado;DESL + LV + BT;1 N1;PLANO 7;87131(LV) 92857(BT);;;GOVERNO;;;0;100%;;R$ 133.665,40;;01/08/2025;15/08/2025;01/08/2025;JOÃO;;30/07/2025;;TRUE;TRUE;;;Q048210;-10,5414168;-40,0297585;SENHOR DO BONFIM;2025-08-01;1125291;Consolidado;N/A
B-1123444;LD CND FAZ ICHU RURAL;QUEIMADAS;21;21;MARCELO/GESONI;Energizada;Realizado;LV + BT + ENERGZ;;PLANO 14;94570(LV)                98243-(BT);;;PRIORIDADE PLANO ANEEL;;;3;100%;;R$ 228.835,36;;18/08/2025;23/08/2025;01/08/2025;DICSON;;18/08/2025;;;;;;D509021;-11,0795708;-39,7370091;SENHOR DO BONFIM;2025-08-01;1123444;Consolidado;N/A
B-1158477;RR-SEIN-FAZ-SANTA TEREZA-POV ALECRIM;QUEIMADAS;18;15;MARCELO;Energizada;;;;PLANO 14;;;;QLP;;;;100%;;R$ 157.067,04;;06/08/2025;09/08/2025;01/08/2025;DICSON;;;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1158477;Consolidado;N/A
B-1125500;RI-SEIN-POV-PEREIROS-PEREIROS;SENHOR DO BONFIM;16;16;EDVALDO;Energizada;Realizado;LV + DESL;;PLANO 7;92155(LV) 94566(LV);28 99508 FALTA PEX;;GOVERNO;;;0;100%;;R$ 137.816,99;;12/08/2025;26/08/2025;01/08/2025;JOÃO;;12/08/2025;;TRUE;TRUE;TRUE;TRUE;Q045408;-10,3815726;-40,0779726;SENHOR DO BONFIM;2025-08-01;1125500;Consolidado;N/A
B-1093364;LD CIND RUA DA LINHA RURAL;JAGUARARI;16;16;REGINALDO;Energizada;Realizado;LV + ENERGZ;1 N4-3;PLANO 14;94565(LV)  98414-BT   98438-(BT);;;REPUTACIONAL;;;1;100%;;R$ 155.066,05;;25/08/2025;30/08/2025;01/08/2025;JOÃO;;12/08/2025;;;;;;Q047507;-10,041521;-40,225644;SENHOR DO BONFIM;2025-08-01;1093364;Consolidado;N/A
B-1171504;MP - CIND FAZ ANGICO BARRINHA - RURAL;JAGUARARI;16;16;REGINALDO;Energizada;Realizado;LV + ENERGZ;1 N4-3;PLANO 14;94575(LV)                     98805-(BT);;;PRIORIDADE PLANO ANEEL;;;2;100%;;R$ 146.670,43;;25/08/2025;30/08/2025;01/08/2025;JOÃO;;19/08/2025;;;;;;D394389;-9,9059478;-40,1360988;SENHOR DO BONFIM;2025-08-01;1171504;Consolidado;N/A
B-1133580;ER-CIND-POV-LAGOA DA PEDRA-RURAL;MONTE SANTO;15;;OSMAR;Em execução;Pendente;LV + ENERGZ;1 N1 C/ TRF;PLANO 14;94549(LV)        98935(BT)   98942-(BT);;;RECLAMAÇÃO;;;0;100%;;R$ 20.301,31;;18/08/2025;12/08/2025;;DICSON;;11/08/2025;;;;;;D939343;-10,4075682;-39,1767321;SENHOR DO BONFIM;2025-08-01;1133580;Consolidado;N/A
B-1181949;RC-SEIN-FAZ-QUIQUIM-RURAL-PEDRA VERMELHA;MONTE SANTO;15;13;OSMAR/JOSE;Energizada;Realizado;DESL + LV;8 N4;PLANO 7;100373(LV);28 e 29 FALTA PEX;;GOVERNO;;;0;100%;;R$ 199.612,52;;11/08/2025;22/08/2025;01/08/2025;DICSON;;;;FALSE;FALSE;FALSE;FALSE;A249997;-10,4424618;-39,3147106;SENHOR DO BONFIM;2025-08-01;1181949;Consolidado;N/A
B-1206259;ER-CIND-POV-CAMPO ALEGRE 5-CAMPO ALEGRE;CAMPO FORMOSO;14;14;EDVALDO;Energizada;;DESL;;PLANO 14;100385-(BT);21 90857;;PRIORIDADE PLANO ANEEL;;;4;100%;;R$ 83.756,68;;18/08/2025;20/08/2025;01/08/2025;JOÃO;;18/08/2025;;;;;;E141298;-10.3889012;-40.4038222;SENHOR DO BONFIM;2025-08-01;1206259;Consolidado;N/A
B-1152994;ER-CIND-FAZ-BOA SORTE 72-RURAL;QUEIMADAS;12;12;ANAILTON;Energizada;Realizado;LV + ENERGZ;N3/4;PLANO 7;99668-(BT) 100986(LV);;;PRIORIDADE PLANO ANEEL;;;2;100%;;R$ 131.900,16;;04/08/2025;15/08/2025;01/08/2025;DICSON;;04/08/2025;;TRUE;FALSE;;;D330952;-10,9400017;-39,5565632;SENHOR DO BONFIM;2025-08-01;1152994;Consolidado;N/A
B-1141711;RR-CIND-POV-PEDRA VERMELHA 40-RURAL;MONTE SANTO;12;17;OSMAR;Energizada;Realizado;LV + ENERGZ;1 N1-3;PLANO 14;94560(LV)       99446-(BT)      99415-(BT);;;PRIORIDADE PLANO ANEEL;;;5;100%;;R$ 87.996,29;;18/08/2025;23/08/2025;01/08/2025;DICSON;;11/08/2025;;;;;;A254727;-10,3596809;-39,4978574;SENHOR DO BONFIM;2025-08-01;1141711;Consolidado;N/A
B-1198151;ER-CIND-FAZ-BARREIRA-RURAL;PINDOBAÇU;11;11;EDVALDO;Energizada;Realizado;LV + ENERGZ;1 N1-3;PLANO 14;;;;PRIORIDADE PLANO ANEEL;;;3;100%;;R$ 76.005,27;;01/08/2025;06/08/2025;01/08/2025;JOÃO;;30/07/2025;;TRUE;;;;Q039185;-10,7272672;-40,3400179;SENHOR DO BONFIM;2025-08-01;1198151;Consolidado;N/A
B-1180267;ER-CIND-POV-SUMIDOURO-RURAL;CAMPO FORMOSO;11;;;Paralisada;Pendente;LV + ENERGZ;N3/4;PLANO 7;;;;SOLICITAÇÃO ATENDIMENTO;;;1;100%;;R$ 130.483,38;;;;;JOÃO;;;;;;;;Q024111;-10,0808017;-40,754031;SENHOR DO BONFIM;2025-08-01;1180267;Consolidado;N/A
1207058;ER-CIND-FAZ-MATO LIMPO 120-A-RURAL;CAMPO FORMOSO;10;10;JOILSON;Energizada;;;;;;;;OBRA ZERO POSTE;;;3;100%;;R$ 52.931,28;;01/08/2025;30/08/0205;01/08/2025;JOÃO;;;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1207058;Consolidado;N/A
B-1164341;LD CIND RO MINA BARRINHA RURAL;JAGUARARI;10;10;REGINALDO;Energizada;Realizado;LV + ENERGZ;1 N4-3;PLANO 7;94574(LV)        98769-(BT);;;PRIORIDADE PLANO ANEEL;;;3;100%;;R$ 82.076,46;;18/08/2025;23/08/2025;01/08/2025;JOÃO;;19/08/2025;;;;;;Q066751;-9,8813412;-39,9348223;SENHOR DO BONFIM;2025-08-01;1164341;Consolidado;N/A
B-1181110;UB-CIND-RUA-VALDOMIRO SANTOS-TAPERA;CANSANÇÃO;9;9;JEFFERSON;Energizada;;DESL + BT;2 BI;PLANO 7;98271                          95174-95174-(BT);26 95174;;PRIORIDADE PLANO ANEEL;;;3;100%;;R$ 54.909,15;;05/08/2025;08/08/2025;01/08/2025;DICSON;;06/08/2025;;FALSE;;;;B706964;-10,661654;-39,4849137;SENHOR DO BONFIM;2025-08-01;1181110;Consolidado;N/A
B-1088855;ER-CIND-FAZ-ALEGRE-ROMULO CAMPOS;ITIÚBA;9;;ISRAEL;Paralisada;;BT;;PLANO 14;;;;RECLAMAÇÃO;;;1;100%;;R$ 33.497,18;;06/08/2025;12/08/2025;;JOÃO;;06/08/2025;;;;;;D301468;-10,7715694;-39,6952645;SENHOR DO BONFIM;2025-08-01;1088855;Consolidado;N/A
B-1175533;ER-CIND-POV-LAGOA GRANDE-RURAL;MONTE SANTO;9;;OSMAR;Em execução;Pendente;LV + ENERGZ;1 N1 C/ TRF;PLANO 14;94559(LV)                  99036-(BT);;;PRIORIDADE PLANO ANEEL;;;2;100%;;R$ 91.398,66;;11/08/2025;20/08/2025;;DICSON;;11/08/2025;;;;;;A284303;-10,1943803;-39,4088117;SENHOR DO BONFIM;2025-08-01;1175533;Consolidado;N/A
B-1040506;ER-CIND-PR -STO ANTONIO-LAGOA DO MEIO;MONTE SANTO;8;8;OSMAR;Energizada;;BT;;PLANO 14;;;;RECLAMAÇÃO;;;2;100%;;R$ 44.893,51;;04/08/2025;09/08/2025;01/08/2025;DICSON;;04/08/2025;;TRUE;TRUE;;;D613020;-10,6260534;-39,3933698;SENHOR DO BONFIM;2025-08-01;1040506;Consolidado;N/A
B-1167483;ER-CIND-ET-VELHA CARRAPICHEL-RURAL-CARRA;SENHOR DO BONFIM;8;8;REGINALDO;Energizada;Realizado;LV +  ENERGZ;1 N1;PLANO 14;90942(LV) 92850(BT);;;RECLAMAÇÃO;;;2;100%;;R$ 73.274,38;;02/08/2025;15/08/2025;01/08/2025;JOÃO;;02/08/2025;;TRUE;;;;Q043743;-10,3916105;-40,1605891;SENHOR DO BONFIM;2025-08-01;1167483;Consolidado;N/A
B-1138650;ER-CCOL-FAZ-BEIRA DAGUA 51-RURAL;ITIÚBA;8;;;Paralisada;Pendente;LV + ENERGZ;1 N1-3;PLANO 7;;;;PRIORIDADE PLANO ANEEL;;;3;100%;;R$ 71.767,33;;;;;JOÃO;;;;;;;;Q097715;-10,6050323;-39,7385837;SENHOR DO BONFIM;2025-08-01;1138650;Consolidado;N/A
B-1134498;LD-CCOL-POV.VARZEA DOS BOIS RURAL;MONTE SANTO;7;15;JOSE;Energizada;Realizado;LV + ENERGZ;N3/4;PLANO 14;94556(LV)                  99007-(BT);;;REPUTACIONAL;;;3;100%;;R$ 101.240,94;;11/08/2025;15/08/2025;01/08/2025;DICSON;;11/08/2025;;;;;;D244428;-10,5447593;-39,4366355;SENHOR DO BONFIM;2025-08-01;1134498;Consolidado;N/A
B-1166043;ER-CIND-POV-DE BARAUNA-RURAL;SENHOR DO BONFIM;7;7;REGINALDO;Energizada;Realizado;LV + BT;1 N1;PLANO 14;90941(LV) 91943 (BT);;;JUDICIAL;;;0;100%;;R$ 40.464,23;;02/08/2025;15/08/2025;01/08/2025;JOÃO;;02/08/2025;;TRUE;;;;D383282;-10,430019;-40,1397818;SENHOR DO BONFIM;2025-08-01;1166043;Consolidado;N/A
B-1184458;ER-CIND-FAZ-LAGOA DA VOLTA-RURAL;MONTE SANTO;7;7;JOSE;Energizada;Realizado;LV + ENERGZ;N1 C/ TRF;PLANO 7;87136(LV)                  99065-(BT);;;SOLICITAÇÃO ATENDIMENTO;;;1;100%;;R$ 71.093,68;;01/08/2025;30/08/2025;01/08/2025;DICSON;;;;TRUE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1184458;Consolidado;N/A
1161733;ER-CIND-POV-MAMAO-RURAL;SENHOR DO BONFIM;6;6;EDVALDO;Energizada;;;;;;;;MAIS OBRAS;;;1;100%;;R$ 37.818,78;;01/08/2025;30/08/0205;01/08/2025;JOÃO;;;;FALSE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1161733;Consolidado;N/A
B-1140968;ER-CCOL-POV-JACURICI-RURAL;QUEIMADAS;6;6;ANAILTON;Energizada;Realizado;LV + ENERGZ;N3 + 1 N1 C/TRF;PLANO 14;2025-95776 (LV)    99625-(BT)     99596-(BT);;;RECLAMAÇÃO;;;3;100%;;R$ 87.241,46;;04/08/2025;15/08/2025;01/08/2025;DICSON;;04/08/2025;;TRUE;;;;D714428;-10,9319149;-39,6263993;SENHOR DO BONFIM;2025-08-01;1140968;Consolidado;N/A
B-1125553;RC-PREF-ROD-BA 220 -FAZ LAGOA DA VOLTA;MONTE SANTO;6;6;JOSE;Energizada;;DESL;;PLANO 8;;26 95173;;GOVERNO;;;;100%;;R$ 100.355,98;;01/08/2025;30/08/2025;01/08/2025;DICSON;;;;TRUE;FALSE;FALSE;FALSE;;;;SENHOR DO BONFIM;2025-08-01;1125553;Consolidado;N/A
B-1108596;ER-CIND-POV-RODEADOR-RURAL;SENHOR DO BONFIM;5;5;REGINALDO;Energizada;Realizado;LV + BT;4 N1;PLANO 14;90939(LV) 91958(BT);;;RECLAMAÇÃO;;;1;100%;;R$ 34.145,78;;02/08/2025;05/08/2025;01/08/2025;JOÃO;;02/08/2025;;TRUE;;;;D211939;-10,6279275;-40,0678544;SENHOR DO BONFIM;2025-08-01;1108596;Consolidado;N/A
B-1192137;ER-CIND-POV-PICOS-RURAL;ITIÚBA;5;;;Paralisada;;DESL;;PLANO 7;;;;GOVERNO;;;1;100%;;R$ 58.088,16;;;;;JOÃO;;;;;;;;D294689;-10,6321634;-39,8987568;SENHOR DO BONFIM;2025-08-01;1192137;Consolidado;N/A
