PROJETO;TITULO;MUNICIPIO;ENCARREGADO;PSTP;OBS;RESUMO;STATUS;CONCRETO;PST EXEC;CAVR;LV;RESUMO LV;Nº PES;DT DESL;DESLIG;% POSTES;% CAVAS;CLIENT.;PLANO;CRITERIO;AVANÇO;CART;V. PROJETO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;ENERGIZAÇÃO;SACADO;PRÉ FECHAMENTO;AS BUILT;DIAS;DEVOLUÇAO;DIAS.1;BOOK;DIAS.2;VISITA PRÉVIA;REFERÊNCIA;LAT;LONG;COORDENADAS;LINK PROJETO;PG'S;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1201683;ER-SEIN-POV-SANTO ANTONIO-SANTO ANTONIO;JAGUARARI;OSMAR;94;ELO 0,5H 536778;LV + ENERGZ + BT;;57;20;48 FURADAS;;N3/4;LV-6538 EN 24717   BT 24724;;É POSSIVEL;;;9;PLANO 7;GOVERNO;100%;jan./1;R$ 802.766,79;ADRIANO;;02/02/2026;27/02/2026;03/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;B971287;-10,027566;-40,051352;-10,027566, -40,051352;https://drive.google.com/file/d/1ypo2v-XF7HyvPiCu55oHvcALYKtBnRxg/view;E936903 – E936995;;;SENHOR DO BONFIM;2026-02-01;1201683;Consolidado;N/A
B-1203968;RR-CIND-FAZ-JOAO GOMES-RURAL;CAMPO FORMOSO;ADAO;91;ENERGIZADA;LV+ ENERGZ;Energizada;90;0;91;;;24167 EN;;;;;;PLANO 7;QLP;100%;fev./1;R$ 663.368,59;EDLECIO;;02/02/2026;27/02/2026;;;28/02/2026;TRUE;TRUE;;23;FALSE;23;TRUE;OK;FALSE;;-10,1347086;-40,4111479;-10,1347086, -40,4111479;https://drive.google.com/file/d/1KSc6z13NMyr7n5wp1d1gb9M5gAB4qBLi/view?usp=drive_link;E936669 – E936737;;;SENHOR DO BONFIM;2026-02-01;1203968;Consolidado;N/A
B-0983966;ER-CCOL-POV ARARAS-RURAL;CAMPO FORMOSO;;87;COLOCAR COMO AVANÇO;LV + ENERGZ;Paralisada;0;;;;N3/4;;;É POSSIVEL;;;8;PLANO 14;QLP;100%;jan./1;R$ 405.345,63;EDLECIO;;23/02/2026;31/03/2026;;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;B139343;-10,143847;-40,5343069;-10,143847, -40,5343069;https://drive.google.com/file/d/11KlXf3ohk262ltz0mSsMGoXngFhBwc47/view;E936817 – E936895;;;SENHOR DO BONFIM;2026-02-01;0983966;Consolidado;N/A
B-1043420;MP-CCOL-POV. VARZINHA RURAL;ITIUBA;GESONI;79;FALTA CABO 4 2202040;LV + ENERGZ;;77;76;53 FURADAS (26 DETONADAS);;N3/4;LV-5724  EN 24223;;É POSSIVEL;;;7;PLANO 14;INSTITUCIONAL;50%;jan./1;R$ 802.121,47;GABRIEL;;23/02/2026;31/03/2026;02/02/2026;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D249046;-10,9296104;-39,7060011;-10,9296104, -39,7060011;https://drive.google.com/file/d/1iVWNsZQ0Vj0cs6UliI2EDHEfyZb44H_g/view?usp=drive_link;E936738 – E936816;;;SENHOR DO BONFIM;2026-02-01;1043420;Consolidado;N/A
B-1213374;RI-SEIN-RUA-PINDOBACU-CENTRO;PINDOBAÇU;REGINALDO;61;FALTA  2212022 3x35 XLPE, 2202040 CABO 4;DESL + BT + ENERGZ;;57;62;61;;;20353(D) 23147 EN     23149 BT;27/02/2026;PENDENTE ANALISE //  (1 SUBS E 2 POSTE);;;0;PLANO 7;GOVERNO;100%;jan./1;R$ 448.030,10;ADRIANO;;02/02/2026;20/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q037089;-10,6682725;-40,3236711;-10,6682725, -40,3236711;https://drive.google.com/file/d/1Utd2yOlswUx804w_pQErmAIBoci3PLBW/view;E936609 – E936668;;;SENHOR DO BONFIM;2026-02-01;1213374;Consolidado;N/A
B-0984471;MP-CCOL-POV ARARAS-RURAL;CAMPO FORMOSO;ADAO;51;FALTA ELO 0,5H 536778;LV + ENERGZ;;51;2;39 FURADAS;;N3/4;LV-6619    24172 EN;;É POSSIVEL;;;6;PLANO 14;AIC AUDITORIA;100%;jan./1;R$ 248.561,08;EDLECIO;;02/02/2026;27/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;FALSE;Nao concluida;;B139231;-10,1154277;-40,4850514;-10,1154277, -40,4850514;https://drive.google.com/file/d/1yFKO37daW2DuXEErbro-rEfuw7VKp6kj/view;E936559 – E936608;;;SENHOR DO BONFIM;2026-02-01;0984471;Consolidado;N/A
B-1213480;IP-SEIN-RUA-ITAPICURU-RURAL;PINDOBAÇU;REGINALDO;39;FALTA 3431760 LAÇO 35, CABO 2230076 3X35(35),536779 - ELO  1H,CONECT ESTRIBO 2403000;DESL + LV + BT + ENERGZ;;42;34;39;;1 N1;2813 EN LV-6517 / 18242 (D) 24730 BT;19/02/2026;DESATIVAR VÃO;;;0;PLANO 7;GOVERNO;100%;jan./1;R$ 314.397,05;ADRIANO;;16/02/2026;27/02/2026;04/02/2026;;;FALSE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;Q056995;-10,7993508;-40,380492;-10,7993508, -40,380492;https://drive.google.com/file/d/1_rT7MYpbbS2UoT4wakh3zwp-KwuKqbLt/view?usp=drive_link;E936521 – E936558;;;SENHOR DO BONFIM;2026-02-01;1213480;Consolidado;N/A
B-0603860;MP-CCOL-POV. MANDI COMPL-RURAL;ANDORINHA;ALDAIR;38;FALTA TRAFO 4 2-10 211304, FALTA ELO 0,5H 536778, CONECT ESTRIBO 2403000;LV + ENERGZ + BT;;40;41;40;;;2891 EN       2892 BT;;;;;5;PLANO 14;AIC AUDITORIA;100%;jan./1;R$ 145.038,21;GABRIEL;;02/02/2026;18/02/2026;;;;TRUE;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D040108;-10,2372809;-39,7605516;-10,2372809, -39,7605516;https://drive.google.com/file/d/17avaG8zEW6an6JTBzSPHMhWlnw158saO/view;E936484 – E936520;;;SENHOR DO BONFIM;2026-02-01;0603860;Consolidado;N/A
B-1157179;IT GRUA AG CANDIDO FONSECA RURAL;SENHOR DO BONFIM;;36;Paralisada;DESL + LV;Paralisada;3;22;;;;;;MELHORAMENTO;;;1;PLANO 7;GRUPO A;100%;jan./1;R$ 455.995,37;;;;;;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;;;;;https://drive.google.com/file/d/1nZP2Q6clxLAi_G9FpR2MdqvbdUJSXpbr/view;E936449 – E936483;;;SENHOR DO BONFIM;2026-02-01;1157179;Consolidado;N/A
B-0570402;MP-CIND-FAZ MULAMBA-TANQUINHO-RURAL;JAGUARARI;JEFFERSON;35;FALTA CABO 4 2202040, 3430547 ALÇA 25, ELO 0,5H 536778;LV + ENERGZ;;35;31;35;;1 N1-3;22452 LV EN 24314;;É POSSIVEL;;;1;PLANO 14;GOVERNO;100%;fev./1;R$ 137.134,64;ADRIANO;;16/02/2026;27/02/2026;16/02/2026;;;;TRUE;;Nao concluida;FALSE;Nao concluida;;Nao concluida;;D686168;-10,0598907;-40,2563495;-10,0598907, -40,2563495;https://drive.google.com/file/d/1XwD7J2s9T0MUwQmz_r-J5Q82iHlVpkPJ/view;E939107 -  E939142;;;SENHOR DO BONFIM;2026-02-01;0570402;Consolidado;N/A
