PROJETO;TITULO;MUNICIPIO;PLANO;ENCARREGADO;STATUS;LV;PES S/I;PES DESLIG;RESUMO;OBS;CLIET.;CAVR;CAVD;PSTP;PST EXEC;ENERGIZAÇÃO;EQPP;EQPR;RDEP;RDER;AVANÇO;AVNR;V. PROJETO;V. REAL;CART.;PV. INÍCIO;PV. FIM;SUPERVISOR;AR;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1139854;ER-CIND-POV-TANQUINHO-RURAL;ANDORINHAS;PLANO 14;ISRAEL;Energizada;Realizado;59866 59867;;LV + ENERGZ;LV INTERCALAR POSTE C/ TRF;1;;;2;2;31/05/2025;;;;;100%;;R$ 23.775,79;;mai./25;21/05/2025;21/05/2025;JOÃO;;12/05/2025;;FALSE;TRUE;;;D042366;-10,3759353;-40,0183995;SENHOR DO BONFIM;2025-05-01;1139854;Consolidado;N/A
B-1127905;RR-CCOL-POV-BARAUNA-RURAL;ANDORINHAS;PLANO 14;JOSE SILVA;Energizada;;;;LV + ENERGZ;LV N3-N4  SEM CHAVE;4;;;38;0;31/05/2025;;;;;100%;;R$ 259.844,28;;mai./25;21/04/2025;17/05/2025;JOÃO;;;;TRUE;FALSE;;;D565526;-10,2215332;-39,9953837;SENHOR DO BONFIM;2025-05-01;1127905;Consolidado;N/A
B-1170277;IE-RELIGADOR-JNC-09X1-Q022984;CAMPO FORMOSO;PLANO 8;JOILSON;Em execução;Pendente;;;LV + ENERGZ;LV INTERCALAR POSTE C/ REL;0;;;1;;;;;;;100%;;R$ 134.004,23;;mai./25;26/05/2025;27/05/2025;JOÃO;;?;;;;;;Q022985;-10,2054067;-40,5745999;SENHOR DO BONFIM;2025-05-01;1170277;Consolidado;N/A
B-1170290;IE-RELIGADOR-JNC-09X1-J05447;CAMPO FORMOSO;PLANO 8;WAGNER;Energizada;Pendente;;;LV + ENERGZ;LV INTERCALAR POSTE C/ REL;0;;;1;0;31/05/2025;;;;;100%;;R$ 134.577,25;;mai./25;28/05/2025;29/05/2025;JOÃO;;?;;;;;;Q024663;-10,1359804;-40,8358857;SENHOR DO BONFIM;2025-05-01;1170290;Consolidado;N/A
B-1011966;RR-CIND-FAZ-BANANEIRA-VANVANA;CAMPO FORMOSO;PLANO 14;GESONI;Em execução;Pendente;59888 59889;;LV + ENERGZ;LV TROCAR POSTE N1-3 SEM CHAVE;4;;;16;0;;;;;;100%;;R$ 59.682,97;25.449,98;mai./25;12/05/2025;23/05/2025;JOÃO;;20/05/2025;;;TRUE;FALSE;;D134562;-10,4574857;-40,2785532;SENHOR DO BONFIM;2025-05-01;1011966;Consolidado;N/A
B-1134465;ER-CIND-POV-CAIXAO-RURAL;CANSANÇÃO;PLANO 14;MARCELO;Energizada;Pendente;59891;30/05 TEM PEX;DESLG + LV + ENERGZ;LV INTERCALAR 2 POSTES;1;;;18;18;31/05/2025;;;;;100%;;R$ 189.655,06;;mai./25;01/05/2025;20/05/2025;DICSON;;12/05/2025;;TRUE;TRUE;FALSE;FALSE;D250226;-10,688478;-39,4557857;SENHOR DO BONFIM;2025-05-01;1134465;Consolidado;N/A
B-1197043;RC-COEL-RUA-MARINHO MOREIRA-AT S GONCALO;ITIÚBA;PLANO 8;WAGNER;Energizada;;Já executada;;REGULARIZAÇÃO;LV INTERCALAR 1 POSTE N1-3;0;;;2;0;31/05/2025;;;;;100%;;R$ 16.107,96;;mai./25;05/05/2025;07/05/2025;JOÃO;;;;TRUE;TRUE;;;Q055340;-10,8991024;-39,8778471;SENHOR DO BONFIM;2025-05-01;1197043;Consolidado;N/A
B-1169759;ME-COEL-RUA ROGERIO BENTO PITANGA-CENTRO;ITIÚBA;PLANO 8;WAGNER;Energizada;;Sem opção de manobra;;DESLG + LV + ENERGZ;VER SE PODE SER FEITO DURANTE A SEMANA / LV TROCAR 2 POSTES B4-3 E B1 VAI TROCAR A MT? CHI MUITO ALTO  992;0;;;5;0;31/05/2025;;;;;100%;;R$ 116.489,96;;mai./25;08/05/2025;16/05/2025;JOÃO;;;;TRUE;;TRUE;;Q068179;-10,6909839;-39,8533201;SENHOR DO BONFIM;2025-05-01;1169759;Consolidado;N/A
B-0724629;MP-CCOL-PO ALAGADICO 222-RURAL;ITIÚBA;PLANO 14;WAGNER;Energizada;;Feita;;LV + ENERGZ;LV N3/N4 SEM CHAVE;10;;;28;30;31/05/2025;;;;;100%;;R$ 226.659,96;;mai./25;19/05/2025;30/05/2025;JOÃO;;;;TRUE;TRUE;;;Q093586;-10,6216745;-39,7803461;SENHOR DO BONFIM;2025-05-01;0724629;Consolidado;N/A
B-1134653;ER-GOVE-FAZ-ALAGOAS-ALAGOAS;ITIÚBA;PLANO 14;ISRAEL;Energizada;Pendente;45476/45479;;LV + ENERG;;4;;;53;0;31/05/2025;;;;;100%;;R$ 449.784,53;112.446,13;abr./25;02/04/2025;26/04/2025;JOÃO;;;;TRUE;TRUE;FALSE;FALSE;D200297;-10.5937937;-39.7930004;SENHOR DO BONFIM;2025-05-01;1134653;Consolidado;N/A
B-1163339;LD CIND POV JOCUNA RURAL;JAGUARARI;PLANO 14;BADU;Energizada;Realizado;45482/45484;50098 28/05;LV + ENERGIZAÇÃO;;6;;;6;6;31/05/2025;;;;;100%;;R$ 85.457,10;21.364,28;mar./25;01/03/2025;29/04/2025;JOÃO;;27/05/2025;;FALSE;FALSE;FALSE;FALSE;Q047343;-10,2312683;-40,0983643;SENHOR DO BONFIM;2025-05-01;1163339;Consolidado;N/A
B-1181548;ER-CCOL-POV SAO MIGUEL-RURAL-JAGUARARI;JAGUARARI;PLANO 7;BADU;Energizada;Realizado;59872 59873;;LV + ENERGZ;LV INTERCALAR POSTE N1-3;1;;;7;7;31/05/2025;;;;;100%;;R$ 60.207,43;12.113,86;mai./25;07/05/2025;09/05/2025;JOÃO;;27/05/2025;;;TRUE;;;D320256;-9,9962361;-40,1048269;SENHOR DO BONFIM;2025-05-01;1181548;Consolidado;N/A
B-1181969;ER-CCOL-ET-VELHA-RURAL;JAGUARARI;PLANO 7;BADU;Energizada;Realizado;;49778 27/05;DESLG + ENERGZ;;1;;;11;9;31/05/2025;;;;;100%;;R$ 60.835,69;;mai./25;15/05/2025;17/05/2025;JOÃO;;20/05/2025;;;TRUE;;;Q044576;-10,2797255;-40,1756648;SENHOR DO BONFIM;2025-05-01;1181969;Consolidado;N/A
B-1181889;ER-SEIN-POV-STO ANTONIO-FAZENDINHA;JAGUARARI;PLANO 14;BADU;Energizada;Realizado;59882 59883;;LV + ENERGZ;LV N3/4 C/ CH POSTERIOR;3;;;12;12;31/05/2025;;;;;100%;;R$ 85.651,44;20.784,62;mai./25;12/05/2025;14/05/2025;JOÃO;;27/05/2025;;;TRUE;;;D217190;-10,0790464;-40,0858101;SENHOR DO BONFIM;2025-05-01;1181889;Consolidado;N/A
B-1041188;RC-CIND-POV-TAPERA-RURAL;MONTE SANTO;PLANO 8;JOSE SILVA;Em execução;;;53749 31/05;X;SEM CAD;0;;;2;2;;;;;;100%;;R$ 15.682,30;;mai./25;20/05/2025;20/05/2025;DICSON;;13/05/2025;;TRUE;TRUE;TRUE;;A269411;-10,4762649;-39,3442719;SENHOR DO BONFIM;2025-05-01;1041188;Consolidado;N/A
B-1200672;RR-CIND-POV-JUA-S O BENTO;MONTE SANTO;PLANO 7;JOSE SILVA;Em execução;;;49837 16/05 E 49838 30/05;DESLG + LV + ENERGZ;LV 2 POSTE INTERCALADO E 18 AVIFAUNA;0;;;5;;;;;;;100%;;R$ 119.404,34;;mai./25;13/05/2025;31/05/2025;DICSON;;13/05/2025;;TRUE;TRUE;;;D517281;-10,238673;-39,2133007;SENHOR DO BONFIM;2025-05-01;1200672;Consolidado;N/A
B-0503276;MP-CCOL-POV. LAGOA REDONDA-RURAL;MONTE SANTO;PLANO 14;JOSE SILVA;Energizada;Pendente;59893 59894;;LV + ENERGZ;LV N3-N4  SEM CHAVE;3;;;17;0;31/05/2025;;;;;100%;;R$ 68.812,08;;mai./25;22/05/2025;28/05/2025;DICSON;;13/05/2025;;TRUE;TRUE;;;D314176;-10,5323936;-39,2453477;SENHOR DO BONFIM;2025-05-01;0503276;Consolidado;N/A
B-0477336;MP-CCOL-POV CURRAL FALSO AROEIRA-RURAL;MONTE SANTO;PLANO 14;BIGODE / BOB / ISRAEL;Em execução;Pendente;;50054 21/05;DESLG + LV + ENERGZ;LV 1 POSTE N4 E 2 N3-N4;46;;;281;403;;;;;;50%;;R$ 1.077.227,77;;mai./25;15/04/2025;30/06/2025;DICSON;;26/05/2025;;FALSE;FALSE;;;D149983;-10.5538389;-39.2735588;SENHOR DO BONFIM;2025-05-01;0477336;Consolidado;N/A
