PROJETO;TITULO;MUNICIPIO;ENCARREGADO;STATUS;PSTP;CONCRETO;% POSTES;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;% CAVAS;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1157055;IT-GRUA-RO BA 220-RURAL;SENHOR DO BONFIM;GESONI;Paralisada;86;;0%;;DESL + BT + LV;;;;;PLANO 7;REPUTACIONAL;;;0,0%;0;100%;out./1;R$ 1.679.249,18;;;;;01/10/2025;30/11/2025;;;FALSE;FALSE;FALSE;FALSE;Q050600;-10,4443124, -40,1854723;0;;;;SENHOR DO BONFIM;2025-10-01;1157055;Consolidado;N/A
B-1157179;IT GRUA AG CANDIDO FONSECA RURAL;SENHOR DO BONFIM;REGINALDO;Paralisada;63;;0%;;DESL + LV;;;;;PLANO 7;QLP;;;0,0%;0;50%;out./1;R$ 1.706.478,98;;;;;07/10/2025;30/11/2025;21/10/2025;;FALSE;FALSE;FALSE;FALSE;D912764;-10,4444659, -40,1858723;E875586 – E875649;;;;SENHOR DO BONFIM;2025-10-01;1157179;Consolidado;N/A
B-1134149;LD CIND POV SÃO JOÃO DOS CAMPOS RURAL;MONTE SANTO;JOSE;;49;;0%;;LV + ENERGZ;;125849 (EN);;;PLANO 14;AIC AUDITORIA;;28;57,1%;7;50%;out./1;R$ 500.132,76;;;;;13/10/2025;31/10/2025;13/10/2025;;TRUE;TRUE;;;D012482;-10,2518285, -39,466756;E875537 – E875585;;;;SENHOR DO BONFIM;2025-10-01;1134149;Consolidado;N/A
B-1214079;IT-GRUA-POV-CAATINGUINHA 4545-RURAL;SENHOR DO BONFIM;JOILSON;;15;;0%;;DESL + LV;5 POSTES;;;125888 127244 (ANEXAR PEX);PLANO 7;REPUTACIONAL;;6;40,0%;0;100%;out./1;R$ 63.731,32;;;;;16/10/2025;30/10/2025;14/10/2025 e 22/10/2025;;FALSE;FALSE;FALSE;FALSE;Q043225;-10,4235329, -40,1895399;0;https://drive.google.com/file/d/1bh8HQM6yOMLwUn-CLGZFYRmkXM71n8jv/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1214079;Consolidado;N/A
B-1206073;ER-CIND-POV-RURAL-CACIMBINHA;CAMPO FORMOSO;ISRAEL;;8;;0%;;LV + ENERGZ;TRF;124657 (LV)      124861 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 89.359,21;;;;;20/10/2025;25/10/2025;14/10/2025;;TRUE;TRUE;;;D010745;-9,9124989, -40,6843068;E875291 – E875298;https://drive.google.com/file/d/1fUb8klgF5nSnHVTy2-KASHhdBbEIKTw9/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1206073;Consolidado;N/A
B-1171381;ER-CIND-POV-LAGE DOS NEGROS -L D NEGROS;CAMPO FORMOSO;ISRAEL;;7;;0%;;LV + ENERGZ;TRF;124663 (LV)      124878 (EN);;128911;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 62.354,50;;;;;20/10/2025;25/10/2025;14/10/2025;;TRUE;TRUE;;;E528660;-10,1591055, -40,9337948;E875299 – E875305;https://drive.google.com/file/d/17d7bgA-151hAo1z4GU7CjbDq6y2gNKvL/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1171381;Consolidado;N/A
B-1204503;ER-CIND-POV-VARGEM DO SAL 300-V DO SAL;CAMPO FORMOSO;ISRAEL;;5;;0%;;LV + ENERGZ;N1 C/ TRF;124748 (LV) 124696 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 53.873,54;;;;;27/10/2025;31/10/2025;14/10/2025;;TRUE;TRUE;;;Q064027;-10,4179027, -40,6692667;E875306 – E875310;https://drive.google.com/file/d/1KOg7AzZW4dLkP8c6COkBal8zVAL_LxXB/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1204503;Consolidado;N/A
B-1221342;UB-CIND-RUA-NICANOR AMMBAHY-CENTRO;NORDESTINA;JEFFERSON;Energizada;4;;0%;;;;;;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;;100%;out./1;;;;;;27/10/2025;31/10/2025;14/10/2025;;FALSE;FALSE;FALSE;FALSE;;;;;;;SENHOR DO BONFIM;2025-10-01;1221342;Consolidado;N/A
B-1213002;ER-CIND-POV-PONTA DAGUA-RURAL;CAMPO FORMOSO;ISRAEL;;4;;0%;;BT;;121336 BT;;;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 22.711,82;;;;;27/10/2025;31/10/2025;07/10/2025;;TRUE;TRUE;;;D724169;-10,4114853, -41,1624956;E875287 – E875290;https://drive.google.com/file/d/1KsxIb6H7s6QnTmeIBsuWeo6tyOwt6IK8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1213002;Consolidado;N/A
B-1209595;ER-CIND-RUA-DO CAMPO-CENTRO;CAMPO FORMOSO;ISRAEL;;3;;0%;;BT;;121346 BT;;;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 13.794,15;;;;;27/10/2025;31/10/2025;07/10/2025;;TRUE;TRUE;;;R024920;-10,5954581, -40,930199;E875177 – E875179;https://drive.google.com/file/d/1ZK7k_sD48GWLN7LnzOAhgRGZAlHFvzJz/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1209595;Consolidado;N/A
B-1176652;ER-CIND-POV-LAGES-RURAL;SENHOR DO BONFIM;JOILSON;Cancelada;2;;0%;;BT;;119949 BT;;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;2;100%;out./1;R$ 10.091,52;;;;;06/10/2025;10/10/2025;01/10/2025;;TRUE;TRUE;FALSE;FALSE;Q042359;-10,5500873, -40,1574572;E875227 – E875228;https://drive.google.com/file/d/1sVX72kR2GyY6PreMQrr7Tklm6TorgjC_/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1176652;Descartado;Status Excluído (STATUS)
B-1193954;AC-CIND-VI LIMOES 2-CENTRO;SENHOR DO BONFIM;REGINALDO;Energizada;2;;0%;;DESL + BT + LV;N1 C/ TRF;123287 (BT) 125892(LV);;127249;PLANO 7;QLP;;2;100,0%;1;100%;out./1;R$ 37.400,82;;;;;20/10/2025;25/10/2025;22/10/2025;;;TRUE;FALSE;FALSE;D050846;-10,4953163, -40,1635735;E875225 – E875226;https://drive.google.com/file/d/1WQopJNOV-ltWEpNb9Szb4BQfgq6oVQbC/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1193954;Consolidado;N/A
B-1221730;RR-EMBA-RUA-DA LARANJEIRA-CENTRO;JAGUARARI;ALDAIR;;2;;0%;;;;;;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;;100%;out./1;;;;;;07/10/2025;30/10/2025;27/10/2025;;FALSE;FALSE;FALSE;FALSE;;;;;;;SENHOR DO BONFIM;2025-10-01;1221730;Consolidado;N/A
B-1149067;IT-CCOL-ROD-LOMANTO JUNIOR-LOMANTO JUNIO;SENHOR DO BONFIM;JOILSON;Cancelada;1;;0%;;LV;CE1 N3;;;;PLANO 7;REPUTACIONAL;;;0,0%;0;100%;out./1;R$ 12.073,78;;;;;20/10/2025;25/10/2025;;;FALSE;FALSE;FALSE;FALSE;D570917;-10,4775199, -40,1679471;E875229 – E875229;https://drive.google.com/file/d/1jRVrRoU5MbL1B_2A2xh9ujHTMyfYp7MZ/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1149067;Descartado;Status Excluído (STATUS)
B-1153516;ER-CIND-POV-VILA DOS PAUZINHOS-RURAL;CAMPO FORMOSO;ISRAEL;Energizada;1;;0%;;LV + ENERGZ;N1 C/ TRF;124667 (LV) 124662 (EN);;123380;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 20.977,40;;;;;20/10/2025;25/10/2025;14/10/2025;;TRUE;TRUE;;;B139251;-10,1299905, -40,4956858;E875183 – E875183;https://drive.google.com/file/d/1N3-0WC53zF0v9IS7bdq0-kPNI7Sd0k_y/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1153516;Consolidado;N/A
B-1168806;ER-CIND-POV-PATOS 3-URBANO;CAMPO FORMOSO;ISRAEL;;1;;0%;;LV + ENERGZ;N1 C/ TRF;124783 (LV) 124647 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 24.982,67;;;;;27/10/2025;31/10/2025;14/10/2025;;TRUE;TRUE;;;Q024911;-10,1845895, -40,8966678;E875184 – E875184;https://drive.google.com/file/d/1FUMDq-bUdK8-BLdnwQeSZEVh0g0Cgm-w/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1168806;Consolidado;N/A
B-1156651;ER-CIND-POV-BREJO CAATINGA-RURAL;CAMPO FORMOSO;ISRAEL;;1;;0%;;LV + ENERGZ;N1 C/ TRF;124773 (LV) 124652 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;0;100%;out./1;R$ 27.197,79;;;;;27/10/2025;31/10/2025;14/10/2025;;TRUE;TRUE;;;D931025;-10,4265503, -40,8651062;E875185 – E875185;https://drive.google.com/file/d/1MGM9EwydAcMCbDyjyaG2pf9mkqQncAn8/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1156651;Consolidado;N/A
B-1204838;IS-COEL-RUA-CANDIDO FONSECA-MERCADO;SENHOR DO BONFIM;REGINALDO;Energizada;6;2;33,33333333%;;DESL + LV;1 N4;;29/10/2025;129486 (PRECISA DE ACORDO) E 129488;PLANO 8;JUDICIAL;;6;100,0%;0;100%;out./1;R$ 51.246,25;;;;;20/10/2025;25/10/2025;20/10/2025;;;FALSE;FALSE;FALSE;Q042100;-10,5040859, -40,1605723;E875342 – E875347;https://drive.google.com/file/d/12nH3eqxoumRtkHUruc6jly0B9TONZ7GF/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1204838;Consolidado;N/A
B-1196099;UB-CIND-RUA-SENHOR DO BONFIM-QUICE;SENHOR DO BONFIM;REGINALDO;Energizada;3;1;33,33333333%;;LV + ENERGZ;N1 C/ TRF;123513(LV)      124318 (EN);;;PLANO 7;RECLAMAÇÃO;;DETONAR;100,0%;1;100%;out./1;R$ 41.276,99;;;;;20/10/2025;25/10/2025;08/10/2025;;TRUE;TRUE;FALSE;FALSE;Q051202;-10,5386756, -40,0339182;E875212 – E875214;https://drive.google.com/file/d/1G1lUW6BXNjPncqxWdbIThPJIYYKB3yoZ/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1196099;Consolidado;N/A
B-1205879;ER-CIND-FAZ-CAJAZEIRA 28-RURAL-QUICE;SENHOR DO BONFIM;REGINALDO;Energizada;3;1;33,33333333%;;LV + ENERGZ;N1 C/ TRF;123515(LV) 124327 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;3;100,0%;1;100%;out./1;R$ 28.064,87;;;;;20/10/2025;25/10/2025;08/10/2025;;TRUE;TRUE;FALSE;FALSE;Q049875;-10,5235394, -40,0633237;E875209 – E875211;https://drive.google.com/file/d/123Gas0XiyMZSDZ0T1EqbeWHMKnda6Ysm/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1205879;Consolidado;N/A
B-1200619;RR-CIND-POV-LAGEDO RASO-TIQUARA-RURAL;CAMPO FORMOSO;ISRAEL;Energizada;32;11;34,375%;;LV + ENERGZ;N3/4;124729 (LV)      124830 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;4;100%;out./1;R$ 239.450,57;;;;;20/10/2025;31/10/2025;20/10/2025;;;TRUE;;;E477077;-10,419528, -40,521278;E875118 – E875149;;;;SENHOR DO BONFIM;2025-10-01;1200619;Consolidado;N/A
B-1105670;MP-CIND-ROD-MINA BARRINHA-RURAL;JAGUARARI;WAGNER;Energizada;44;18;40,90909091%;;LV + ENERGZ + BT;N1-3;125137 (LV)  125807 BT    136792 (EN);;;PLANO 14;JUDICIAL;;;0,0%;14;100%;out./1;R$ 341.404,74;;;;;13/10/2025;31/10/2025;20/10/2025;;;TRUE;;;Q066744;-9,8806754, -39,9304034;E875493 – E875536;;;;SENHOR DO BONFIM;2025-10-01;1105670;Consolidado;N/A
B-1166494;LD - CIND POV ALECRIM - RURAL;QUEIMADAS;MARCELO;Energizada;34;16;47,05882353%;;LV + ENERGZ;N3/4;125748 (EN);;;PLANO 7;QLP;;;0,0%;3;100%;out./1;R$ 360.650,29;;;;;13/10/2025;30/10/2025;13/10/2025;;TRUE;TRUE;FALSE;FALSE;D573527;-11,0539141, -39,824471;E875459 – E875492;;;;SENHOR DO BONFIM;2025-10-01;1166494;Consolidado;N/A
B-1165645;ER-CIND.POV.DE FUMAÇA-RURAL;PINDOBAÇU;EDVALDO;Energizada;2;1;50%;;DESL;;;;121453;PLANO 7;GOVERNO;;2;100,0%;0;100%;out./1;R$ 38.265,67;;;;;07/10/2025;10/10/2025;07/10/2025;;;TRUE;;;Q037082;-10,670842, -40,3261249;E875168 – E875169;https://drive.google.com/file/d/1B7jHLNNnD0OQ7sYMVKpD8gQYCgoeoEY6/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1165645;Consolidado;N/A
B-1173892;ER-CIND-AV-SONHOS 172-RURAL;CAMPO FORMOSO;ISRAEL;Energizada;2;1;50%;;LV + ENERGZ;N1 C/ TRF;124639 (LV)     124725 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;2;100,0%;0;100%;out./1;R$ 32.874,89;;;;;13/10/2025;18/10/2025;07/10/2025;;TRUE;TRUE;;;D520413;-10,4847831, -40,3449138;E875175 – E875176;https://drive.google.com/file/d/1nfA1FpifLSeivWcSGWCgTtgFE9IdU4Gs/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1173892;Consolidado;N/A
B-0670141;MP-CIND-FAZ. ATANAZIO-RURAL;MONTE SANTO;OSMAR;Energizada;24;13;54,16666667%;;LV + ENERGZ;N1-3;125839 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;0,0%;1;100%;out./1;R$ 91.671,67;;;;;20/10/2025;30/10/2025;13/10/2025;;TRUE;TRUE;;;D559328;-10,1947751, -39,2650649;E875408 – E875431;;;;SENHOR DO BONFIM;2025-10-01;0670141;Consolidado;N/A
B-1216501;ER-CIND-FAZ-CACADOR-RURAL;PONTO NOVO;EDVALDO;Energizada;27;16;59,25925926%;;LV + ENERGZ + BT;N3/4;127506 (LV) 122316(BT)  122322(EN);;123278;PLANO 7;PRIORIDADE PLANO ANEEL;;7;25,9%;3;100%;out./1;R$ 195.424,14;;;;;13/10/2025;22/10/2025;07/10/2025;;;TRUE;;;D914760;-11,0562733, -40,0631541;E875432 – E875458;;;;SENHOR DO BONFIM;2025-10-01;1216501;Consolidado;N/A
B-1208718;RR-CIND-RUA-DO CONTORNO 15-CENTRO;ANTÔNIO GONÇALVES;EDVALDO;Energizada;21;15;71,42857143%;;LV + BT + ENERGZ + DESL;CE3/4;124616(LV) 123164 BT  123173(EN);31/10/2025;125891;PLANO 7;QLP;;21;100,0%;29;100%;out./1;R$ 133.687,73;;;;;23/10/2025;31/10/2025;09/10/2025;;;TRUE;;;D008540;-10,5701783, -40,2697813;E875389 – E875407;https://drive.google.com/file/d/1iyn0hUxU9viuPOVuf-94sO-tuKHGni0X/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1208718;Consolidado;N/A
B-1164147;ER-CIND-FAZ-ROCHA-AT LINDO - RURAL;CANSANÇÃO;JEFFERSON;Energizada;7;5;71,42857143%;;LV + ENERGZ;N1-3;124820 (LV) 124140 (EN);;;PLANO 7;PRIORIDADE PLANO ANEEL;;;0,0%;2;100%;out./1;R$ 115.225,85;;;;;06/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;Q098900;-10,6512763, -39,7123835;E875311 – E875317;https://drive.google.com/file/d/1Zaf3FIpxBMySxxp7Li6mymJLLvktyJYz/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1164147;Consolidado;N/A
B-1195412;ER-CIND-POV-MONTE SANTO-SITIO DE NANINHA;MONTE SANTO;OSMAR;Energizada;5;4;80%;;BT;;122245 BT;;;PLANO 7;QLP;;;0,0%;1;100%;out./1;R$ 31.758,63;;;;;06/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;D409513;-10,5062648, -39,4095984;E875376 – E875380;https://drive.google.com/file/d/1qn1y4ot468g2nkSuRVK9Sn2p9QGrww58/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1195412;Consolidado;N/A
B-1192755;RR-SEIN-FAZ-CORRENCIA-RURAL;JAGUARARI;ALDAIR;Energizada;114;106;92,98245614%;;DESL + ENERGZ;N1-3;;;120054;PLANO 14;GOVERNO;;114;100,0%;0;100%;out./1;R$ 1.060.332,60;;;;;01/10/2025;18/10/2025;01/09/2025;;TRUE;TRUE;;;;-10.0171927,-39.8492799;0;;;;SENHOR DO BONFIM;2025-10-01;1192755;Consolidado;N/A
B-0877780;MP-CCOL-FAZ RAIO DO SOL-RURAL;QUEIMADAS;MARCELO;Energizada;49;47;95,91836735%;;DESL + LV + BT + ENERGZ;N1/3;108873(LV);;125480;PLANO 14;REPUTACIONAL;;49;100,0%;9;100%;ago./1;R$ 196.839,24;;;;;19/09/2025;30/09/2025;15/09/2025;;TRUE;TRUE;FALSE;FALSE;Q104891;-10.9814946,-39.6346926;E843924 - E843973;Não precisa;-10,9814946;-39,6346926;SENHOR DO BONFIM;2025-10-01;0877780;Consolidado;N/A
B-1134327;LD CIND FAZ SÃO JOÃO RURAL;CANSANÇÃO;JEFFERSON;Energizada;59;64;100%;;LV + ENERGZ;N3/4;108861(LV)     112624 (EN);;;PLANO 14;PRIORIDADE PLANO ANEEL;;59;100,0%;1;100%;ago./1;R$ 756.608,39;;;;;14/10/2025;30/09/2025;15/09/2025;;TRUE;TRUE;;;E284390;-10.8421072,-39.308;E843809 - E843864;Não precisa;-10.8421072;-39.308;SENHOR DO BONFIM;2025-10-01;1134327;Consolidado;N/A
B-0972150;RR-CIND-RUA-DA AREIA-CARNAIBA;PINDOBAÇU;EDVALDO;Energizada;11;14;100%;;LV + ENERGZ;1 N1-3;108885(LV);;;PLANO 7;QLP;;11;100,0%;1;100%;ago./1;R$ 59.465,82;;;;;22/09/2025;25/09/2025;12/09/2025;;TRUE;TRUE;FALSE;FALSE;Q063843;-10.7118401, -40.4764177;E860565 - E860578;https://drive.google.com/file/d/1cSMCjmGCfeyj4MQsh2710bSbQRCyuNEy/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;0972150;Consolidado;N/A
B-1198646;ER-CIND-FAZ-POCO DANTAS-MONTE SANTO;MONTE SANTO;OSMAR;Energizada;7;7;100%;;BT;;122274 BT;;;PLANO 14;QLP;;7;100,0%;1;100%;out./1;R$ 37.811,92;;;;;06/10/2025;18/10/2025;06/10/2025;;TRUE;TRUE;;;D239704;-10,398475, -39,3087948;E875370 – E875375;https://drive.google.com/file/d/1n9kI8nHwRobX0ihHqcgh-AksWcaPq-ec/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1198646;Consolidado;N/A
B-1198650;ER-CCOL-FAZ-PAU D ARCO-RURAL;QUEIMADAS;ANAILTON;;4;4;100%;;BT;;127167 BT;;;PLANO 14;QLP;;;0,0%;1;100%;out./1;R$ 45.098,21;;;;;20/10/2025;25/10/2025;06/10/2025;;;TRUE;;;D409513;-10,5062648, -39,4095984;0;https://drive.google.com/file/d/19vWBocIDS5w2Z3vj0Uk7se2EjMeZSV4I/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1198650;Consolidado;N/A
B-1199681;ER-CIND-POV-BARRA-BARRA;ANTÔNIO GONÇALVES;EDVALDO;Energizada;6;6;100%;;LV + ENERGZ;N1 C/ TRF;124551 (LV)      124821(EN);;;PLANO 14;QLP;;6;100,0%;2;100%;out./1;R$ 42.116,14;;;;;07/10/2025;10/10/2025;09/10/2025;;;TRUE;;;Q067429;-10,6010438, -40,2725336;E875273 – E875278;https://drive.google.com/file/d/1wENrSq_PeKgisN0rRL-p_FVKf8AARwj7/view?usp=drive_link;;;SENHOR DO BONFIM;2025-10-01;1199681;Consolidado;N/A
B-1173478;ER-CIND-POV-LAGOA DO BOI-LAGOA DO BOI;SENHOR DO BONFIM;JOILSON;Energizada;6;6;100%;;BT;;115798 (BT);;;PLANO 14;PRIORIDADE PLANO ANEEL;;6;100,0%;1;100%;set./1;R$ 30.445,50;;;;;20/10/2025;31/10/2025;01/10/2025;;TRUE;TRUE;;;E860849;;E860849 -E860853;;;;SENHOR DO BONFIM;2025-10-01;1173478;Consolidado;N/A
