PROJETO;TITULO;MUNICIPIO;PSTP;STATUS;ENCARREGADO;LV;RESUMO;RESUMO LV;Nº PES;DATA DESL;PES DESLIG;PLANO;CRITERIO;PST EXEC;CAVR;CAVD;CLIET.;AVANÇO;CART.;V. PROJETO;V. REAL;ENERGIZAÇÃO;SUPERVISOR;AR;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;VISITA PRÉVIA;REFERÊNCIA;COORDENADAS;PG'S;LINK PROJETO;LATITUDE;LONGITUDE;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1192755;RR-SEIN-FAZ-CORRENCIA-RURAL;JAGUARARI;105;Em execução;ALDAIR/GESONI;Pendente;LV + ENERGZ;1 N1-3;108859(LV);29/09;113355;PLANO 7;GOVERNO;;;;1;100%;ago./1;R$ 1.060.332,60;;;JOÃO;;08/09/2025;30/09/2025;16/09/2025;;FALSE;FALSE;FALSE;FALSE;D253996;-10.0171927,-39.8492799;E860609 - E860713;Não precisa;-10,0171927;-39,8492799;SENHOR DO BONFIM;2025-09-01;1192755;Consolidado;N/A
B-1134327;LD CIND FAZ SÃO JOÃO RURAL;CANSANÇÃO;56;Em execução;JEFERSON;Pendente;LV + ENERGZ;N3/4;108861(LV);29/09;113356;PLANO 14;PRIORIDADE PLANO ANEEL;;;;1;100%;ago./1;R$ 756.608,39;;;DICSON;;14/09/2025;30/09/2025;15/09/2025;;;;;;E284390;-10.8421072,-39.308;E843809 - E843864;Não precisa;-10.8421072;-39.308;SENHOR DO BONFIM;2025-09-01;1134327;Consolidado;N/A
B-1137567;MP CIND-POV-NOVO ACORDO RURAL;CANSANÇÃO;51;Energizada;JEFERSON;Pendente;LV + ENERGZ;1 N4-3 + N3;94547 94548(LV) 98339(BT)  98357(BT);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;;6;100%;ago./1;R$ 465.190,43;;;DICSON;;20/08/2025;13/09/2025;;;TRUE;;;;D708789;-10.7369388,-39.3225267;E843869 - E843919;Não precisa;-10,7369388;-39,3225267;SENHOR DO BONFIM;2025-09-01;1137567;Consolidado;N/A
B-0877780;MP-CCOL-FAZ RAIO DO SOL-RURAL;QUEIMADAS;49;Em execução;MARCELO;Pendente;DESL + LV + BT + ENERGZ;N1/3;108873(LV);27/09;111338;PLANO 14;REPUTACIONAL;;;;9;100%;ago./1;R$ 196.839,24;;;DICSON;;19/09/2025;30/09/2025;15/09/2025;;FALSE;FALSE;FALSE;FALSE;Q104891;-10.9814946,-39.6346926;E843924 - E843973;Não precisa;-10,9814946;-39,6346926;SENHOR DO BONFIM;2025-09-01;0877780;Consolidado;N/A
B-1154340;MP-CIND-POV-SANTA ROSA-RURAL-MOD;MONTE SANTO;37;Energizada;OSMAR;Pendente;LV + ENERGZ;N4-3;108882(LV);;;PLANO 14;PRIORIDADE PLANO ANEEL;;;;6;100%;ago./1;R$ 339.861,54;;;DICSON;;22/09/2025;30/09/2025;15/09/2025;;FALSE;TRUE;FALSE;FALSE;A284276;-10.1933987,-39.4527863;E860407 - E860443;https://drive.google.com/file/d/1Fcuhka_18iXbaxSIoli_oFijEgGvt3IC/view?usp=drive_link;-10,1933987;-39,4527863;SENHOR DO BONFIM;2025-09-01;1154340;Consolidado;N/A
B-1180936;ER-CCOL-POV TANQUE VELHO-TANQUE VELHO;JAGUARARI;37;Energizada;REGINALDO;Pendente;LV + ENERGZ;N1-3;108860(LV)   ENERG-(112562);;;PLANO 7;GOVERNO;;;;8;100%;ago./1;R$ 290.366,94;;;JOÃO;;09/09/2025;20/09/2025;09/09/2025;;FALSE;TRUE;FALSE;FALSE;Q046632;-10.2120057,-40.1889997;E860444 - E860480;Não precisa;-10,2120057;-40,1889997;SENHOR DO BONFIM;2025-09-01;1180936;Consolidado;N/A
B-1171500;MP - CIND - POV VARZEA DA PEDRA - RURAL;JAGUARARI;36;Energizada;REGINALDO;Pendente;LV + ENERGZ;N3/N4;108884(LV);30/09;113357;PLANO 14;PRIORIDADE PLANO ANEEL;;;;3;100%;ago./1;R$ 269.705,40;;;JOÃO;;22/09/2025;30/09/2025;22/09/2025;;FALSE;FALSE;FALSE;FALSE;D002995;-10.2197973,-40.0382803;E860481 - E860516;Não precisa;-10,2197973;-40,0382803;SENHOR DO BONFIM;2025-09-01;1171500;Consolidado;N/A
B-0583003;MP-CCOL-POV. FOVEIRO - COMPL. I-RURAL;MONTE SANTO;33;Energizada;JOSE;Pendente;LV + ENERGZ;N3;108881(LV);;;PLANO 14;RECLAMAÇÃO;;;;5;100%;ago./1;R$ 387.155,97;;;DICSON;;22/09/2025;30/09/2025;15/09/2025;;FALSE;TRUE;FALSE;FALSE;D366157;-10.365062,-39.3533881;E860370 - E860402;https://drive.google.com/file/d/15XutZB2Evn28tTauCeUks27-QxnBieO0/view?usp=drive_link;-10,365062;-39,3533881;SENHOR DO BONFIM;2025-09-01;0583003;Consolidado;N/A
B-1066471;MP-CCOL RUA DO CAMPO RURAL;NORDESTINA;29;Energizada;ANAILTON;Pendente;DESL + LV + BT + ENERGZ;4 N1, 2 N3-3, 1 N4;ENERG-(112568)   BT-(112574);26/09 25/09;112625(25) 110216(26);PLANO 14;GOVERNO;;;;18;100%;ago./1;R$ 241.890,75;;;DICSON;;15/09/2025;30/09/2025;15/09/2025;;FALSE;FALSE;FALSE;FALSE;Q108264;-10.7844436,-39.5742173;E860361 - E860389;https://drive.google.com/file/d/1L395ttYUHG8qr0tgjS2oTbHVsg7RPRiy/view?usp=drive_link;-10,7844436;-39,5742173;SENHOR DO BONFIM;2025-09-01;1066471;Consolidado;N/A
B-1075602;AC-CIND-FAZ-NOVA ESPERAN A-RURAL;QUEIMADAS;29;Energizada;GESONI;Pendente;LV + ENERGZ;N3;94571(LV) 99742(BT);;;PLANO 7;RECLAMAÇÃO;;;;1;100%;ago./1;R$ 155.068,88;;;DICSON;;01/09/2025;19/09/2025;;;TRUE;;;;D555004;-11.1998166,-39.8280442;E844059 - E844087;Não precisa;-11,1998166;-39,8280442;SENHOR DO BONFIM;2025-09-01;1075602;Consolidado;N/A
