NOTA;PROJETO;TÍTULO;;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV / VLR PROJETO;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;DIAS PREVISTOS;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101931146;B-1089493;ER-CIND-FAZ-BREJO-BREJO;BAIXA GRANDE;ENERGIZADA;JOÃOZITO;GABRIEL;ANTONIO GALINDO;14.4.12.1;AIC OBJETIVO;25/03/25;25/03/25;;2025-31517;;;;;;E732531 AO E732541;1;11;11;11;11;100,00%;100%;06/04/25;4/9/2025;12/03/2025;PES 42901/ OC 31970;D101902;-11.8993333;-40.182701;R$ 61.770,62;R$ 14.278,74;R$ 14.278,74;R$ 1.298,07;23%;;;PES LV - TRANSFORMAR N3 EM N4 NO PG EXISTENTE D101905. PES ENCABEÇ - FECHAR CHAVE NOVA, INSTALADA NO PG NOVO, E ENERGIZAR A OBRA.;3;JACOBINA;2025-04-01;1089493;Consolidado;N/A
9102134901;B-1170699;AC-CIND-FAZ-SALGADO-ITALEGRE;BAIXA GRANDE;ENERGIZADA;HEMORGENES;GABRIEL;ANTONIO GALINDO;7.1.2.3;RECLAMAÇÃO;21/02/25;25/03/25;;2025-31518;;;;;;E732488;1;1;1;1;1;100,00%;100%;09/04/25;4/9/2025;14/04/2025;PES 31818 / OC 35768;L381998;-11.855097;-40.729660;R$ 29.932,31;R$ 2.300,00;R$ 2.300,00;R$ 2.300,00;8%;;;PES LV. - INTERCALAR POSTE AT COM N1 ENTRE OS PGS L434732 E L381998 , INSTALAR TRAFO E ENERGIZAR A OBRA.;1;JACOBINA;2025-04-01;1170699;Consolidado;N/A
9101727668;B-1007792;ER-CCOL-POV-QUIXABEIRA -RURAL;CAMPO FORMOSO;;WESLEY;EDILECIO;DIORLAN;7.1.1.3;REPUTACIONAL;02/04/25;02/04/25;;2025-32320;2025-32335;;;;;E732557 AO E732559;1;3;;;3;100,00%;0%;;;;;D301549;-9.963840;-40.590542;R$ 23.647,36;R$ 5.579,54;R$ 5.579,54;R$ 1.859,85;24%;;;PES LV. - INTERCALAR POSTE AT COM N1 ENTRE OS PGS D301549 E D301550 , INSTALAR TRAFO E ENERGIZAR A OBRA. PES ENCABEÇ -FECHAR CHAVE DO TRFAVO NOVO, INSTALADO NO POSTE NOVO ENTRE OS PGS D301549 E D301550 E ENERGIZAR A OBRA.;1;JACOBINA;2025-04-01;1007792;Consolidado;N/A
9101730945;B-1041124;MP-CCOL-FAZ-SITIO E ADJ-ARARAS RURAL;CAMPO FORMOSO;AVANÇO 50%;JAIRO;EDILECIO;DIORLAN;14.7.2003;REPUTACIONAL;04/02/25;2/4/2025;;2025-31519;2025-30850;;;;;E719639 ao E719702;5;64;;;32;50,00%;0%;14/04/25;30/04/25;;;B062381;-10.16499;-40.487065;R$ 425.903,96;R$ 132.836,37;R$ 66.418,19;R$ 2.075,57;31%;;;PES LV. - INTERCALAR POSTE AT COM N4-3 ENTRE OS PGS B062381 E O PG DO TRAFO N72224 E EXTENDER REDE NOVA MT. PES ENCABEÇ -FECHAR CHAVE DO TRAFOO NOVO, INSTALADO NO POSTE NOVO ENTRE ENTRE OS PGS B062381 E O PG DO TRAFO N72224 E ENERGIZAR A OBRA.;22;JACOBINA;2025-04-01;1041124;Consolidado;N/A
9102007027;B-1122127;MP-CCOL-POV.BOA VISTA DO CAJ-RURAL;CAMPO FORMOSO;AVANÇO 50%;JAIRO;EDILECIO;DIORLAN;PLANO 7;REPUTACIONAL;20/03/25;20/03/25;;2025-31520;CRIAR;2025-44252 2025-42526;30/04/2025  14/05/2025;EM ANALISE;1021925;E734507 ao E734542;3;46;;;23;50,00%;0%;15/04/25;15/05/25;;;D188098;-10.051111;-40.3945463;R$ 783.832,42;R$ 61.154,02;R$ 30.577,01;R$ 1.329,44;8%;;;;22;JACOBINA;2025-04-01;1122127;Consolidado;N/A
9102082319;B-1153824;MP CIND POV MORRINHOS RURAL MOD;CAMPO FORMOSO;AVANÇO 50%;EUDARIO;EDILECIO;DIORLAN;7.1.2.3;REPUTACIONAL;01/04/25;01/04/25;;2025-31521;2025-30984;;;;1022924;E742665 ao E742718;8;54;;;27;50,00%;0%;14/04/25;15/05/25;;;Q063245;-10.370910;-40.585763;R$ 436.644,28;R$ 94.247,00;R$ 47.123,50;R$ 1.745,31;22%;;;"PES LV - TRANSFORMAR N3 EM N4 NO PG EXISTENTE Q063245, EXTENDER REDE MT, E ENERGIZAR A OBRA. PES ENCABEÇ.-TRANSFERIR REDE BT EXISTENTE NO TRECHO ENTRE OS PGS Q063245 E O B032646
 , FECHAR A CHAVE NOVA INSTALADA NO PG NOVO E ENERGIZAR A OBRA";22;JACOBINA;2025-04-01;1153824;Consolidado;N/A
9102083211;B-1145752;LD-CIND-POV-TIQUARA-RURAL;CAMPO FORMOSO;;ANTONIO;EDILECIO;DIORLAN;7.1.2.3;REPUTACIONAL;01/04/25;01/04/25;;2025-38263;;;;;1022925;E742719 ao E742742;1;5;;;5;100,00%;0%;17/04/25;30/04/25;;;E225949;-10.437318;-40.586754;R$ 385.598,49;R$ 9.000,00;R$ 9.000,00;R$ 1.800,00;2%;;;PES LV - TRANSFORMAR N3 EM N4 NO PG E629994 E ENERGIZAR A OBRA;13;JACOBINA;2025-04-01;1145752;Consolidado;N/A
9102050441;B-1139337;AC-CIND-POV-VARZEA DO LA O 150-V DO LAGO;GAVIAO;OBRA DIRECIOANDA PARA A DINAMO;;GABRIEL;MANOEL GUSTAVO;7.1.2.3;PRIORIDADE PLANO ANEEL;04/02/25;02/04/25;;;2025-31230;;;;;E732565 AO E732569;1;;;;;100,00%;0%;;;;;A246956;-11.561771;-39.745366;R$ 33.418,90;R$ 0,00;;;;;;PES ENCABEÇ.- ENCABEÇAR REDE BT EM PG NOVO INSTALADO ENTRE OS POSTES  A246956 E A246957 E ENERGIZAR A OBRA.;1;JACOBINA;2025-04-01;1139337;Consolidado;N/A
9102128190;B-1161896;ER-CCOL-FAZ-MOITA GRANDE-PAULISTA;MIRANGABA;ENERGIZADA;ELIEZER;GABRIEL;NATALICIO;7.1.2.1;RECLAMAÇÃO;25/03/25;25/03/25;;2025-31299;2025-31321;;;;;E732570 AO E732571;1;2;2;2;0;100,00%;0%;05/04/25;4/7/2025;15/04/2025;PES 31321/ OC 39299;D507645;-10.9210278;-40.623725;R$ 13.539,03;R$ 3.921,00;R$ 3.921,00;R$ 3.921,00;29%;;;PES LV - INTERCALAR DOIS POSTES AT COM N1 ENTRE OS PGS D507645 E O POSTE DO TRAFO V30380. PES DE ENCABEÇ - ENCABEÇAR A REDE BT NOVA NO PG DO TRAFO V30380 E ENERGIZAR A OBRA.;1;JACOBINA;2025-04-01;1161896;Consolidado;N/A
9102133476;B-1166347;ER-CIND-RUA-RURAL-CENTRO-IBIAPORA;MUNDO NOVO;ENERGIZADA;JOÃOZITO;GABRIEL;NAILTON;7.1.2.3;PRIORIDADE PLANO ANEEL;24/03/25;24/03/25;;;2025-31331;;;;;E732618 AO E732621;1;4;4;4;4;100,00%;100%;02/04/25;4/4/2025;03/04/2025;PES 31331/ OC8141;B112608;-12.104199;-40.763529;R$ 32.490,63;R$ 6.700,00;R$ 6.700,00;R$ 1.675,00;21%;;;PES ENCABEÇ.- ENCABEÇAR REDE BT NOVA NO PG B112608 E ENERGIZAR A OBRA.;1;JACOBINA;2025-04-01;1166347;Consolidado;N/A
