NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;OBRA SIMPLIFICADA;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;SOLICITAÇÃO DE TRANSPORTE CONCRETO;PES LV;PES ENCAB. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNP;AVNR;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;VALOR SERVIÇO;SERV. X % AVNP;TICKET MÉDIO;% VLR SERV X VLR PROJETO;PROVAVEL ROCHA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102092974;B-1155714;ER-CIND-FAZ-MARRUAIS 336-FZ VARZEA SUJA;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;JOSE MILTON;EDUARDO;;PLANO 14;;;04/08/2025;08/08/2025;11/08 CONCRETO;11/08/2025;2025-102909;2025-91284;2025-88246;19/08/2025;APROVADO;1034356;E839086 ao E889099;1;14;;13;13;93%;100%;13/08/2025;19/08/2025;27/08/2025;PES 102909 / OC 65447;B850016;-11,432909;-40,016161;R$  110.754,51;R$  23.191,22;2153470%;R$  1.656,52;21%;;;;PES DESL. : ABRIR A CHAVE FUSIVEL  G35298, PARA POSSIBILITAR INTERCALAR POSTE ENTRE OS PG'S B850016 E B850017. (ATERRAR O PG B850016 E B850017)  E ENERGIZAR OBRA PES BT.: FECHAR CHAVE DO TRAFO NOVO, E FECHAR A CHAVE NOVA INSTALADA NA DERIVAÇÃO E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1155714;Consolidado;N/A
9102095963;B-1161968;MP-CIND-POV.CONFORTO-RURAL;GAVIÃO;ENERGIZADA;ANTONIO;EDUARDO;MANOEL CONCEICAO;PLANO 14;PRIORIDADE PLANO ANEEL;;30/07/2025;31/07/2025;04/08/2025;04/08/2025;;2025-91287;2025-87995;13/08/2025;APROVADO;1033988;E836589 ao E836604;1;16;;12;12;75%;100%;07/08/2025;13/08/2025;26/08/2025;PES 91287 / OC 63102;B717942;-11,426394;-39,718478;R$  195.970,53;;0%;R$  -;0%;;;;PES DESL. : ABRIR A CHAVE FUSIVEL  G59663, PARA TRANSFORMAR N3 EM N4 NO PG B717942 E ENCABEÇAR REDE NOVA. (ATERRAR O PG B717941 E B717943) PES BT.: FECHAR CHAVE DO TRAFO NOVO, E FECHAR A CHAVE NOVA INSTALADA NA DERIVAÇÃO E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1161968;Consolidado;N/A
9101955212;B-1101377;LD CIND POV ASSENT PANORAMA RURAL;PIRITIBA;ENERGIZADA;JOAOZITO;EDUARDO;;PLANO 14;RECLAMAÇÃO;;31/07/2025;31/07/2025;04/08/2025;05/08/2025;;2025-91361;2025-95110;26/08/2025;APROVADO;1034347;E839056 ao E839069;2;14;;13;13;93%;100%;06/08/2025;13/08/2025;28/08/2025;PES 103435/ OC 67421;B833644;-11,779792;-40,669606;R$  165.359,89;R$  29.798,79;2767031%;R$  2.128,49;18%;VER SE A CHAVE ATENDE ESSE PONTO;VER COM RAFAEL;;PES DESL. : ABRIR A CHAVE FUSIVEL  G43378, PARA TRANSFORMAR N3-3 EM N4-3 NO PG B833644 E ENCABEÇAR REDE NOVA E ENERGIZAR OBRA (ATERRAR O PG E833645 E D022602)PES BT.: FECHAR CHAVE DO TRAFO NOVO, E FECHAR A CHAVE NOVA INSTALADA NA DERIVAÇÃO E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1101377;Consolidado;N/A
9102276009;B-1206832;UB-SEIN-RUA-DO COQUEIRO-URBANA;MAIRI;ENERGIZADA;JOSE MILTON;EDUARDO;ALBERTO GALINDO;PLANO 7;PRIORIDADE PLANO ANEEL;;31/07/2025;31/07/2025;05/08/2025;06/08/2025;;2025-91566;;;;;E836656 ao E836661;;6;;6;6;100%;100%;05/08/2025;06/08/2025;13/08/2025;PES 95166 / OC 28373;D520981;-11,709870;-40,156671;R$  43.218,14;R$  10.083,96;1008396%;R$  1.680,66;23%;;;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D520981 E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1206832;Consolidado;N/A
9101923953;B-1102882;MP-CCOL-RUA DO COMERCIO-RURAL;CAMPO FORMOSO;MIGRADA - ESCAVADA 120 , REPASSE 31, POSTE IMPLANTADO MT 69 E BT 36;JAIRO/EUDÁRIO;EDLECIO;DIORLAN REIS;PLANO 14;LPT;;28/08/2025;;;;2025-58460;2025-94871;;;;1016761/2024;E698814 ao E698993;20;151;;;151;100%;0%;23/07/2025;30/08/2025;;;B747338;-10.6054705;-40.934601;R$  1.827.457,22;;0%;R$  -;0%;;;;PES BT.: FECHAR CHAVE DO TRAFOS NOVOS, E FECHAR A CHAVE NOVA INSTALADA NA DERIVAÇÃO E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1102882;Consolidado;N/A
9102033783;B-1136916;UB-CIND-RUA-ARNALDO BORGES MATOS-AEROPOR;PIRITIBA;ENERGIZADA;JOAOZITO;EDUARDO;;PLANO 7;PRIORIDADE PLANO ANEEL;;30/07/2025;31/07/2025;04/08/2025;05/08/2025;;2025-91449;;;;1034004;E836714 ao E836720;1;10;;10;10;100%;100%;04/08/2025;06/08/2025;12/08/2025;PES 91449 / OC 26400;D713745;-11,742356;-40,559956;R$  34.563,25;R$  16.384,66;1638466%;R$  1.638,47;47%;;;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE D713745 E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1136916;Consolidado;N/A
9102163187;B-1186797;UB-CIND-RUA-D 99-JACOBINA III;JACOBINA;ENERGIZADA;;EDUARDO;;PLANO 7;DIA C;SIM;11/08/2025;11/08/2025;16/08/2025;;;CRIAR;;;;;;1;1;;1;1;100%;100%;15/08/2025;15/08/2025;15/08/2025;PES 96908 / OC 33781;R007039;-11,198372;-40,529770;R$  (40,53);R$  1.517,37;151737%;R$  1.517,37;-3744%;;;;PES BT: ENCABEÇAR REDE BT NOVA NO PG EXISTENTE R007039 E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1186797;Consolidado;N/A
9102240594;B-1202667;RR-CIND-POV-LAMEIRO VARZEA DANTAS 2233-R;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;ANTONIO;EDUARDO;;PLANO 7;PRIORIDADE PLANO ANEEL;;31/07/2025;31/07/2025;04/08/2025;04/08/2025;;2025-95730;2025-92285;20/08/2025;APROVADO;;E836694 ao E836706;1;13;;13;13;100%;100%;13/09/2025;19/08/2025;26/08/2025;PES 101995 / OC 62753;A266521;-11,400982;-39,848296;R$  114.729,30;R$  23.346,90;2334690%;R$  1.795,92;20%;;;;PES DESL. : ABRIR A CHAVE FUSIVEL  G50771, PARA INSTALAR N3 NO PG A266527 E ENCABEÇAR REDE NOVA. (ATERRAR O PG A266526 E B917381) PES BT.: FECHAR CHAVE DO TRAFO NOVO, E FECHAR A CHAVE NOVA INSTALADA NA DERIVAÇÃO E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1202667;Consolidado;N/A
9102100919;B-1157487;RR-CIND-POV-OLHOS DAGUA 845-RURAL;MAIRI;ENERGIZADA;JOSE MILTON;EDUARDO;MANOEL CONCEICAO;PLANO 7;PRIORIDADE PLANO ANEEL;;28/07/2025;31/07/2025;05/08/2025;06/08/2025;;2025-91289;2025-96021;29/08/2025;APROVADO;1033998;E836644 ao E836655;1;12;;12;12;100%;100%;07/08/2025;13/08/2025;29/08/2025;PES 96021 / OC 70038;R043503;-11,638870;-40,207103;R$  82.692,35;R$  21.460,77;2146077%;R$  1.788,40;26%;;;;PES DESL. : ABRIR A CHAVE FUSIVEL  J14549, PARA POSSIBILITAR INTERCALAR POSTE ENTRE OS PG'S R043503 E R043502. (ATERRAR O PG R043503 E R043502)  E ENERGIZAR OBRA PES BT.: FECHAR CHAVE DO TRAFO NOVO, E FECHAR A CHAVE NOVA INSTALADA NA DERIVAÇÃO E ENERGIZAR A OBRA.;;JACOBINA;2025-08-01;1157487;Consolidado;N/A
9102223108;B-1194789;AC-GRUA-RUA-DO CRUZEIRO 20-CENTRO;OUROLÂNDIA;ENERGIZADA;;EDILECIO;;PLANO 7;GOVERNO;;25/08/2025;;;;;;2025-95146;27/08/2025;;1034020;E836694 ao E836713;0;5;;4;4;80%;100%;;;28/08/2025;PES 103200 / OC 68362;B916920;-10,970812;-41,075518;R$  59.739,79;;0%;R$  -;0%;;;;;;JACOBINA;2025-08-01;1194789;Consolidado;N/A
