B-1227403;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS;ETAPA;OBS;SUPERVISOR;AR;CARTEIRA;V. PROJETO;VALOR REAL;PIN;PLANO;AVANÇO;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;PROVAVEL ROCHA;DT I PROG;DT F PROG;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OC. ENERG.;AS BUILT;OBS.1;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102339113;B-1226351;ER-CIND-FAZ-RIACHO-PILOES;CAEM;OLISVALDO;ENERGIZADA;ENERGIZADA;;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 19.700,30;R$ 3.127,47;7.1.2.3;PLANO 7;100%;NÃO;0;-11,116931;-40,006586;;D777818;;E899717;;20/11/2025;17/11/2025;OK;05/12/2025;;2025-158776;;2025-149648;;;;;;1;1;1,00;100,00%;;;0,00%;;02/12/2025;02/12/2025;09/12/2025;;;;10/12/2025;SIM;2025-10-34720;;;JACOBINA;2025-12-01;1226351;Consolidado;N/A
9102344618;B-1227689;UB-CIND-RUA-DO CONTORNO-CENTRO;CAEM;OLISVALDO;ENERGIZADA;ENERGIZADA;;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 15.219,38;;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,087138;-40,430872;;D699524;;E899681 AO E899682;;;17/11/2025;OK;05/12/2025;;2025-159380;;;;;;;;2;2;2,00;100,00%;2;2;100,00%;;03/12/2025;03/12/2025;10/12/2025;;;;11/12/2025;SIM;39308;;;JACOBINA;2025-12-01;1227689;Consolidado;N/A
9102347650;B-1230051;AC-CIND-AV-ITAPICURU MIRIM 10-GONCALO;CAEM;OLISVALDO;ENERGIZADA;ENERGIZADA;CONCLUI ATÉ DIA 30/12;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 50.349,75;R$ 7.362,13;7.1.2.3;PLANO 7;100%;NÃO;INSTITUCIONAL;-11,187123;-40,265646;;D123502;;E899678;;02/12/2025;17/11/2025;OK;04/12/2025;;;;2025-149841;;2025-149361;;21/12;;1;3;3,00;100,00%;;;0,00%;;04/12/2025;05/12/2025;30/12/2025;;;;05/01/2026;;;;Desligamento reprogramado deu cava em rocha.;JACOBINA;2025-12-01;1230051;Consolidado;N/A
9102145474;B-1184679;EQ-COEL-CO-ALTO BONITO-RURAL;CALDEIRÃO GRANDE;OLISVALDO;INICIADA;ALOCAÇÃO;FALTA REGULADOR TENSÃO - 1000015 RT 13,8KV 276KVA 200A 1F;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 402.104,27;;8.2.2.3;PLANO 8;100%;NÃO;PERDAS TÉCNICAS;-10,992291;-40,344884;;R013203;;E899649 AO E899650;;;17/11/2025;ok;08/12/2025;;;;2025-149915;;;;;;0;2;;0,00%;;;0,00%;;06/12/2025;06/12/2025;23/12/2025;;;;;;;;;JACOBINA;2025-12-01;1184679;Consolidado;N/A
9102163733;B-1186926;ER-CIND-FAZ-SETE PORCOS-RURALSETE PORCOS;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;EDUARDO;MANOEL CONCEIÇAO;12/11/2025;R$ 33.987,03;R$ 4.442,28;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,434045;-40,034336;;D408827;;E899651 AO E899652;;20/11/2025;17/11/2025;OK;05/12/2025;;;;2025-149927;;;;;;1;2;2,00;100,00%;;;0,00%;;02/12/2025;04/12/2025;09/12/2025;;;12/12/2025;12/12/2025;;2025-10-43173;;;JACOBINA;2025-12-01;1186926;Consolidado;N/A
9102332225;B-1221429;ER-CIND-FAZ-TIYUYU-RURAL;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;EDUARDO;MANOEL CONCEIÇAO;12/11/2025;R$ 52.635,47;R$ 10.820,18;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,302075;-40,024852;;D321196;;E899709 AO E899713;;24/11/2025;17/11/2025;OK;05/12/2025;;CRIAR;;2025-149942;;;;;;1;5;5,00;100,00%;;;0,00%;;05/12/2025;09/12/2025;19/12/2025;;;;19/12/2025;;;;;JACOBINA;2025-12-01;1221429;Consolidado;N/A
9102322954;B-1226149;UB-CIND-AV-CARMEM MIRANDA 416-NOVO OESTE;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;DESLI. ( ABRIR CHAVE W84160  SUBSTITUIÇÃO DE REDE BT, SUBSTITUIÇÃO DE TRAFO.;EDUARDO;MANOEL CONCEIÇAO;12/11/2025;R$ 46.487,56;R$ 1.779,98;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,375126;-40,027395;;D506887;;;;25/11/2025;17/11/2025;OK;05/12/2025;;;CRIAR;;;2025-151061;;10/12;;1;0;;0,00%;;;0,00%;;10/12/2025;10/12/2025;;;;;10/12/2025;SIM;2025-10-35488;;;JACOBINA;2025-12-01;1226149;Consolidado;N/A
9102336569;B-1218813;RC-CIND-POV-CANAVIEIRA-NAZARE;JACOBINA;OLISVALDO;INICIADA;IMPLANTAÇÃO;CONCLUI ATÉ DIA 30/12;EDUARDO;NATALICIO SILVA;12/11/2025;R$ 66.669,84;R$ 11.879,17;8.6.2003;PLANO 8;100%;NÃO;INSTITUCIONAL;-11,330276;-40,170730;;R001803;;E899778 AO E899782;;02/12/2025;17/11/2025;OK;05/12/2025;;CRIAR;;;;CRIAR  22/01/06;DESLIGAMENTO DO TRAFO J23161 SUBSTITUIÇÃO DE REDE BT NOS POSTE R001232 ,R001231, R001229;verificar;;0;5;5,00;100,00%;;;0,00%;;13/12/2025;17/12/25;depende de manobra;;;;;;;;;JACOBINA;2025-12-01;1218813;Consolidado;N/A
9102327924;B-1226485;AC-PREF-RUA-ANTONIO T SOBRINHO-MISSAO;JACOBINA;OLISVALDO;ENERGIZADA;CONCLUIDA;DESLI. ( ABRIR CHAVE TRAFO N92428  SUBSTITUIÇÃO DE TRAFO E REDE BT ENTRE OS POSTES R010018 E D934032.;EDLECIO;NATALICIO SILVA;12/11/2025;R$ 34.090,27;;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,181168;-40,517116;;R010019;;;;;17/11/2025;;09/12/2025;;;;;;2025-156337;;19/12;;1;0;;0,00%;;;0,00%;;20/12/2025;20/12/2025;19/12/2025;;;;;;;;;JACOBINA;2025-12-01;1226485;Consolidado;N/A
9101856252;B-1073291;MP CIND RUA DO CRUZEIRO RURAL;MIRANGABA;EUDARIO;INICIADA;ESCAVAÇÃO;FALTA ALÇA E TRAFO - 211190 TRAFO 1FF 10KVA 34,5KV 220V 3T MI  - 3430120 ALCA PREF DIST ALUM 4AWG 430MM;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 141.307,86;R$ 34.813,94;14.4.12.1;PLANO 14;100%;NÃO;LPT;-10,7048332;-40.7767819;;E070995;1043552;E919753 AO E919766;;03/12/2025;17/11/2025;OK;05/12/2025;;CRIAR;;2025-149975;;;;;;1;14;6,00;42,86%;14;14;100,00%;;10/12/2025;13/12/2025;23/12/25;;;;;;;;;JACOBINA;2025-12-01;1073291;Consolidado;N/A
