UNNAMED: 0;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS;ETAPA;IMPEDITIVO;OBS;AVANÇO;SUPERVISOR;AR;CARTEIRA;V. PROJETO;VALOR REAL;PIN;PLANO;AVANÇO.1;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;CONCRETO ENVIADO;PROVAVEL ROCHA;DT I PROG;DT F PROG;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;AS BUILT;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;OBS.1;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101891945;B-1081477;LD CIND AV JACOBINA RURAL;CAPIM GROSSO;JOSE MISAEL;INICIADA;IMPLANTAÇÃO;DIA 28/02;FALTA  TRAFO - 211304 TRAFO 1FF 10KVA 34,5KV 220V 3T MI;SIM;EDUARDO;MANOEL CONCEIÇAO;12/12/25;R$ 116.604,57;R$ 27.116,15;14.4.12.1;PLANO 7;100%;NÃO;LPT;-11,359711;-40,036547;;E125931;;E937238 AO E937247;;LANÇADO CONCRETO-30/12/2025;30/12/2025;30/12/2025;12/01/26;;N;;CRIAR;ENCABEÇAMENTO DE REDE MT N3 PRA N3-3 NO POSTE E125931 E ENERGIZAR OBRA;2026-2262;DESLIG. TRAFO V16464  PARA REALOCAÇÃO DO MESMO.;21/01/26;;1;10;10,00;;;;;10;;20/01/2026;;;;;;;;;PENDENTE/ PODA E CAVA EM ROCHA C EXPLO;;JACOBINA;2026-02-01;1081477;Consolidado;N/A
9101921459;B-1089332;MP-CIND-POV.CONFORTO RURAL;GAVIÃO;HERMOGENES;INICIADA;ENERGIZADA;,;Previsão de conclusão 16/02;SIM;EDUARDO;MANOEL CONCEIÇAO;12/12/25;R$ 60.946,28;R$ 37.222,04;14.4.12.1;PLANO 7;100%;NÃO;AIC AUDITORIA;-11,424065;-39,715125;;B747075;;E919867 AO E919879;;29/12/2025;18/12/2025;30/12/2025;12/01/26;;2026-3477;SUBSTITUIR POSTE BT POR MT  E TRANSFERENCIA DE REDE BT ENTRE OS POSTES B747076 AO B747081 E FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT N3 P/ N4 NO POSTE B747075 E ENERGIZAR OBRA.;N;DESLIG. ABRIR CHAVE DO TRAFO G59664 PARA SUBSTITUIR OS PG ́s B747076 ao B747081;;;1;19;19,00;;;;;19;;23/01/2026;28/02/2026;;;;;18/02/2026;OK;;PENDENTE/ CAVA EM ROCHA C EXPLO;;JACOBINA;2026-02-01;1089332;Consolidado;N/A
9102134085;B-1160891;ER-CCOL-RUA-ALCENDINO L -JOSE PAPAGAIO;GAVIÃO;HERMOGENES;INICIADA;ENERGIZADA;;Previsão de conclusão 16/02;SIM;EDUARDO;MANOEL CONCEIÇAO;12/12/25;R$ 62.419,32;R$ 12.346,56;14.7.2003;PLANO 14;100%;NÃO;LPT;-11,472878;-39,775131;;D518216;;E919900 AO E919905;;LANÇADO CONCRETO-30/12/2025;18/12/2025;30/12/2025;12/01/26;;2026-4299;FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT B3 P/ B4M NO POSTE D518216 E ENERGIZAR OBRA.;N;;;;1;6;6,00;;;;;;;27/01/2026;20/02/2026;;;;;16/02/2026;OK;;;;JACOBINA;2026-02-01;1160891;Consolidado;N/A
9102327983;B-1227089;RC-CIND-RUA-REINALDO JAC VIEIRA-PERU;JACOBINA;OLISVALDO;INICIADA;ALOCAÇÃO;;a chave q desliga a rede primaria retira mais de 5 mil clientes. aguardando visita do ar obra de avanço;;EDLECIO;RAFAEL CRUZ;46029;R$ 18.330,79;;;PLANO 8;;;;-11,184922;-40,519692;;R006079;;;;;46030;;;;;;CRIAR;TENSIONAR CONDUTOR NU ENTRE O PG  D102752 E D226854 / INSTALAR POSTE 9 A 14 METROS ENTRE PG   B689148 E D102752;CRIAR;DESLIG. CHAVE xxxxx RETIRAR CHAVE FUSIVEL NO PG D234581, RETIRAR CONDUTOR NU  ENTRE OS PG D226854 ,B689148 D102752, E R006081, RETIRAR POSTE 9 A 14 METROS  entre os pg B689148 e D102752. / NSTALAR CABO MULTIPLEX 35 A 70 MM2, / NSTALAR CONDUTOR NU / INSTALAR POSTE 9 A 14 METROS;DEFINIR;;1;1;;;;;;;;46044;;;;;;;;;;;JACOBINA;2026-02-01;1227089;Consolidado;N/A
9102247255;B-1205911;ER-CIND-POV-JOAO DELMIRO 266-RURAL;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;;;SIM;EDLECIO;ERIC TEIXEIRA;12/12/2025;R$ 15.777,43;R$ 32.475,22;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,831583;-41,297679;;B534756;1046200;E937206 AO E937218;;29/12/2025;29/12/2025;46021;12/01/2026;;N;;;ENCABEÇAMENTO DE REDE MT N1 P/ N1-3 NO POSTE B534756.;2026-2269;DESLIG. TRAFO G30263  PARA REALOCAÇÃO DO MESMO E SUBSTITUIÇÃO DE POSTE BT POR MT NOS POSTES B534757 E B534758.;21/1/2026;;1;15;15,00;;;;;;;12/01/2026;11/02/2026;;;;;11/02/2026;OK;;;;JACOBINA;2026-02-01;1205911;Consolidado;N/A
9102124496;B-1166217;LD CIND PO CAMPO ALEGRE RURAL;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;;;SIM;EDLECIO;ERIC TEIXEIRA;12/12/2025;R$ 132.434,35;R$ 23.275,78;14.7.2003;PLANO 14;100%;NÃO;AIC AUDITORIA;-10,815784;-41,402599;;D064440;;E937230 AO E937237;;30/12/2025;29/12/2025;46021;12/01/2026;;CRIAR;;CRIAR;ENCABEÇAMENTO DE REDE MT N3 PRA  N4 NO POSTE D064440 ENERGIZAR OBRA.;2026-3550;DESLIG. TRAFO J54487 SUBSTITUIR POSTES  D064438,D064439 E D064437 BT POR MT.;23/1/2026;;1;11;11,00;;;;;;;05/01/2026;12/02/2026;;;;;11/02/2026;PENDENTE;;;;JACOBINA;2026-02-01;1166217;Consolidado;N/A
9101734073;B-1033157;MP-CCOL-POV-INGAZEIRA-RURAL;TAPIRAMUTÁ;ALESSANDRO, ANTONIO;INICIADA;ENERGIZADA;;;SIM;EDUARDO;RICARDO BRITO;12/11/2025;R$ 895.710,67;;14.7.2003;PLANO 14;100%;NÃO;JUDICIAL;-11,898634;-40,801908;;;;;;02/12/2025;17/11/2025;OK;04/12/2025;;CRIAR;;;;criar;;27/12/2025;;2;65;65,00;100,00%;80;63;78,75%;;;01/12/2025;06/02/2026;;;;;05/02/2026;OK;;EM ANDAMENTO/ PODA;;JACOBINA;2026-02-01;1033157;Consolidado;N/A
9102365525;B-1236040;ER - CIND - FAZ. DIAMANTINA RURAL;UMBURANAS;ALESSANDRO, EUDARIO;CARTEIRA;VISITA PREVIA;FALTA  TRAFO - 211304 TRAFO 1FF 10KVA 34,5KV 220V 3T MI  - FALTA CABO 4 2202040;obra de avanço - FALTA ALÇA - não iniciada;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 48.490,69;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,55443;-40,986972;;B034817;1046196;E937156 AO E937178;;29/12/2025;29/12/2025;30/12/2025;12/01/26;;2026-5723;SUBSTITUIR POSTE BT POR MT  E TRANSFERENCIA DE REDE BT ENTRE OS POSTES B034818 E B034819 ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT N3 P/ N4 NO POSTE B034817 ENERGIZAR OBRA.;N;;;;1;25;14,00;;;;;;;;28/02/2026;;;;;;;;;;JACOBINA;2026-02-01;1236040;Consolidado;N/A
9101900215;B-1079517;ER-CIND-POV-SALINAS-SALINAS;VÁRZEA NOVA;EUDARIO, ANTONIO;CARTEIRA;VISITA PREVIA;DIA 27/02;3 postes serão substituidos no desligamento 26/02, Falta cabo 4CAA no estoque, FALTA TRAFO 210497 TRAFO 1FF 10KVA 13,8KV 220V 5T MI;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 28.569,18;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,221493;-40,941871;;Q131666;1046206;E937256 AO E937263;;29/12/2025;29/12/2025;30/12/2025;12/01/26;;N;;CRIAR;INSTALAR POSTE 11600D, N1-3, ENTRE OS POSTES Q131666  E  Q131667 REALOCAR CHAVE FUSIVEL N02261 ENERGIZAR OBRA;2026-4585;DESLIG. CHAVE N02261 RETIRAR CONDUTOR NU, RETIRAR POSTE 9 A 14 METROS , RETIRAR TRAFO MONOFASICO.;29/01;;1;15;4,00;;;22/01/26;;;;;28/02/2026;;;;;27/02/2026;PENDENTE;;;;JACOBINA;2026-02-01;1079517;Consolidado;N/A
9101893892;B-1079863;ER-CIND-FAZ-MATA DO MEL-RURAL;VÁRZEA NOVA;ANTONIO;INICIADA;ALOCAÇÃO;FALTA  TRAFO - 211304 TRAFO 1FF 10KVA 34,5KV 220V 3T MI;falta detonar 10 cavas e falta cabo 4 no estoque;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;;7.1.2.3;PLANO 7;100%;NÃO;AIC AUDITORIA;-11,152228;-40,839949;;D531135;1046221;E937306 AO E937319;;;29/12/2025;;16/01/2026;;N;;CRIAR;INTERCALAR POSTE MT N1-3,11/600  ENTRE OS POSTES D531135 E D531136. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;;;;1;14;12,00;;;;;;;14/01/26;28/02/2026;;;;;;;;;;JACOBINA;2026-02-01;1079863;Consolidado;N/A
