NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS;ENCARREGADO;SUPERVISOR;AR COELBA;NAN;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG'S;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVNP;INCIO;FIM;DATA ENERG REAL;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101077475;B-0823492;MP-CIND-POV PEDRA BRANCA-RURAL;MUNDO NOVO;;EDILSON;RENATO;DIORLAN;;LPT;03/01/25;03/01/25;10/01/25;2025-7250;2025-7260;;;;;E615818 AO E615825;1;8;4;;8;;;08/01/25;21/01/25;;;-12.007194;;R$ 122.973,00;;;;;;Intercalar poste c LV, solo bom;JACOBINA;2025-01-01;0823492;Consolidado;N/A
9101763912;B-1056397;MP-CIND-FAZ-LAGOA DO FELIPAO-RURAL;PIRITIBA;ANDAMENTO;RODRIGO;DURVAL;DIORLAN;;LPT;03/01/25;03/01/25;08/01/25;2025-7271;2025-7282;;;;1016757/2024;E698713 ao E698723;1;10;;;10;;;20/01/25;31/01/25;;;-11.722435;-40.667881;R$ 129.497,91;;;;;;Montar bancada N3 c LV. Solo bom;JACOBINA;2025-01-01;1056397;Consolidado;N/A
9100996248;B-0801606;LD CIND FAZ LAGOA DA PEDRA RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;JUDICIAL;02/01/25;02/01/25;07/01/25;2025-9578;;;;;;E615811 AO E615817;1;7;7;7;0;100,00%;;20/01/25;25/01/25;25/01/2025;;-11.643832;-40.466862;R$ 42.662,80;;;;;;Intercalar poste c LV, solo bom;JACOBINA;2025-01-01;0801606;Consolidado;N/A
9102099617;B-1152973;ER-CCOL-FAZ-MELANCIAS-RR-OUROLANDIA;OUROLÂNDIA;ENERGIZADA;ELIEZER;ETEMILSON;NAILTON;;REPUTACIONAL;02/01/25;02/01/25;07/01/25;2025-7862;2025-7867;;;;1016759/2024;E698747 ao E698798;3;52;52;52;0;100,00%;;06/01/25;31/01/25;31/01/2025;;-10.891227;-41.1274074;R$ 554.239,65;;;510,00;;;Intercalar poste c LC, Pelas fotos do geoex os postes já estao implantados por outra EPS. NECESSIDADE DE VISITAR;JACOBINA;2025-01-01;1152973;Consolidado;N/A
9101899532;B-1073346;LD-CIND-PR.GALDINO VITORIA-RURAL;MUNDO NOVO;;LUCIANO;RENATO;DIORLAN;;LPT;03/01/25;06/01/25;09/01/25;2025-9929;;;;;;E615827 E E615827;1;2;;;2;0%;;11/01/25;18/01/25;;;-12.041839;-40.793877;R$ 27.036,75;;;;;;Intercalar poste c LV, solo bom;JACOBINA;2025-01-01;1073346;Consolidado;N/A
9101891345;B-1077724;LD CIND POV BAIXINHA RURAL;CAMPO FORMOSO;ENERGIZADA;EUDARIO;ETEMILSON;HIAGO;;REPUTACIONAL;23/01/25;23/01/25;25/01/25;2025-9864;2025-11043;;;;;E615914 ao E615922;1;9;9;9;0;100,00%;;23/01/25;28/01/25;29/01/2025;;;;R$ 82.906,45;;;;;;Intercalar poste c LV. Muita poda. Cava trado;JACOBINA;2025-01-01;1077724;Consolidado;N/A
9102127550;B-1160910;ER CIND FZ BOA VISTA RURAL;MUNDO NOVO;ENERGIZADA;LUCIANO;RENATO;DIORLAN;;QLP;07/01/25;07/01/25;17/01/25;;2025-7201;;;;;E615830;1;1;1;;1;;;20/01/25;25/01/25;29/01/2025;;-11.824869;-40.488726;R$ 23.515,59;;;235,00;;;Extensão BT, solo bom;JACOBINA;2025-01-01;1160910;Consolidado;N/A
9101799780;B-1035980;MP- CIND - POV.MANICOBA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;;LPT;09/01/25;09/01/25;28/01/25;2025-9948;2025-9969;;;;1016760/2024;E698799 ao E698813;1;15;;;15;0%;;17/01/25;21/01/25;;;-11.759154;-40.627565;R$ 134.719,83;;;;;;Intercalar poste c LV, solo bom;JACOBINA;2025-01-01;1035980;Consolidado;N/A
9101868390;B-1065855;LD-CIND-POV VILA NOVA-RURAL PRB;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;;;2025-891;22/01/25;CONCLUÍDO;;E615896 ao E615898;1;3;3;3;0;;;22/01/25;22/01/25;22/01/2024;;-11.6044054;-40.7605411;R$ 20.489,85;;;;;;Desligamento para realocar rede MT e extender poste BT;JACOBINA;2025-01-01;1065855;Consolidado;N/A
9101971076;B-1114605;MP-CIND-POV-MIRANDAS-RURAL;MUNDO NOVO;ENERGIZADA;EDILSON;RENATO;DIORLAN;;JUDICIAL;08/01/25;08/01/25;11/01/25;2025-9996;2025-10009;;;;1016762/2024;E698994 ao E699023;1;29;28;29;0;100,00%;;21/01/25;31/01/25;31/01/2025;;-11.955822;-40.638326;R$ 383.705,16;;;;;;Transformar estrutura em poste circular c LV. Solo cava c/ trado;JACOBINA;2025-01-01;1114605;Consolidado;N/A
