UNNAMED: 0;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS;ETAPA;OBS;AVANÇO;SUPERVISOR;AR;CARTEIRA;V. PROJETO;VALOR REAL;PIN;PLANO;AVANÇO.1;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;CONCRETO ENVIADO;PROVAVEL ROCHA;DT I PROG;DT F PROG;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;AS BUILT;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101921459;B-1089332;MP-CIND-POV.CONFORTO RURAL;GAVIÃO;HERMOGENES;INICIADA;IMPLANTAÇÃO;obra de avanço -  - programarar maquina cava;SIM;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 60.946,28;R$ 37.222,04;14.4.12.1;PLANO 14;100%;NÃO;AIC AUDITORIA;-11,424065;-39,715125;;B747075;;E919867 AO E919879;;29/12/2025;18/12/2025;30/12/2025;12/01/26;;2026-3477;SUBSTITUIR POSTE BT POR MT  E TRANSFERENCIA DE REDE BT ENTRE OS POSTES B747076 AO B747081 E FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT N3 P/ N4 NO POSTE B747075 E ENERGIZAR OBRA.;N;;;;1;19;7,00;;;;;19;;23/01/2026;26/01/2026;;;;;;;;FEITO;JACOBINA;2026-01-01;1089332;Consolidado;N/A
9102124496;B-1166217;LD CIND PO CAMPO ALEGRE RURAL;OUROLÂNDIA;EUDARIO;INICIADA;IMPLANTAÇÃO;obra de avanço - falta trafo, cabo pot ,  - programarar maquina cava - poste implantados;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 132.434,35;R$ 23.275,78;14.7.2003;PLANO 14;100%;NÃO;AIC AUDITORIA;-10,815784;-41,402599;;D064440;;E937230 AO E937237;;30/12/2025;29/12/2025;30/12/2025;12/01/26;;CRIAR;;CRIAR;ENCABEÇAMENTO DE REDE MT N3 PRA  N4 NO POSTE D064440 ENERGIZAR OBRA.;2026-3550;DESLIG. TRAFO J54487 SUBSTITUIR POSTES  D064438,D064439 E D064437 BT POR MT.;23/01/26;;1;11;10,00;;;;;;;05/01/2026;13/01/2026;23/01/2026;;;;;;;;JACOBINA;2026-01-01;1166217;Consolidado;N/A
9101891945;B-1081477;LD CIND AV JACOBINA RURAL;CAPIM GROSSO;JOSE MISAEL;INICIADA;IMPLANTAÇÃO;;SIM;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 116.604,57;R$ 27.116,15;14.4.12.1;PLANO 14;100%;NÃO;LPT;-11,359711;-40,036547;;E125931;;E937238 AO E937247;;LANÇADO CONCRETO-30/12/2025;30/12/2025;30/12/2025;12/01/26;;N;;CRIAR;ENCABEÇAMENTO DE REDE MT N3 PRA N3-3 NO POSTE E125931 E ENERGIZAR OBRA;2026-2262;DESLIG. TRAFO V16464  PARA REALOCAÇÃO DO MESMO.;21/01/26;;1;10;10,00;;;;;10;;20/01/2026;23/01/2026;21/01/2026;;;;21/01/2026;PENDENTE;PENDENTE;PENDENTE/ PODA E CAVA EM ROCHA C EXPLO;JACOBINA;2026-01-01;1081477;Consolidado;N/A
9101986026;B-1113417;ER-CIND-RUA-JUREMA-TABUA;VÁRZEA NOVA;ANTONIO;INICIADA;IMPLANTAÇÃO;depende do trafo 10 34,5 31/01;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 43.609,30;R$ 10.839,20;14.4.12.1;PLANO 14;100%;SIM;LPT;-11,0624;-41,115166;;R025330;;E919882 AO E919886;ok;23/12/2025;18/12/2025;;16/01/2026;;N;;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES R025332 E R02533M FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.0. L;N;;;;1;5;5,00;;;;;;;21/01/26;23/01/26;31/01/2026;;;;;;;PENDENTE/ SIMP.;JACOBINA;2026-01-01;1113417;Consolidado;N/A
9102038554;B-1130415;ER-CIND-FAZ-VEADO-BARRG SAO JOSE;QUIXABEIRA;JOSE MISAEL;ENERGIZADA;ENERGIZADA;ENERGIZA 30/01;;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 32.978,03;R$ 6.615,11;7.1.2.3;PLANO 7;100%;SIM;LPT;-11,521731;-40,095118;;R028445;;E919887 AO E919889;;23/12/2025;18/12/2025;;19/01/2026;;N;;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES R028445 E R028483. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;;;;1;3;3,00;;;;;3;;30/01/26;31/01/26;;;28/01/26;30/01/26;30/01/2026;PENDENTE;PENDENTE;PENDENTE/ SIMP.;JACOBINA;2026-01-01;1130415;Consolidado;N/A
9102034761;B-1135795;ER-CIND-FAZ-VEADO-BARRG SAO JOSE;VÁRZEA NOVA;EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 24.620,54;R$ 7.604,47;14.4.12.1;PLANO 14;100%;SIM;LPT;-11,197096;-40,928271;;D160058;;E919890 AO E919893;;23/12/2025;18/12/2025;;16/01/2026;;2026-3529;ENCABEÇAMENO DE REDE BT NO POSTE PROJETADO ENTRE OS POSTES  D160058E E D160057  ENERGIZAR OBRA.;CRIAR;INTERCALAR POSTE MT N1,11/400 ENTRE OS POSTES D160058E E D160057 ENERGIZAR OBRA;N;;;;1;4;4,00;;;;;4;;24/01/26;26/01/26;31/01/2026;;29/01/26;29/01/26;29/01/26;PENDENTE;PENDENTE;PENDENTE/ SIMP.;JACOBINA;2026-01-01;1135795;Consolidado;N/A
9102344832;B-1231445;ER-CIND-FAZ-GENIPAPO-RURAL;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;CAVADA;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 45.378,77;R$ 6.900,07;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,396979;-40,02032;;E284434;;E919894 AO E919896;;LANÇADO CONCRETO;18/12/2025;;16/01/2026;;2026-4041;INSTALAR TRAFO E LANÇAR REDE BT E ENERGIZAR OBRA;CRIAR;INTERCALAR POSTE MT  E BANCADA DE TRAFO ENTRE OS POSTES E284433 E E284434, INTERCALAR POSTE 11400D, N1M ENTRE OS POSTES  E284432 E E284433.;N;;;;3;3;3,00;;;;;3;;24/01/26;26/01/26;;;19/01/26;19/01/26;19/01/2026;ok;PENDENTE;;JACOBINA;2026-01-01;1231445;Consolidado;N/A
9102341814;B-1231453;ER-CIND-FAZ-SAO MAURICIO 33-RURAL;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;depende da linha viva finalizar;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 19.035,31;R$ 2.717,10;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,683362;-41,26536;;B667211;;E919897;;23/12/2025;18/12/2025;;16/01/2026;;2026-4074;FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA;CRIAR;INSTALAR BANCADA DE TRAFO NO POSTE B667211 ENERGIZAR OBRA.;N;;;;1;1;1,00;;;;;;;23/01/2026;24/01/2026;;;;28/01/26;28/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1231453;Consolidado;N/A
9102041326;B-1133426;ER-CIND-POV-BARRIGUDA DOUTORES 457-RURAL;UMBURANAS;ALESSANDRO, EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 22.702,22;R$ 2.595,39;14.4.12.1;PLANO 14;100%;SIM;LPT;-10,73286;-41,358986;;R043651;;E919898;;23/12/2025;18/12/2025;;16/01/2026;;N;;CRIAR;INTERCALAR POSTE MT N1,11/600 E BANCADA DE TRAFO ENTRE OS POSTES R043651 E R043650 LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;;;;1;1;1,00;;;;;1;;21/01/2026;24/01/2026;30/01/2026;;29/01/2026;29/01/2026;29/01/2026;OK;PENDENTE;PENDENTE/ SIMP.;JACOBINA;2026-01-01;1133426;Consolidado;N/A
9102134085;B-1160891;ER-CCOL-RUA-ALCENDINO L -JOSE PAPAGAIO;GAVIÃO;HERMOGENES;INICIADA;IMPLANTAÇÃO;obra de avanço - - programarar maquina cava, 2 podas;SIM;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 62.419,32;R$ 12.346,56;14.7.2003;PLANO 14;100%;NÃO;LPT;-11,472878;-39,775131;;D518216;;E919900 AO E919905;;LANÇADO CONCRETO-30/12/2025;18/12/2025;30/12/2025;12/01/26;;2026-4299;FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT B3 P/ B4M NO POSTE D518216 E ENERGIZAR OBRA.;N;;;;1;6;6,00;;;;;;;27/01/2026;29/01/2026;;;;;;;;;JACOBINA;2026-01-01;1160891;Consolidado;N/A
