CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
PRIORIDADE PLANO ANEEL;9102219759;1196624;AC-CIND-RUA-MALHADA DA AREIA-MALHADA DA;JUAZEIRO;;;MIGRAR;;;;NÃO INICIADA;;1;0;;;;;7.1.1.3;100%;R$ 36.142,11;;R$ 0,00;27/08/2025;27/08/2025;MANUTENÇÃO;ANDERSON;VICTOR COSTA;-9,44444;-40,5154;;0 POSTE;;;JUAZEIRO;2025-08-01;1196624;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102227609;1192026;UB-CIND-TRV-ALVORADA 10-CENTRO;CAMPO ALEGRE DE LOURDES;;;;;;;CONCLUIDA;08/08/2025;1;1;1;;;;7.1.1.3;100%;R$ 8.612,93;;R$ 1.700,00;19/08/2025;30/08/2025;MANUTENÇÃO;ANDERSON;MARLOS PEREIRA;-9,5169571;-43,0130178;;DA PLANILHA;E820324;E820324;JUAZEIRO;2025-08-01;1192026;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102168277;1190765;ER-CIND-SI-MARTINS DO CORDEIRO-V DE CIMA;CAMPO ALEGRE DE LOURDES;;;;;;;CONCLUIDA;;1;2;2;;;;14.4.12.1;100%;R$ 24.073,78;;R$ 3.400,00;18/08/2025;29/08/2025;MANUTENÇÃO;ANDERSON;MARLOS PEREIRA;-9,5649037;-43,042686;;DA PLANILHA;E820318;E820319;JUAZEIRO;2025-08-01;1190765;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102107113;1157820;UB-CIND-RUA-21 DE ABRIL-CAMPO ALEGRE;CAMPO ALEGRE DE LOURDES;;;;;;;CONCLUIDA;;1;2;2;;;;7.1.1.3;100%;R$ 48.467,63;;R$ 3.400,00;;;MANUTENÇÃO;PAULO JUNIOR;MARLOS PEREIRA;-9,5165197;-43,0080393;;DA PLANILHA;E750754;E750755;JUAZEIRO;2025-08-01;1157820;Consolidado;N/A
RECLAMAÇÃO;9102068123;1141818;ER-CIND-SI-PASCACIO-RURAL;CASA NOVA;;;MIGRAR;;;;NÃO INICIADA;;0;0;;;;;7.1.2.2;100%;R$ 26.704,72;;R$ 0,00;;;;PAULO JUNIOR;DIEGO CARVALHO;-9,3099092;-41,138693;;0 POSTE;;;JUAZEIRO;2025-08-01;1141818;Consolidado;N/A
EQUIPAMENTO;9102136937;1170528;IE-RELIGADOR-SBC-09S1-N61190;CASA NOVA;;APP;;;;;CONCLUIDA;;0;0;0;0;;;8.2.2.3;100%;R$ 124.894,00;R$ 24.978,80;R$ 0,00;;;JUAREZ;PAULO JUNIOR;DIEGO CARVALHO;-9,13466;-41,6741;;DA PLANILHA;E819660;E819660;JUAZEIRO;2025-08-01;1170528;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9102185500;1190327;RC-CIND-FAZ-CASA NOVA-RURAL;CASA NOVA;;;;;;;CONCLUIDA;;0;0;0;;;;8.3.2.3;100%;R$ 10.062,33;;R$ 0,00;22/08/2025;22/08/2025;MANUTENÇÃO;ANDERSON;DIEGO CARVALHO;0;0;;0 POSTE;;;JUAZEIRO;2025-08-01;1190327;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102153977;1177596;UB-CIND RO BR 235 105 - CASA NOVA;CASA NOVA;;;;;;;CONCLUIDA;;1;0;0;;;;7.1.1.3;100%;R$ 46.530,49;;R$ 0,00;;;;PAULO JUNIOR;DIEGO CARVALHO;-9,179506;-40,9848067;;0 POSTE;;;JUAZEIRO;2025-08-01;1177596;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102252143;1202267;ER-CIND-ROD-CASA NOVA-RURAL-CASA NOVA;CASA NOVA;;;;;;;CONCLUIDA;;2;1;1;;;;7.1.2.3;100%;R$ 9.559,76;;R$ 1.700,00;;;MANUTENÇÃO;PAULO JUNIOR;DIEGO CARVALHO;-9,3161817;-40,7362754;;DA PLANILHA;E750758;E750758;JUAZEIRO;2025-08-01;1202267;Consolidado;N/A
EQUIPAMENTO;9102136887;1169812;IE-RELIGADOR-BMB-01F1-J52477;CASA NOVA;;APP;;;;;CONCLUIDA;;0;1;1;;;;8.2.2.3;100%;R$ 103.188,08;;R$ 1.700,00;11/08/2025;22/08/2025;MANUTENÇÃO;ANDERSON;MARLOS LOPES;-9,6148791;-41,8016296;;DA PLANILHA;E820247;E820247;JUAZEIRO;2025-08-01;1169812;Consolidado;N/A
