CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
REPUTACIONAL;9002801571;237059;MP-CCOL-POV DESTERRO-CAIÇARA-RURAL;CASA NOVA;;;ENTREGAR;;CONCLUIDA;66;733;;;;;PLANO 14;100%;R$ 4.373.226,44;R$ 1.093.306,61;01/03/2025;31/03/2025;JORGE;JORGE;DIEGO;-9,235169;-41,7628759;;fev.-25;FALSE;;FALSE;FALSE;APROVADA;E680195;E680939;JUAZEIRO;2025-03-01;0237059;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL;9101575275;1040604;MP-CCOL-POV DESENGANO-RURAL;SENTO SÉ;;;ENTREGA;;CONCLUIDA;32;278;;;;;PLANO 14;20%;R$ 2.756.104,87;R$ 689.026,22;01/03/2025;31/03/2025;;EMERSON;SANDRO;-9,7533815;-41,8857659;;fev.-25;FALSE;;FALSE;FALSE;1019161/APROVADA;E724391;E724668;JUAZEIRO;2025-03-01;1040604;Consolidado;N/A
REPUTACIONAL;9101940561;1093655;AL - GRUA - FAZ. BAIXA - RURAL;JUAZEIRO;;;ENERGIZADA;;CONCLUIDA;1;200;;;;;PLANO 7;100%;R$ 3.555.398,98;R$ 1.066.619,69;01/03/2025;05/03/2025;PAULO / JUAREZ;SANTIAGO;VICTOR;-9,5502028;-40,5219799;;;;;;;APROVADA;E628933;E629122;JUAZEIRO;2025-03-01;1093655;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL;9102025347;1126041;IT CIND FAZ CURAÇA PEQUENO RURAL;JUAZEIRO;;;ENTREGA;;ESCAVAÇÃO;0;108;;48;;;PLANO 7;100%;R$ 1.565.846,66;;05/03/2025;31/03/2025;FABIO;SANTIAGO;CARLOS EDUARDO;-9,1258481;-40,0323912;;mar.-25;;;;;DA PLANILHA;E619540;E619634;JUAZEIRO;2025-03-01;1126041;Consolidado;N/A
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;;;AVANÇO;;NÃO INICIADA;0;66;;;;;PLANO 7;75%;R$ 1.402.835,24;R$ 350.708,81;01/03/2025;31/05/2025;GISMARIO;EDIE JONNES;VICTOR;-9,46663;-40,4997943;;fev.-25;FALSE;;FALSE;FALSE;1016645/APROVADA;E710264;E710333;JUAZEIRO;2025-03-01;1159894;Consolidado;N/A
ESTRATÉGICA;9101893156;1084183;RR-CCOL-RCL-POV-DE LAJES-LAJES;JUAZEIRO;13/03;;ENTREGA;;NÃO INICIADA;75;55;;51;19/03;;PLANO 7;100%;R$ 274.737,62;R$ 68.684,41;01/03/2025;31/03/2025;PAULO;EDIE JONNES;VICTOR;-9,4790867;-40,5060819;;fev.-25;TRUE;;FALSE;FALSE;1019173/APROVADA;E724694;E724750;JUAZEIRO;2025-03-01;1084183;Consolidado;N/A
JUDICIAL;9101664952;997469;ER-CIND-POV-ALMAS-ALEGRE;SENTO SÉ;;;S/ ACESSO;;NÃO INICIADA;1;43;;;;;PLANO 7;50%;R$ 169.739,61;;24/03/2025;30/04/2025;CARLOS/FERNANDO;SANTIAGO;SANDRO;-10,2638619;-41,3329393;;mar.-25;;;;;DA PLANILHA;E619755;E619797;JUAZEIRO;2025-03-01;0997469;Consolidado;N/A
JUDICIAL;9102103285;1157069;ER-CIND-POV-BARRO VERMELHO-RURAL;CURAÇÁ;;;AVANÇO;;NÃO INICIADA;1;42;;;;;PLANO 7;50%;R$ 235.113,59;;;;;;CARLOS EDUARDO;;;;mar.-25;;;;;DA PLANILHA;E619712;E619753;JUAZEIRO;2025-03-01;1157069;Consolidado;N/A
AL/MELHORAMENTO;9101909684;1085090;AL-01V2-NOVA TOURÃO-CONSTRUÇÃO (ITEM 2);JUAZEIRO;;;ENTREGA;13/03 - 19/03;EM EXECUÇÃO;0;41;;;;;PLANO 8;100%;R$ 717.378,39;R$ 179.344,60;01/03/2025;31/03/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA;E619983;E620023;JUAZEIRO;2025-03-01;1085090;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101190009;875302;MP-CCOL-POV.LAGOA DOS BOIS-RURAL;JUAZEIRO;;;AVANÇO;;NÃO INICIADA;2;37;MANTER;;;;PLANO 14;50%;R$ 394.092,32;;01/03/2025;30/04/2025;;EDIE JONNES;VICTOR;;;;mar.-25;;;;;DA PLANILHA;E619663;E619699;JUAZEIRO;2025-03-01;0875302;Consolidado;N/A
LPT;9101503225;984432;RR-CIND-POV-SAO MIGUEL-RURAL;CASA NOVA;;;AVANÇO;;NÃO INICIADA;1;35;;;;;PLANO 14;50%;R$ 210.818,71;;17/03/2024;24/03/2025;;PAULO JUNIOR;DIEGO;-9,2419512;-41,4160863;;mar.-25;;;;;DA PLANILHA;E619494;E619528;JUAZEIRO;2025-03-01;0984432;Consolidado;N/A
JUDICIAL;9102154209;1183249;RR-CIND-POV-ALMAS-ALMAS;SENTO SÉ;;;S/ ACESSO;18/03;NÃO INICIADA;1;35;;;;;PLANO 7;100%;R$ 209.623,78;;05/03/2025;18/03/2025;CARLOS/FERNANDO;SANTIAGO;SANDRO;-10,2825125;-41,3736722;;mar.-25;;;;;DA PLANILHA;E619804;E619838;JUAZEIRO;2025-03-01;1183249;Consolidado;N/A
JUDICIAL;9101772675;1024582;ER CIND POV MALHADA DA AREIA RURAL;JUAZEIRO;14/03;ok;ENTREGA;;CONCLUIDA;1;35;;35;21;14;PLANO 14;100%;R$ 276.441,01;R$ 69.110,25;13/03/2025;25/03/2025;JUAREZ;EDIE JONNES;VICTOR;-9,5731822;-40,1167404;;;;;;;1019631/APROVADA;E724751;E724785;JUAZEIRO;2025-03-01;1024582;Consolidado;N/A
JUDICIAL;9102145299;1173118;ER-CIND-FAZ-SERRA BRANCA-RURAL-SENTO SE;SENTO SÉ;;;PARALIZADA;;PARALIZADA;1;31;;;;;PLANO 14;100%;R$ 228.569,67;R$ 57.142,42;01/03/2025;28/03/2025;CARLOS/FERNANDO;SANTIAGO;SANDRO;-10,550458;-41,847607;;;;;;;1019884;;;JUAZEIRO;2025-03-01;1173118;Descartado;Status Excluído (STATUS, STATUS 1)
AL/MELHORAMENTO;9101915080;1088197;AL - 01V5 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;;ENTREGA;;EM EXECUÇÃO;0;27;;;;;PLANO 1;100%;R$ 321.516,58;R$ 80.379,15;01/03/2025;31/03/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;;DA PLANILHA;E620024;E620050;JUAZEIRO;2025-03-01;1088197;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101732105;1007462;ER-CIND-POV-MASSAPE-BOQUEIRAO;JUAZEIRO;11/03;OK;ENERGIZADA;14/03;CONCLUIDA;1;26;20;16;20;;PLANO 14;100%;R$ 92.870,13;;10/03/2025;14/03/2025;GISMARIO;EDIE JONNES;VICTOR;;;;mar.-25;;;;;10 +11 DA PLANILHA;E725847/E725892;E725856/E724371;JUAZEIRO;2025-03-01;1007462;Consolidado;N/A
REPUTACIONAL;9102030558;1122206;AL GRUA ROD BR 324 RURAL;REMANSO;;;ENERGIZADA;;CONCLUIDA;0;25;;;;;PLANO 7;100%;R$ 503.024,54;R$ 125.756,14;01/03/2025;31/03/2025;;PAULO JUNIOR;DEBORA;-9,6020105;-42,0841233;;fev.-25;FALSE;;FALSE;FALSE;1019168/APROVADA;E724669;E724693;JUAZEIRO;2025-03-01;1122206;Consolidado;N/A
AL/MELHORAMENTO;9101909683;1085504;AL - 01V1 - NOVA TOURÃO - CONSTRUÇÃO;JUAZEIRO;;;ENTREGA;;CONCLUIDA;0;19;;;;;PLANO 8;100%;R$ 609.832,67;R$ 152.458,17;01/03/2025;31/03/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;;DA PLANILHA;E620051;E620069;JUAZEIRO;2025-03-01;1085504;Consolidado;N/A
ESTRATÉGICA;9101963531;1106990;UB-COEL-RCL-AV-JORGE KHOURY-QUIDE;JUAZEIRO;13/02;OK;ENERGIZADA;;CONCLUIDA;45;17;;4;;;PLANO 7;100%;R$ 90.640,50;R$ 22.660,13;17/02/2025;22/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,426099;-40,5204124;https://maps.app.goo.gl/uomEHKtg9E6ZFUmz5;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA;E710944;E711828;JUAZEIRO;2025-03-01;1106990;Consolidado;N/A
RECLAMAÇÃO;9101899704;1078188;ER-CIND-SI-MONTE ALEGRE-BARAUNA RURAL;JUAZEIRO;;;ENTREGA;;CONCLUIDA;1;14;;;;;PLANO 14;100%;R$ 84.598,67;;26/03/2025;31/03/2025;JUAREZ;EDIE JONNES;CARLOS EDUARDO;;;;mar.-25;;;;;DA PLANILHA;E619839;E619852;JUAZEIRO;2025-03-01;1078188;Consolidado;N/A
LPT;9101731670;1041388;MP CIND POV. BARRA POÇO DA PEDRA RURAL;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;13;;;;;PLANO 14;100%;R$ 133.578,06;;13/03/2025;15/03/2025;;PAULO JUNIOR;DIEGO;-9,0240293;-41,0531992;;mar.-25;;;;;DA PLANILHA;E619650;E619662;JUAZEIRO;2025-03-01;1041388;Consolidado;N/A
QLP;9102102966;1157357;RR-CIND-POV-POCO DE PEDRA-RURAL-CASA NOV;CASA NOVA;;;ENERGIZADA;;CONCLUIDA;1;12;;;;;PLANO 7;100%;R$ 89.399,76;;25/03/2025;26/03/2025;;PAULO JUNIOR;DIEGO;-8,975079444;-41,01734895;;mar.-25;;;;;DA PLANILHA;E619887;E619898;JUAZEIRO;2025-03-01;1157357;Consolidado;N/A
QLP;9102124586;1161420;ER-CIND-FAZ-BRANDAO-RURAL;CURAÇÁ;;;RETIRADA;;PARALIZADA;1;12;;;;;PLANO 7;100%;R$ 75.221,06;;22/03/2025;27/03/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;;;;mar.-25;;;;;DA PLANILHA;E620089;E620100;JUAZEIRO;2025-03-01;1161420;Descartado;Status Excluído (STATUS, STATUS 1)
LPT;9101924775;1093845;LD-CIND-POV LIMOEIRO-RURAL;SENTO SÉ;;;ENTREGA;;ESCAVAÇÃO;1;12;;;12;;PLANO 14;100%;R$ 167.046,83;;17/03/2025;24/03/2025;FERNANDO;SANTIAGO;SANDRO;-10,073223;-41,370786;;mar.-25;;;;;DA PLANILHA;E619929;E619940;JUAZEIRO;2025-03-01;1093845;Consolidado;N/A
