PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;STATUS_AUDITORIA;MOTIVO_DESCARTE
515938;MP-CCOL-FAZ SERRA BRANCA E ARRED.-RURAL;nan;REMANSO;OUTUBRO;CONCLUÍDA;CONCLUÍDA;nan;nan;JORGE;JORGE;MARLOS LOPES;14.4.12.1;100%;93;1.392;1619;nan;nan;24/10/2025;nan;nan;SIM;nan;nan;nan;Ver no Mapa;05/04/2025;04/10/2025;04/10/2025;06/10/2025;nan;Consolidado;N/A
1233696;RC-GOVE-ROD-BR 020-CENTRO;GOVERNO;CAMPO ALEGRE DE LOURDES;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;SANTIAGO;JACSON;MARLOS LOPES;8.3.2.3;100%;0;2;nan;nan;nan;17/12/2025;nan;NÃO;NÃO;nan;-9.5010346;-43.010159;Ver no Mapa;17/12/2025;17/12/2025;17/12/2025;SIM;nan;Consolidado;N/A
1189551;UB-CIND-RUA-DO ASFALTO 10-CENTRO;PRIORIDADE PLANO ANEEL;CASA NOVA;NOVEMBRO;CONCLUÍDA;ENERGIZADA;COMPLETO;nan;SANTIAGO;FABIO;MARLOS LOPES;7.1.1.3;100%;nan;2;2;nan;26/11/2025;26/11/2025;nan;nan;NÃO;nan;-9.2935056;-40.8191625;Ver no Mapa;25/11/2025;25/11/2025;25/11/2025;SIM;nan;Consolidado;N/A
806660;MP-CCOL-POV. CHAMUSCADO-RURAL;nan;PILÃO ARCADO;JULHO;CONCLUÍDA;nan;nan;nan;nan;EMERSON;nan;14.4.12.1;100%;19;140;205;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Descartado;Filtro CARTEIRA
1201544;ER-CIND-SI-STA LUZIA-RR-SAO LUIZ;PRIORIDADE PLANO ANEEL;CASA NOVA;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;EDIE JONNES;JACSON;DIEGO ALMEIDA;7.1.2.3;100%;1;2;nan;nan;02/12/2025;06/12/2025;nan;SIM;SIM;nan;-9.303507;-40.8318994;Ver no Mapa;10/12/2025;16/12/2025;16/12/2025;SIM;nan;Consolidado;N/A
1128536;MP-CCOL-POV-XIQUE XIQUE-RURAL;nan;CASA NOVA;OUTUBRO;CONCLUÍDA;CONCLUÍDA;nan;OURO;PAULO JUNIOR;FERNANDO;DIEGO ALMEIDA;14.4.12.1;100%;8;166;178;nan;07/08/2025;31/10/2025;nan;nan;SIM;nan;-9.6263923;-41.838502;Ver no Mapa;07/08/2025;31/10/2025;31/10/2025;31/10/2025;nan;Consolidado;N/A
1120926;MP CIND POV MANTEIGA RURAL MOD;nan;REMANSO;SETEMBRO;CONCLUÍDA;CONCLUÍDA;nan;nan;RUBEM;RUBEM;MARLOS LOPES;14.4.12.1;100%;17;111;nan;nan;22/08/2025;nan;nan;nan;nan;nan;-9.5834495;-42.1018369;Ver no Mapa;02/09/2025;30/09/2025;30/09/2025;01/10/2025;nan;Consolidado;N/A
1229077;ER-CIND-POV-BAIXAO-RURAL;OBRAS ÁGEIS;CASA NOVA;DEZEMBRO;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;MICHEL;nan;DIEGO ALMEIDA;7.1.2.3;100%;1;2;nan;nan;11/12/2025;11/12/2025;nan;nan;NÃO;nan;-9.394975;-41.230686;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1058096;MP-CCOL-POV-PONTA DA SERRA-RURAL;nan;REMANSO;JULHO;CONCLUÍDA;nan;nan;nan;RUBEM;RUBEM;nan;14.4.12.1;100%;6;74;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;31/07/2025;31/07/2025;31/07/2025;nan;Descartado;Filtro CARTEIRA
B-1119147;MP - CIND - POV. JATOBÁ - RURAL;nan;REMANSO;AGOSTO;CONCLUÍDA;nan;nan;nan;PAULO JUNIOR;SILVONEY;nan;14.4.12.1;100%;10;73;nan;nan;30/07/2025;20/07/2025;nan;nan;nan;nan;nan;nan;Ver no Mapa;30/07/2025;nan;nan;nan;nan;Descartado;Filtro CARTEIRA
921232;ER-CIND-POV BARRO VERMELHO-BARRO-CRC;nan;CURAÇÁ;JULHO;CONCLUÍDA;nan;nan;nan;EDIE JONNES;GISMARIO;nan;14.4.12.1;100%;6;70;nan;nan;01/08/2025;27/08/2025;nan;nan;nan;nan;nan;nan;nan;03/07/2025;30/08/2025;nan;nan;nan;Descartado;Filtro CARTEIRA
1189586;ER-CIND-POV-FAZ SERRA DA ESPERANCA-RURAL;PRIORIDADE PLANO ANEEL;CASA NOVA;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;EDIE JONNES;JUAREZ;DIEGO ALMEIDA;7.1.2.3;100%;1;0;nan;nan;12/12/2025;12/12/2025;nan;nan;NÃO;nan;-9.3070009;-40.9293817;Ver no Mapa;12/12/2025;15/12/2025;15/12/2025;SIM;nan;Consolidado;N/A
