SUPERINTENDENCIA;GERENCIA;UNIDADE;LOCALIDADE;NOTA;MEDIDA;MAGNETICO;ID;PROCESSO;TITULO;MUNICIPIO;CONJUNTO;CLIENTES;PIN;PLANO;VL_PROJETO;VL_PREV_MAT;VL_PREV_SERV;VL_PREV_UNIT;VL_CUST_HIST;P_REAL;CAPEX_ARL;EMPRESA;PROJETO_KIT;PROJETO_MEDIDOR;CART;PREVISAO_EXECUCAO_INICIO;PREVISAO_EXECUCAO_FIM;CRITERIO;PSTP;PSTR;EQPP;EQPR;RDEP;RDER;AVNP;AVNR;DT_ENGZ;SI;STATUS_SI;STATUS;DT_CADASTRO;USUARIO_CADASTRO;DT_VALIDACAO;USUARIO_VALIDACAO;DT_ATESTO;USUARIO_ATESTO;AGENTE_RESPONSAVEL;ST_CARTEIRA;ADRN;STATUS_REVISAO_ORCAMENTO;DATA_REVISAO_ORCAMENTO;DATA_INSERCACAO_ENGZ;JUSTIFICATIVA_EXPURGO;OBSERVACAO_OPERACAO;JUSTIFICATIVA;CLIENT_PRE_CAD;DT_PRE_CADASTRO;EMPRESA_CONTRATO_PROJETO;CALCULO_QCR
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;JUAZEIRO;9101155808;FINLNOTA;SIM;PCO0005003/24;Y-0145922;MP-CCOL-POV B. SORTE-R. FUNDO-RURAL;CURAÇÁ;;63;14.4.11.1;PLANO 14;5.844.116,46;1.433.092,18;;4.383.087,35;6.124.174,57;104,79%;-280.058,11;SIPEL;Y-0970406;Y-1140878;01/2024;19/01/2024;30/04/2024;REPUTACIONAL;1.002;309;1.012;1.012;68,47;24,06;40%;100%;04/05/2024;983204/2023;APROVADA;APROVADO - MANTER;29/01/2024;CASSIO MORAIS ARGOLO;29/01/2024 10:25;CASSIO MORAIS ARGOLO;29/01/2024;CASSIO MORAIS ARGOLO;;CONCLUÍDO;CONF.;;;06/05/2024;;;;0;;4600074796;5
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;REMANSO;9101066916;FINLNOTA;SIM;PCO0005007/24;Y-0821669;MP-CCOL-POV OURICURI-RURAL;CASA NOVA;;21;14.4.11.1;PLANO 14;2.790.633,12;835.830,83;;2.092.974,84;2.534.775,83;90,83%;255.857,29;SIPEL;Y-0822395;Y-0870517;01/2024;22/01/2024;30/05/2024;JUDICIAL;483;201;461;461;27,30;0,00;100%;100%;30/04/2024;980309/2023;RECEBIDA;APROVADO - MANTER;29/01/2024;CASSIO MORAIS ARGOLO;29/01/2024 10:29;CASSIO MORAIS ARGOLO;29/01/2024;CASSIO MORAIS ARGOLO;;CONCLUÍDO;CONF.;;;02/05/2024;;;;0;;4600074796;5
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;REMANSO;9003307503;FINLNOTA;SIM;PCO0120049/23;Y-0288488;MP-CCOL-FAZ MANCAMBIRA/ ALEGRE-RURAL;CASA NOVA;;29;14.4.11.1;PLANO 14;1.651.369,03;692.300,94;;1.238.526,77;2.422.609,00;146,70%;-771.239,97;SIPEL;Y-0288566;Y-1127865;01/2024;02/01/2024;10/01/2024;REPUTACIONAL;397;426;802;802;38,47;30,79;100%;100%;10/01/2024;976510/2023;CONCLUÍDA;APROVADO - MANTER;30/11/2023;LIVIA CARLA PORTUGAL DOS SANTOS;30/11/2023 10:46;LIVIA CARLA PORTUGAL DOS SANTOS;30/11/2023;LIVIA CARLA PORTUGAL DOS SANTOS;;CONCLUÍDO;CONF.;;;08/01/2024;;;;0;;4600062949;3
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;JUAZEIRO;9002747259;FINLNOTA;SIM;PCO0114650/23;Y-0262468;MP-CCOL-FAZ MACAMBIRA-RURAL;CURAÇÁ;;48;14.4.11.1;PLANO 14;2.346.443,36;855.827,23;;1.759.832,52;1.847.963,95;78,76%;498.479,41;SIPEL;Y-1134157;Y-1134160;01/2024;17/01/2024;27/04/2024;JUDICIAL;535;105;349;349;36,59;3,82;50%;100%;11/04/2024;980789/2023;APROVADA;APROVADO - MANTER;01/11/2023;CASSIO MORAIS ARGOLO;01/11/2023 14:41;CASSIO MORAIS ARGOLO;01/11/2023;CASSIO MORAIS ARGOLO;;CONCLUÍDO;CONF.;CRIADO;12/04/2024;17/04/2024;;;;0;;4600074796;5
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;JUAZEIRO;9101504203;FINLNOTA;SIM;PCO0120048/23;Y-1071817;MP CIND POV RIACHO SECO RURAL;CURAÇÁ;;18;14.4.11.1;PLANO 14;2.103.170,69;589.382,65;;1.577.378,02;1.384.972,12;65,85%;192.405,90;SIPEL;Y-1071819;Y-1071818;01/2024;02/01/2024;30/01/2024;REPUTACIONAL;193;193;473;473;15,99;13,55;50%;100%;08/02/2024;980312/2023;RECEBIDA;APROVADO - MANTER;30/11/2023;LIVIA CARLA PORTUGAL DOS SANTOS;30/11/2023 10:43;LIVIA CARLA PORTUGAL DOS SANTOS;30/11/2023;LIVIA CARLA PORTUGAL DOS SANTOS;;CONCLUÍDO;CONF.;;;09/02/2024;;;;0;;4600074796;4
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9101924274;FINLNOTA;SIM;PCO0122044/23;Y-1102351;MP-CCOL-FAZ-TANQUINHO-PATOS RURAL;CAMPO FORMOSO;;20;14.4.11.1;PLANO 14;1.637.983,92;;;1.228.487,94;1.154.302,13;70,47%;74.185,81;SIPEL;Y-1102353;Y-1102356;01/2024;01/01/2024;23/02/2024;JUDICIAL;159;200;186;186;11,70;18,45;80%;100%;29/02/2024;987937/2024;APROVADA;APROVADO - MANTER;13/12/2023;LIVIA CARLA PORTUGAL DOS SANTOS;13/12/2023 11:58;LIVIA CARLA PORTUGAL DOS SANTOS;13/12/2023;LIVIA CARLA PORTUGAL DOS SANTOS;GUTTEMBERG SANTOS - U343220;CONCLUÍDO;CONF.;;;01/03/2024;;;;0;;4600074798;3
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP NORTE;REMANSO;9101878397;FINLNOTA;SIM;PCO0001112/24;Y-1070338;LD CIND SITIO BENTO RURAL;CASA NOVA;;7;14.4.11.1;PLANO 14;1.287.622,56;354.507,56;;965.716,92;918.055,89;71,30%;47.661,03;SIPEL;Y-1081409;Y-1081410;01/2024;02/01/2024;25/01/2024;REPUTACIONAL;120;131;803;803;11,75;19,24;50%;100%;18/02/2024;980314/2023;APROVADA;APROVADO - MANTER;09/01/2024;CASSIO MORAIS ARGOLO;09/01/2024 14:03;CASSIO MORAIS ARGOLO;09/01/2024;CASSIO MORAIS ARGOLO;;CONCLUÍDO;CONF.;;;06/03/2024;;;;0;;4600074796;3
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;JACOBINA;9101977642;FINLNOTA;SIM;PCO0041145/24;Y-1114109;AL-GRUA-FAZ-SERRA-RURAL;MUNDO NOVO;;1;7.1.6.3;PLANO 7;1.096.622,87;;;822.467,15;884.806,58;80,68%;211.816,29;SIPEL;;;01/2024;;;TRANSGRESSÃO;52;;;;2,90;;33%;100%;01/08/2025;;;APROVADO - MANTER;09/05/2024;JOSE LUIS DOS SANTOS FILHO;09/05/2024 15:54;JOSE LUIS DOS SANTOS FILHO;09/05/2024;JOSE LUIS DOS SANTOS FILHO;ANTONIO MELO - U470154;CONCLUÍDO;CONF.;ENVIADO;23/07/2025;03/08/2025;;OBRA FRUSTRADA DE MAIO E MIGRADA PARA JUNHO;;0;;4600074798;11
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9100449452;FINLNOTA;SIM;PCO0000452/24;Y-0604401;MP-CCOL-POV LAGEDO RASO-RURAL;CAMPO FORMOSO;;17;14.4.11.1;PLANO 14;462.061,04;205.618,04;;346.545,78;870.991,52;188,50%;-408.930,48;SIPEL;Y-0604403;Y-0928505;01/2024;15/01/2024;25/03/2024;REPUTACIONAL;148;0;57;57;8,94;0,00;60%;100%;30/04/2024;982922/2023;APROVADA;APROVADO - MANTER;04/01/2024;CASSIO MORAIS ARGOLO;04/01/2024 09:42;CASSIO MORAIS ARGOLO;04/01/2024;CASSIO MORAIS ARGOLO;GUTTEMBERG SANTOS - U343220;CONCLUÍDO;CONF.;;;02/05/2024;;;;0;;4600074798;4
SUP COEL - EXPANS E PRESERV;DEP COEL - EXP PRESER NORTE;UTEP CENTRO NORTE;SENHOR DO BONFIM;9101471336;FINLNOTA;SIM;PCO0122057/23;Y-0954917;RR-CCOL-FAZ SITIO E ADJACENCIAS-RURAL;CAMPO FORMOSO;;22;14.4.11.1;PLANO 14;591.810,20;271.915,87;;443.857,65;813.990,47;137,54%;-222.180,27;SIPEL;Y-0975289;Y-0975295;01/2024;08/01/2024;20/03/2024;JUDICIAL;134;58;84;84;11,33;0,00;60%;100%;13/04/2024;982915/2023;APROVADA;APROVADO - MANTER;13/12/2023;LIVIA CARLA PORTUGAL DOS SANTOS;13/12/2023 11:58;LIVIA CARLA PORTUGAL DOS SANTOS;13/12/2023;LIVIA CARLA PORTUGAL DOS SANTOS;ADISON FERREIRA - U343222;CONCLUÍDO;CONF.;;;16/04/2024;;;;0;;4600074798;4
