NOTA;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;SUPERVISOR;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101923953;B-1102882;MP-CCOL-RUA DO COMERCIO-RURAL;CAMPO FORMOSO;MARIO/EUDÁRIO;AVANÇO - MIGRADA DE JANEIRO/25 - 66% -não iniciada;ETEMILSON;HIAGO;PLANO 14 - LPT;ESTRATÉGICA;03/01/25;06/01/25;09/01/25;2025-9976;2025-9989;nan;nan;nan;1016761/2024;E698814 ao E698993;20;179;nan;nan;179;0%;nan;nan;nan;nan;nan;B747338;https://maps.app.goo.gl/FHMbp1dBPteX7sKX7;-40,934483;R$ 1.824.205,83;nan;nan;nan;nan;nan;50% DA OBRA;JACOBINA;01/02/2025;1102882;Consolidado;N/A
9102078212;B-1146265;IS-COEL-RUA-DR ANTONIO GONCALVES-CENTRO;CAMPO FORMOSO;JAILTON;EXECUTAR PELA SIPEL BONFIM;EDILECIO;GUTTEMBERG;PLANO 8;REPUTACIONAL;-;nan;nan;"2025-11933
CONJ. PD";nan;"2025-11838
CONJ. LV";25/02/25;APROVADA;nan;nan;0;0;nan;nan;0;0%;nan;nan;nan;nan;nan;Q057114;-10.5086006;-40.3196462;R$ 12.335,06;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1146265;Consolidado;N/A
9101691568;B-1044483;MP-CCOL-POV.CACIMBINHA-RURAL;CAMPO FORMOSO;nan;EXECUTAR PELA SIPEL BONFIM;nan;nan;PLANO 14 - LPT;REPUTACIONAL;-;nan;nan;OK;nan;nan;nan;nan;1014112/2024;E682438 AO E682767;27;324;nan;nan;324;0%;nan;nan;nan;nan;nan;D010745;-9,9124989;-40,6843068;R$ 3.522.354,62;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1044483;Consolidado;N/A
9102122531;B-1160634;RC-CIND-POV-LIMOEIRO-RURAL;CAMPO FORMOSO;nan;EXECUTAR PELA SIPEL BONFIM;nan;GUTTEMBERG;PLANO 8;REPUTACIONAL;-;nan;nan;OK;nan;nan;13/12/24;CONCLUÍDO;1014121/2024;E682935 AO  E682990;0;56;nan;nan;56;0%;nan;nan;nan;nan;nan;nan;-10,5203873;-40,3286489;R$ 644.115,98;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1160634;Consolidado;N/A
9102124526;B-1158654;ER-CIND-POV-FOLHA LARGA-RURAL;CAMPO FORMOSO;MÁRIO;OBRA JÁ EXECUTADA PELA EQUIPE DE SENHOR DO BONFIM;EDILECIO;GUTTEMBERG;PLANO 7;DIA C - JUDICIAL;19/12/24;19/12/24;nan;2024-151699;nan;nan;nan;nan;nan;E601317 ao E601322;1;6;nan;nan;6;0%;nan;nan;nan;nan;nan;D922370;-10,2828275;-40,5142564;R$ 51.851,40;nan;nan;290,00;nan;nan;Intercalar poste com trafo com a LV e extender rede BT 5 postes (290mtrs). Cava em rocha retro;JACOBINA;01/02/2025;1158654;Consolidado;N/A
9102124206;B-1161501;ER-CIND-FAZ-CORTE VERMELHO-RURAL;BAIXA GRANDE;LUCIANO;Cliente se encontra ligado no medidor 1218743818;GABRIEL;DIORLAN;PLANO 14 - LPT;QLP;18/02/25;18/02/25;nan;nan;2025-16378;nan;nan;nan;nan;E682391 ao E682392;1;2;nan;nan;2;0%;nan;25/02/25;26/02/25;nan;nan;L430625;https://maps.app.goo.gl/CNs6KRWVqFe4NCt29;-40.1214854;R$ 10.759,79;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1161501;Consolidado;N/A
9101006486;B-0828780;MP-CCOLPOV TIQUARA-RURAL;CAMPO FORMOSO;EUDÁRIO;OBRA JÁ EXECUTADA PELO PROJETO B1156370;EDILECIO;GUTTEMBERG;PLANO 14 - LPT;REPUTACIONAL;-;nan;nan;2025-12159;nan;nan;nan;nan;1019055/2025;E717128 ao E717145;2;18;nan;nan;18;0%;nan;nan;nan;nan;nan;D129136;-10.4529673;-40.5616592;R$ 71.364,35;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;0828780;Consolidado;N/A
9101839107;B-1066091;RR-CIND-FAZ ALDEIA-RURAL;MIGUEL CALMON;nan;SAIU DA CARTEIRA DE FEVEREIRO;GABRIEL;WELLINGTON;PLANO 14 - LPT;LPT;-;nan;nan;2025-12035;nan;nan;nan;nan;1019078/2025;nan;1;30;nan;nan;30;0%;nan;nan;nan;nan;nan;D030478;-114364855;-403296083;R$ 118.347,58;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1066091;Consolidado;N/A
9102074312;B-1143821;ER-CIND-ET-RURAL-LAGOA DO 33;OUROLÂNDIA;ELIEZER;OBRA CANCELADA CONFORME E-MAIL 18/02/2025;EDILECIO;nan;PLANO 7;QLP;17/02/25;17/02/25;19/02/25;nan;nan;2025-11937;21/02/25;APROVADA;nan;E682400 ao E682402;1;3;nan;nan;3;0%;nan;20/02/25;21/02/25;nan;nan;D537163;https://maps.app.goo.gl/HqjDfyg4EPrvMekN7;-41.348668;R$ 33.705,09;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1143821;Consolidado;N/A
9102042888;B-1146078;MP CIND RUA DO  POÇO RURAL;UMBURANAS;RODRIGO;nan;EDILECIO;nan;PLANO 7;REPUTACIONAL;-;nan;nan;nan;nan;CRIAR;AGUARDAR;DEFINIR;1019123/2025;E717372 AO E717436;11;57;nan;nan;57;0%;nan;nan;nan;nan;nan;D174027;-10.4512634;-41.2045201;R$ 533.205,29;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1146078;Consolidado;N/A
9101977642;B-1114109;AL GRUA AG SERRA RURAL;MUNDO NOVO;LUCIANO/ ANTONIO;PROJETO EM REVISÃO;RENATO;DIORLAN;PLANO 7;TRANSGRESSÃO;AGUARDAR;nan;AGUARDAR;nan;nan;CRIAR;AGUARDAR;DEFINIR;1019600/2025;nan;0;177;nan;nan;177;0%;nan;10/02/25;30/05/25;nan;nan;D262172;-11,8515623;-40,4812778;R$ 2.996.234,13;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1114109;Consolidado;N/A
9101728976;B-1011761;IS-CIND-POV-TOCA DA NOVILHA 195-RURAL;CAMPO FORMOSO;EUD / MARIO / JAILTON;aguardando visita;EDILECIO;GUTTEMBERG;PLANO 8;DIA C - ESTADUAL;14/02/25;14/02/25;nan;2025-17533  CONJ. PD;nan;2025-17525  CONJ COM LV;27/02/25;APROVADA;nan;E677225 ao E677227;0;4;nan;nan;4;0%;nan;10/02/25;28/02/25;nan;nan;Q063146;https://maps.app.goo.gl/NkMqkdzsoUdtTToA8;-40,5631565;R$ 36.720,86;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1011761;Consolidado;N/A
9102140830;B-1174797;UB-CIND-RUA-BENJAMIM CONSTANTINO-CENTRO;CAMPO FORMOSO;EUD / MARIO / JAILTON;ENERGIZADA;EDILECIO;GUTTEMBERG;PLANO 7;DIA C - REPUTACIONAL;10/02/25;10/02/25;12/02/25;"2025-11057
CONJ. PD";nan;"2025-10999
CONJ. LV";13/02/25;APROVADA;nan;E615964;1;2;2;2;0;100%;nan;13/02/25;13/02/25;13/02/2025;2025-2-32683;D527972;https://maps.app.goo.gl/9NtXG54PAeiornEj6;-40,324034;R$ 48.313,30;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1174797;Consolidado;N/A
9102151721;B-1176820;UB-CIND-RUA-CELINO DA SILVA 20-CENTRO-TI;CAMPO FORMOSO;EUD / MARIO / JAILTON;MIGRADA PARA MARÇO;EDILECIO;GUTTEMBERG;PLANO 7;DIA C - REPUTACIONAL;14/02/25;14/02/25;25/02/25;nan;nan;2025-11931;28/02/25;REPROVADO;nan;E615831 ao E615832;1;2;nan;nan;2;0%;nan;24/02/25;28/02/25;nan;nan;Q063578;https://maps.app.goo.gl/74hPsMse8gysb8HB9;-40,5457401;R$ 35.769,22;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1176820;Consolidado;N/A
9102138148;B-1168683;ER-CCOL-RCL-FAZ-PILOES-RURAL;CAMPO FORMOSO;nan;4 postes implantados, falta cabo 1x25;EDILECIO;GUTTEMBERG;PLANO 14 - LPT;DIA C - ESTRATEGIA PR;10/02/25;10/02/25;12/02/25;nan;2025-16301;nan;nan;nan;nan;E682381 ao E682385;12;5;nan;nan;5;0%;nan;16/02/25;19/02/25;nan;nan;D520466;https://maps.app.goo.gl/gjPL9TokNstZ4rn96;-40,3516244;R$ 35.769,22;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1168683;Consolidado;N/A
9102128524;B-1160485;ER-CIND-FAZ-ESPERANCA-LAGOA DO MAMAO;BAIXA GRANDE;LUCIANO;ENERGIZADA;GABRIEL;DIORLAN;PLANO 7;DIA C - ESTRATEGIA PR;nan;nan;nan;nan;2025-14469;nan;nan;nan;nan;E615957 ao E615959;1;3;3;3;0;100%;nan;08/02/25;08/02/25;08/02/2025;18574;E507611;https://maps.app.goo.gl/M66uAWntPtozeUv47;-40,141026;R$ 16.573,93;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1160485;Consolidado;N/A
9102122107;B-1161149;ER-CIND-FAZ-S O JORGE-RURAL;BAIXA GRANDE;LUCIANO;não iniciada;GABRIEL;DIORLAN;PLANO 14 - LPT;DIA C - ESTRATEGIA PR;18/02/25;18/02/25;24/02/25;nan;2025-16338;nan;nan;nan;nan;E682386 ao E682390;1;5;nan;nan;5;0%;nan;20/02/25;22/02/25;nan;nan;B888747;https://maps.app.goo.gl/NyS8MBDtpFhk21JcA;-40,1267864;R$ 29.491,41;nan;nan;nan;nan;nan;nan;JACOBINA;01/02/2025;1161149;Consolidado;N/A
