PROJETO;TÍTULO;MUNICIPIO;SUPERVISOR;ENCARREGADO;STATUS 1;AR COELBA;PLANO;CRITÉRIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIET.;PSTP;CAVA REALIZADA;PST EXEC;Á REALIZAR;AVNR;AVANÇO;INCIO;PV. FIM;ENERGIZAÇÃO;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;V. PROJETO;22%%;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;STATUS_FATO;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
B-1176820;UB-CIND-RUA-CELINO DA SILVA 20-CENTRO-TI;CAMPO FORMOSO;EDILECIO;EUDÁRIO;ENERGIZADA;HIAGO SANTANA - U470061;PLANO 7;DIA C - REPUTACIONAL;14/02/25;14/02/25;nan;nan;nan;2025-28349;19/03/25;EM ANALISE;nan;E615831 ao E615832;1;2;2;2;2;100%;nan;12/03/25;19/03/25;19/03/2025;PES 28349 OC 45359;Q063578;-10.4654722;-40,5457401;R$ 35.769,22;R$ 7.869,23;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1176820;Consolidado;N/A
B-0946219;ER-CCOL-POV.ARARAS-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;AVANÇO;HIAGO SANTANA - U470061;PLANO 14 - LPT;REPUTACIONAL;31/01/25;nan;nan;2025-31355;2025-28743;nan;nan;nan;1019044/2025;E717068 AO E717108;3;41;nan;nan;41;0%;50,00%;05/03/25;30/03/25;nan;nan;B139191;-10.1002863;-40.4791195;R$ 172.701,96;R$ 37.994,43;nan;nan;nan;nan;nan;nan;AVANÇO;JACOBINA;01/03/2025;0946219;Consolidado;N/A
B-1180695;ER-CIND-FAZ-PILOES-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;OBRA SEM ACESSO;HIAGO SANTANA - U470061;PLANO 14 - LPT;PRIORIDADE PLANO ANEEL;24/02/25;24/02/25;nan;nan;2025-28222;nan;nan;nan;nan;E698708 ao E698712;1;5;nan;nan;5;0%;100%;03/03/25;07/03/25;nan;nan;E336232;-10.4571667;-40.364775;R$ 27.603,92;R$ 6.072,86;nan;nan;nan;nan;nan;nan;OBRA SEM ACESSO;JACOBINA;01/03/2025;1180695;Consolidado;N/A
B-1168683;ER-CCOL-RCL-FAZ-PILOES-RURAL;CAMPO FORMOSO;EDILECIO;ANTONIO;ENERGIZADA;HIAGO SANTANA - U470061;PLANO 7;DIA C - ESTRATEGIA PR;10/02/25;10/02/25;12/02/25;nan;2025-28011;nan;nan;nan;nan;E682381 ao E682385;12;5;5;5;0;100%;nan;03/03/25;11/03/25;11/03/2025;PES 28011 / OC 28383;D520466;-10.4702222;-40,3516244;R$ 35.769,22;R$ 7.869,23;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1168683;Consolidado;N/A
B-1145254;ER-CIND-POV-LAGEDO RASO-RURAL;CAMPO FORMOSO;EDILECIO;EUDÁRIO;ENERGIZADA;HIAGO SANTANA - U470061;PLANO 7;DIA C;19/11/24;20/11/24;29/01/25;nan;2025-28013;nan;nan;nan;nan;E615891 ao E615895;1;6;4;5;1;83%;nan;07/03/25;14/03/25;13/03/2025;PES 28014 / OC 33503;nan;-10,4469726;-40,5390414;R$ 29.446,95;R$ 6.478,33;nan;nan;nan;Pendente detonação , 4 cava perfurada;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1145254;Consolidado;N/A
B-1159520;UB-CIND-RUA-MANDACARU-TIQUARA;CAMPO FORMOSO;EDILECIO;EUDÁRIO;ENERGIZADA;RAMON;PLANO 7;PRIORIDADE PLANO ANEEL;29/11/24;29/11/24;29/01/25;nan;2025-28017;nan;nan;nan;1014089/2024;E682280 AO E682286;14;7;7;7;0;100%;100,00%;10/03/25;14/03/25;22/03/2025;PES 28017 OC 53769;D397270;-10.4621667;-40.5457041;R$ 34.592,90;R$ 7.610,44;nan;nan;nan;Pendente detonação 7 cavas, cavas perfuradas;Extensão 7 BT cabo 1x25 (185mts). Tiquara, cava em rocha;nan;ENERGIZADA;JACOBINA;01/03/2025;1159520;Consolidado;N/A
B-1146061;ER-CIND-SI-GENIO-RURAL;CAMPO FORMOSO;EDILECIO;EUDÁRIO;CAVAS EXPLORADAS -PARA DETONAR;HIAGO SANTANA - U470061;PLANO 14 - LPT;PRIORIDADE PLANO ANEEL;16/12/24;06/12/24;15/01/24;2025-34498;2025-28928;nan;nan;nan;nan;E601299 AO E601303;1;5;nan;nan;5;0%;100,00%;10/03/25;13/03/25;nan;nan;E427776;-10.2326944;-40.5009006;R$ 50.535,86;R$ 11.117,89;nan;nan;nan;Alterou projeto para 5 postes, pendente perfuração e detonação;Extensão 8 BT cabo 1x25 (485mts). Cava em rocha;nan;CAVAS EXPLORADAS -PARA DETONAR;JACOBINA;01/03/2025;1146061;Consolidado;N/A
B-1151265;ER CIND FAZ BAIXA DA MINA RURAL;CAMPO FORMOSO;EDILECIO;EUDÁRIO;ENERGIZADA;HIAGO SANTANA - U470061;PLANO 7;PRIORIDADE PLANO ANEEL;23/12/24;23/12/24;25/02/25;nan;2025-28018;nan;nan;nan;nan;E615799 AO E615802;1;4;4;4;0;100%;100,00%;14/03/25;16/03/25;20/03/2025;PES 28018  OC 49546;D574604;-10,2691168;-40,6424555;R$ 24.119,08;R$ 5.306,20;nan;nan;nan;Não iniada;Extensão 4 BT cabo 1x25 (235mts), depois do povoado Panela, solo cava em rocha;nan;ENERGIZADA;JACOBINA;01/03/2025;1151265;Consolidado;N/A
B-1151807;ER-CIND-POV-VARGEM DO SAL-VARGEM DO SAL;CAMPO FORMOSO;EDILECIO;EUDÁRIO;ENERGIZADA;RAMON - U464714;PLANO 14 - LPT;PRIORIDADE PLANO ANEEL;19/12/24;19/12/24;21/12/24;2025-31499;nan;nan;nan;nan;nan;E615785 ao E615789;1;5;5;5;0;100%;100,00%;03/03/25;15/03/25;25/03/2025;PES 33928 OC 60823;E237974;-10,4096905;-40,6827986;R$ 50.830,09;R$ 11.182,62;nan;nan;nan;Pendente perfuração e detonação de 5 cavas;Instalar trafo no PG E237874, extensão 5 postes BT cabo 1x25 (235mts), Vargem do Sal, 100% detonada;nan;ENERGIZADA;JACOBINA;01/03/2025;1151807;Consolidado;N/A
B-1094013;AC CIND PO LAGOA CAVADA RURAL CPF;CAMPO FORMOSO;EDILECIO;JAIRO;ENERGIZADA;GUTTEMBERG;PLANO 7;REPUTACIONAL;18/02/25;18/02/25;25/02/25;2025-34511;2025-28747;nan;nan;nan;1019065/2025;E717146 ao E717156;1;11;nan;nan;11;0%;nan;16/03/25;20/03/25;28/03/2025;PES 28747 OC 68388;Q062252;-10.2004444;-40.3977383;R$ 127.909,10;R$ 28.140,00;nan;nan;nan;nan;nan;nan;ENERGIZADA;JACOBINA;01/03/2025;1094013;Consolidado;N/A
