CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
NOVOS QUESTIONAMENTOS ANEEL;9101575275;1040604;MP-CCOL-POV DESENGANO-RURAL;SENTO SÉ;;EMERSON;MIGRADA;;;CONCLUIDA;;32;278;;278;;;PLANO 14;20%;R$ 2.756.104,87;;;01/04/2025;19/04/2025;EMERSON;EMERSON;SANDRO;-9,7533815;-41,8857659;;fev.-25;FALSE;;FALSE;FALSE;1019161/APROVADA;E724391;E724668;JUAZEIRO;01/04/2025;Consolidado;N/A
ESTRATÉGICA;9101893156;1084183;RR-CCOL-RCL-POV-DE LAJES-LAJES;JUAZEIRO;SACADO;;MIGRADA;;;CONCLUIDA;;87;60;;60;;;PLANO 7;100%;R$ 274.737,62;R$ 68.684,41;;;02/04/2025;PAULO;SANTIAGO;VICTOR;-9,4790867;-40,5060819;;fev.-25;TRUE;;FALSE;FALSE;1019173/APROVADA;E724694;E724750;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909684;1085090;AL-01V2-NOVA TOURÃO-CONSTRUÇÃO (ITEM 2);JUAZEIRO;;;PES 38272 / OC 6336 - 03/04;;13/03 - 19/03;CONCLUIDA;;0;51;;51;;;PLANO 8;100%;R$ 717.378,39;R$ 179.344,60;;01/04/2025;20/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;DA PLANILHA ;E619983;E620023;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101649848;1032702;MP CIND POV TOME RURAL;JUAZEIRO;04/04;OK;abril-25;;;CONCLUIDA;;2;32;;28;;;;100%;R$ 440.383,01;R$ 110.095,75;R$ 67.200,00;05/04/2025;19/04/2025;GISMARIO;EDIE JONNES;;-9,4410603;-40,285742;;;;;;;DA PLANILHA ;E750042;E750075;JUAZEIRO;01/04/2025;Consolidado;N/A
JUDICIAL OURO;9102072295;1146501;LD - CIND RUA BOA SORTE - RURAL;REMANSO;;OK;PENDENTE CABO 1x25;;;CONCLUIDA;;9;30;;4;;;;100%;R$ 196.015,59;R$ 49.003,90;R$ 63.000,00;08/04/2025;12/04/2025;DOMINGOS / AILTON;PAULO JUNIOR;DEBORA;-9,6723986;-42,1921106;;;;;;;DA PLANILHA ;E750478;E750507;JUAZEIRO;01/04/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915080;1088197;AL - 01V5 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;;PES 38276 / OC 7332 - 03/04;;;CONCLUIDA;;0;27;;27;;;PLANO 1;100%;R$ 321.516,58;R$ 80.379,15;;01/04/2025;21/04/2025;IVONALDO;RODRIGUES;SANDRO;-9,436886049;-40,38081355;;;;;;;DA PLANILHA ;E620024;E620050;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101744304;1015836;ER-CCOL-SI-JUAZEIRO-PINHOES;JUAZEIRO;04/04;OK;PENDENTE CABO 1x25;;;CONCLUIDA;;5;25;;25;;;;100%;R$ 220.850,04;R$ 55.212,51;R$ 52.500,00;01/04/2025;12/04/2025;JUAREZ;EDIE JONNES;;-9,5726189;-39,9000523;;;;;;;DA PLANILHA ;E749877/E750169;E749896/E750173;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9101858658;1083865;MP-CIND-FAZ. RODEADOURO-RURAL;UAUÁ;;OK;abril-25;;;CONCLUIDA;;6;14;;14;;;;100%;R$ 147.918,91;R$ 36.979,73;R$ 29.400,00;12/04/2025;25/04/2025;MAURICIO;EDIE JONNES;;-9,8445915;-39,50630863;;;;;;;DA PLANILHA ;E749861;E749874;JUAZEIRO;01/04/2025;Consolidado;N/A
JUDICIAL OURO;9101726710;1054419;MP-CIND-POV. SANTANA-RURAL;UAUÁ;;OK;ENERGIZA 11/04;;;CONCLUIDA;;1;13;;13;;;;100%;R$ 167.451,27;R$ 41.862,82;R$ 27.300,00;04/04/2025;12/04/2025;MAURICIO;EDIE JONNES;;-9,8645634;-39,6571608;;;;;;;DA PLANILHA ;E749824;E749836;JUAZEIRO;01/04/2025;Consolidado;N/A
AIC OBJETIVO;9102126768;1161990;LD-CCOL-FAZ.SÃO BENTO-RURAL;UAUÁ;;OK;abril-25;;;CONCLUIDA;;2;13;;13;;;;100%;R$ 101.480,32;R$ 25.370,08;R$ 27.300,00;14/04/2025;17/04/2025;MAURICIO;EDIE JONNES;EDVALDO;-9,84933752;-39,4703284;;;;;;;da PLANILHA ;E749897;E749909;JUAZEIRO;01/04/2025;Consolidado;N/A
