CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 25%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;LINK MAPS;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
REPUTACIONAL;9002801571;237059;MP-CCOL-POV DESTERRO-CAIÇARA-RURAL;CASA NOVA;;AVANÇO;;NÃO INICIADA;66;733;;;;;PLANO 14;60%;R$ 4.373.226,44;R$ 1.093.306,61;01/02/2025;31/03/2025;JORGE;JORGE;DIEGO;;;;fev.-25;FALSE;;FALSE;FALSE;APROVADA;E680195;E680939;JUAZEIRO;01/02/2025;Consolidado;N/A
NOVOS QUESTIONAMENTOS ANEEL;9101575275;1040604;MP-CCOL-POV DESENGANO-RURAL;SENTO SÉ;;AVANÇO;;NÃO INICIADA;32;278;;;;;PLANO 14;20%;R$ 2.756.104,87;R$ 689.026,22;17/02/2025;30/03/2025;EMERSON;EMERSON;SANDRO;-9,7533815;-41,8857659;https://maps.app.goo.gl/9EQsCG7L6GFLusNs6;fev.-25;FALSE;;FALSE;FALSE;1019161/APROVADA;E724391;E724668;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9101940561;1093655;AL - GRUA - FAZ. BAIXA - RURAL;JUAZEIRO;SACADO;MIGRAR;;NÃO INICIADA;0;188;;;;;PLANO 7;100%;R$ 3.555.398,98;R$ 1.066.619,69;01/02/2025;22/02/2025;PAULO / CARLOS;SANTIAGO;VICTOR;-9,5502028;-40,5219799;;;;;;;APROVADA;E628933;E629122;JUAZEIRO;01/02/2025;Consolidado;N/A
ESTRATÉGICA;9101751200;1015820;IT-GOVE-RUA-QUADRA N 24-VILA S O JOAQUIM;SOBRADINHO;SACADO;;;CONCLUIDA;0;155;;;;;;100%;R$ 1.307.124,22;R$ 326.781,06;;;JUAREZ;SANTIAGO;SANDRO DUARTE;;;;;;;;;APROVADA ;E612120;E612279;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9102027642;1127953;MP-SEIN-FAZ-BOQUEIRAO 1800 --W-RURAL;CURAÇÁ;;ENTREGA;;CONCLUIDA;9;71;;;;;PLANO 14;100%;R$ 375.226,34;R$ 93.806,59;03/02/2025;28/02/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,9086063;-39,8259879;https://maps.app.goo.gl/pZ8zRr7EMRB6BJPS6;fev.-25;FALSE;;FALSE;FALSE;1016714/APROVADA;E710695;E710774;JUAZEIRO;01/02/2025;Consolidado;N/A
GOVERNO;9102125670;1159894;UB-CIND-RUA-JUAZEIRO-2;JUAZEIRO;;AVANÇO;;NÃO INICIADA;0;66;;;;;PLANO 7;50%;R$ 1.402.835,24;R$ 350.708,81;15/02/2025;31/05/2025;GISMARIO;EDIE JONNES;VICTOR;-9,46663;-40,4997943;https://maps.app.goo.gl/8jsdC8pjdtr6ARU38;fev.-25;FALSE;;FALSE;FALSE;1016645/APROVADA ;E710264 ;E710333;JUAZEIRO;01/02/2025;Consolidado;N/A
ESTRATÉGICA;9101893156;1084183;RR-CCOL-RCL-POV-DE LAJES-LAJES;JUAZEIRO;;AVANÇO;;NÃO INICIADA;75;55;;;;;PLANO 7;50%;R$ 274.737,62;R$ 68.684,41;17/02/2025;31/03/2025;JUAREZ;EDIE JONNES;VICTOR;-9,4790867;-40,5060819;https://maps.app.goo.gl/BfMTiBAKX6n2Bryx9;fev.-25;FALSE;;FALSE;FALSE;1019173/APROVADA;E724694;E724750;JUAZEIRO;01/02/2025;Consolidado;N/A
AL/MELHORAMENTO;9101909684;1085090;AL-01V2-NOVA TOURÃO-CONSTRUÇÃO (ITEM 2);JUAZEIRO;;MIGRAR;25/02;NÃO INICIADA;0;41;;;;;PLANO 8;100%;R$ 717.378,39;R$ 179.344,60;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;fev.-25;FALSE;;FALSE;FALSE;1019622;;;JUAZEIRO;01/02/2025;Consolidado;N/A
QLP;9101827904;1045844;AC-CCOL-POV.ENTRONCAMENTO-REG.FV-RURAL;CASA NOVA;;ENTREGA 26/02;;CONCLUIDA;15;40;;;;;PLANO 7;100%;R$ 485.086,60;R$ 121.271,65;10/02/2025;25/02/2025;JORGE;JORGE;DIEGO;-9,29959;-41,1599821;https://maps.app.goo.gl/GB2TTVP97MzZ8D7s6;fev.-25;FALSE;;FALSE;FALSE;1016654/APROVADA;E710395;E710439;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9102008167;1125306;RR-SEIN-RUA-JOSE CARLOS-PEDRA GRANDE;UAUÁ;SACADO;ENTREGA;;CONCLUIDA;1;38;;;;;PLANO 14;100%;R$ 192.848,09;R$ 48.212,02;13/02/2025;27/02/2025;MAURICIO ;EDIE JONNES;CARLOS EDUARDO;-9,919625;-39,542327;;;;;;;1016703/APROVADA;E710556;E710600;JUAZEIRO;01/02/2025;Consolidado;N/A
JUDICIAL;9101772675;1024582;ER CIND POV MALHADA DA AREIA RURAL;JUAZEIRO;;AVANÇO;;NÃO INICIADA;1;35;;;;;PLANO 14;50%;R$ 276.441,01;R$ 69.110,25;17/02/2025;27/02/2025;CARLOS / PAULO;EDIE JONNES / SANTIAGO;VICTOR;-9,5731822;-40,1167404;https://maps.app.goo.gl/SHuPqzUnNvLDvTxt9;;;;;;1019631/APROVADA;E724751;E724785;JUAZEIRO;01/02/2025;Consolidado;N/A
JUDICIAL;9102145299;1173118;ER-CIND-FAZ-SERRA BRANCA-RURAL-SENTO SE;SENTO SÉ;;AVANÇO;;NÃO INICIADA;1;31;;;;;PLANO 14;50%;R$ 228.569,67;R$ 57.142,42;25/02/2025;31/03/2025;FABIO / FERNANDO;SANTIAGO;SANDRO;-10,550458;-41,847607;https://maps.app.goo.gl/6U9P9kH75TKuESsBA;;;;;;1019884;;;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9101757730;1043511;MP-CCOL-POV-SANTA RITA-RURAL;CASA NOVA;SACADO;;;CONCLUIDA;2;30;;;;;PLANO 14;100%;R$ 369.654,25;R$ 92.413,56;;;;PAULO JUNIOR;DIEGO;-9,023164033;-40,92362632;;;;;;;1016656/APROVADA;E710440;E710474;JUAZEIRO;01/02/2025;Consolidado;N/A
AL/MELHORAMENTO;9101915080;1088197;AL - 01V5 - NOVA TOUR O - CONSTRU  O;JUAZEIRO;;MIGRAR;;NÃO INICIADA;0;27;;;;;PLANO 1;100%;R$ 321.516,58;R$ 80.379,15;01/02/2025;28/02/2025;IVONALDO;SANTIAGO;SANDRO;-9,436886049;-40,38081355;;;;;;;1017641/APROVADA;E711944;E711970;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9101993671;1121713;ER-CIND-POV-ALTAO 600-PAPAGAIO;UAUÁ;17/02;ENTREGA;;CONCLUIDA;1;25;;;;;PLANO 14;100%;R$ 143.990,76;R$ 35.997,69;22/02/2025;26/02/2025;MAURICIO ;EDIE JONNES;CARLOS EDUARDO;-9,9232761;-39,4793267;https://maps.app.goo.gl/9ZFYMK2nmMiYAi9g9;fev.-25;FALSE;;FALSE;FALSE;1019196/APROVADA;E725719;E725743;JUAZEIRO;01/02/2025;Consolidado;N/A
REPUTACIONAL;9102030558;1122206;AL GRUA ROD BR 324 RURAL;REMANSO;;AVANÇO;;NÃO INICIADA;0;25;;;;;PLANO 7;50%;R$ 503.024,54;R$ 125.756,14;20/02/2025;31/03/2025;;PAULO JUNIOR;DEBORA;-9,6020105;-42,0841233;https://maps.app.goo.gl/A4T6HkdpGguU5Pe77;fev.-25;FALSE;;FALSE;FALSE;1019168/APROVADA;E724669;E724693;JUAZEIRO;01/02/2025;Consolidado;N/A
