CRITÉRIO;NOTA;PROJETO;TÍTULO;MUNICIPIO;SEPARAR MATERIAL;STATUS;SITUAÇÃO;DATA DESLIG;STATUS 1;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR 30%;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;SITUAÇÃO.1;CARTEIRA;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;VISITA PRÉVIA;PRÉ FECHAMENTO;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
REPUTACIONAL;9002801571;237059;MP-CCOL-POV DESTERRO-CAIÇARA-RURAL;CASA NOVA;;LV APENAS;;;NÃO INICIADA;66;733;367;;;;PLANO 14;50%;R$ 4.373.226,44;R$ 1.311.967,93;01/01/2025;31/03/2025;JORGE;JORGE;DIEGO;-9,31621797;-41,81448;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E680195;E680939;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9101940561;1093655;AL - GRUA - FAZ. BAIXA - RURAL;JUAZEIRO;ALIMENTADOR;;MIGRAR;;EM EXECUÇÃO;0;188;141;;;;PLANO 7;100%;R$ 3.555.398,98;R$ 1.066.619,69;13/01/2025;28/02/2025;CARLOS / PAULO;SANTIAGO;VICTOR;-9,5502028;-40,5219799;;jan.-25;FALSE;;FALSE;FALSE;APROVADA;E628933;E629122;JUAZEIRO;01/01/2025;Consolidado;N/A
JUDICIAL;9101937359;1097831;ER-CIND-POV-TAPARICA-RURAL;JUAZEIRO;08/01;LV;MIGRAR;;NÃO INICIADA;1;3;3;;;;PLANO 7;100%;R$ 33.577,54;R$ 8.394,39;10/01/2025;18/01/2025;GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,10517;-40,275412;;jan.-25;FALSE;;FALSE;FALSE;1013573/APROVADA;E681541;E681544;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9101964733;1108281;ER-CIND-POV-PAUDARCO-MUQUEM;JUAZEIRO;08/01;EXT BT;MIGRAR;;NÃO INICIADA;1;8;8;;;;PLANO 14;100%;R$ 24.317,68;R$ 6.079,42;13/01/2025;25/01/2025;GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,287844172;-39,96277385;;jan.-25;FALSE;;FALSE;FALSE;959519/APROVADA;E420795;E420803;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102008167;1125306;RR-SEIN-RUA-JOSE CARLOS-PEDRA GRANDE;UAUÁ;10/01;POSSIVEL DL MT 7 UCS;MIGRAR;;NÃO INICIADA;1;38;38;;;;PLANO 14;100%;R$ 192.848,09;R$ 57.854,43;15/01/2025;30/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,919625;-39,542327;;jan.-25;FALSE;;FALSE;FALSE;1016703/APROVADA;E710556;E710600;JUAZEIRO;01/01/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO;9101977212;1115260;AC-CIND-RUA-PADRE JOAO FRE-CENTRO;PILÃO ARCADO;21/01;PES REMAT;MIGRAR;06/02;EM EXECUÇÃO;1;4;4;;;;PLANO 7;100%;R$ 69.502,35;R$ 17.375,59;18/01/2025;31/01/2025;DOMINGOS;PAULO JUNIOR / RODRIGUES;DIEGO;-10,000539;-42,480473;;jan.-25;FALSE;;FALSE;FALSE;1016690/APROVADA;E710834;E710841;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9101757730;1043511;MP-CCOL-POV-SANTA RITA-RURAL;CASA NOVA;21/01; POSSIVEL DL MT 21 UCS;MIGRAR;;EM EXECUÇÃO;2;30;30;;;;PLANO 14;100%;R$ 369.654,25;R$ 92.413,56;01/10/2025;28/01/2025;DANIEL;PAULO JUNIOR / RODRIGUES;DIEGO;-9,023164033;-40,92362632;;jan.-25;FALSE;;FALSE;FALSE;1016656/APROVADA;E710440;E710474;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9102041484;1135698;MP CIND POV LAGOA CANAFISTA RURAL;PILÃO ARCADO;15/01;POSSIVEL DL MT 5 UCS;ENTREGA 31/01;;CONCLUIDA;19;47;47;;;;PLANO 14;100%;R$ 514.349,86;R$ 128.587,47;13/01/2025;29/01/2025;DOMINGOS;PAULO JUNIOR / RODRIGUES;DIEGO;-10,01191718;-42,54126269;;jan.-25;FALSE;;FALSE;FALSE;1016657/APROVADO ;E710475;E710529;JUAZEIRO;01/01/2025;Consolidado;N/A
LPT;9101886245;1077021;ER-CIND-FAZ-MACAMBIRA 52-RURAL;CURAÇÁ;;EXT BT;;;NÃO INICIADA;1;6;6;;;;PLANO 14;100%;R$ 20.555,43;R$ 6.166,63;10/01/2025;17/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,979004;-39,840509;;jan.-25;FALSE;;FALSE;FALSE;1016659/APROVADA;E710530;E710539;JUAZEIRO;01/01/2025;Consolidado;N/A
REPUTACIONAL;9101905381;1090457;MP-CIND-POV-TRAIRAS-RURAL;SENTO SÉ;09/01;PG+ENCABÇ (LV);ENTREGA 31/01;;CONCLUIDA;1;14;14;;;;PLANO 7;100%;R$ 141.631,29;R$ 35.407,82;13/01/2025;28/01/2025;FABIO;SANTIAGO;SANDRO;-9,839898;-41,660409;;jan.-25;FALSE;;FALSE;FALSE;1016660/APROVADA;E710540;E710555;JUAZEIRO;01/01/2025;Consolidado;N/A
