CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;STATUS 2;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
AIC AUDITORIA;9102149357;1176366;RU-CIND-RUA-DAS PALMEIRAS-CENTRO;CAMPO ALEGRE DE LOURDES;MIGRAR;;MIGRAR;;;;EM EXECUÇÃO;;1;3;;3;;;PLANO 7;100%;;;;15/07/2025;30/07/2025;MANUTENÇÃO;ANDERSON;;;;;DA PLANILHA;E800651;E800653;JUAZEIRO;01/07/2025;Consolidado;N/A
EQUIPAMENTO;9102136937;1170528;IE-RELIGADOR-SBC-09S1-N61190;CASA NOVA;ENTREGA;APP;;;;;EM EXECUÇÃO;;0;1;;1;;;8.2.2.3;100%;R$ 124.894,00;R$ 24.978,80;R$ 1.700,00;21/07/2025;22/07/2025;JUAREZ;PAULO JUNIOR;DIEGO CARVALHO;-9,13466;-41,6741;;DA PLANILHA;E819660;E819660;JUAZEIRO;01/07/2025;Consolidado;N/A
JUDICIAL;9101038464;806660;MP-CCOL-POV. CHAMUSCADO-RURAL;PILÃO ARCADO;;;OURO;;;;CONCLUIDA;;19;205;205;205;;;14.4.12.1;100%;R$ 1.517.428,63;R$ 303.485,73;R$ 348.500,00;01/06/2025;20/07/2025;EMERSON;EMERSON;MARLOS LOPES;0;0;;DA PLANILHA ;E773493;E773700;JUAZEIRO;01/07/2025;Consolidado;N/A
GOVERNO;9002156455;224007;MP-CCOL-POV SANTANA DO SOBRADO -RURAL;CASA NOVA;MIGRAR;;OURO;DETONAÇÃO;;;EM EXECUÇÃO;;3;27;;27;;;;100%;R$ 264.602,50;R$ 52.920,50;R$ 45.900,00;21/07/2025;31/07/2025;MAURICIO;PAULO JUNIOR;DIEGO CARVALHO;-9,60687;-41,7955;;DA PLANILHA;E819990;E820016;JUAZEIRO;01/07/2025;Consolidado;N/A
REPUTACIONAL;9102031594;1128536;MP-CCOL-POV-XIQUE XIQUE-RURAL;CASA NOVA;AVANÇO;;OURO;;;;NÃO INICIADA;;17;166;;33,2;;;14.4.12.1;20%;R$ 1.425.753,93;R$ 285.150,79;R$ 282.200,00;28/07/2025;31/10/2025;AILTON / SILVONEY;PAULO JUNIOR;DIEGO CARVALHO;-9,62639;-41,8385;;DA PLANILHA;E819709;E819874;JUAZEIRO;01/07/2025;Consolidado;N/A
REPUTACIONAL;9101949445;1101591;IT-GRUA-FAZ-PROJETO NILO COELH-RURAL-MOD;CASA NOVA;;;;;;;CONCLUIDA;;0;168;168;168;;;PLANO 7;100%;;;R$ 285.600,00;03/06/2025;15/07/2025;FERNANDO;SANTIAGO;;;;;DA PLANILHA;E777332;E777507;JUAZEIRO;01/07/2025;Consolidado;N/A
AL/MELHORAMENTO;9102150020;1187057;IE-RELIGADOR-NCU-01Z1-J51080;CURAÇÁ;MIGRAR;;;SEM ACESSO;;;NÃO INICIADA;;0;1;;1;;;8.2.2.3;100%;R$ 110.153,52;R$ 22.030,70;R$ 1.700,00;22/07/2025;23/07/2025;JUAREZ;PAULO JUNIOR;CARLOS EDUARDO;-9,05313;-39,956;;DA PLANILHA;E819661;E819661;JUAZEIRO;01/07/2025;Consolidado;N/A
RECLAMAÇÃO;9101865235;1062682;LD- CIND POV MARCOS RURAL- REM;REMANSO;;;;;;;CONCLUIDA;;5;76;76;76;;;;100%;R$ 480.196,00;R$ 96.039,20;R$ 129.200,00;01/07/2025;22/07/2025;AILTON / SILVONEY;PAULO JUNIOR;DEBORAH LUMA;-9,50688;-42,0601;;DA PLANILHA;E800366;E800435;JUAZEIRO;01/07/2025;Consolidado;N/A
RECLAMAÇÃO;9102112129;1159828;ER-CIND-FAZ-ANGICO-ARVORE;CURAÇÁ;MIGRAR;;;;;;NÃO INICIADA;;1;3;;3;;;7.1.2.3;100%;R$ 28.600,08;R$ 5.720,02;R$ 5.100,00;30/07/2025;31/07/2025;FABIO;EDIE JONNES;CARLOS EDUARDO;-8,72027;-39,6778;;DA PLANILHA;E819657;E819659;JUAZEIRO;01/07/2025;Consolidado;N/A
AIC OBJETIVO;9101708533;1058096;MP-CCOL-POV-PONTA DA SERRA-RURAL;REMANSO;;;;RUBEM;;;CONCLUIDA;;6;74;75;74;;;14.4.12.1;100%;R$ 555.795,74;R$ 111.159,15;R$ 125.800,00;07/07/2025;31/08/2025;RUBEM;RUBEM;DEBORAH LUMA;-9,39231;-42,193;;DA PLANILHA;E799758;E799831;JUAZEIRO;01/07/2025;Consolidado;N/A
