CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
PRIORIDADE PLANO ANEEL;9102166517;1183167;UB-CIND-CA-7 9995-JO O PAULO II;JUAZEIRO;;;MIGRAR ;;;;NÃO INICIADA;;1;0;;0;;;PLANO 7;100%;;;R$ 0,00;18/06/2025;25/06/2025;PEDRO BATISTA;ANDERSON;;;;;0 POSTE;;;JUAZEIRO;01/06/2025;Consolidado;N/A
GOVERNO OURO;9102074965;1145056;RR-SEIN-POV-CALDEIRAOZINHO-RURAL;UAUÁ;;OK;;;;;CONCLUIDA;11/06/2025;11;149;148;149;;;PLANO 14;100%;R$ 1.070.372,80;;R$ 253.300,00;02/06/2025;21/06/2025;RUBEM;RUBEM;;;;;;;;JUAZEIRO;01/06/2025;Consolidado;N/A
RECLAMAÇÃO REITERADA OURO;9102025347;1126041;IT CIND FAZ CURAÇA PEQUENO RURAL;JUAZEIRO;;OK;MIGRAR;;;;CONCLUIDA;30/06/2025;0;95;121;95;;;PLANO 7;100%;R$ 1.638.439,13;;R$ 161.500,00;01/06/2025;28/06/2025;FABIO/ FERNANDO;SANTIAGO;;;;;DA PLANILHA;E619540;E619634;JUAZEIRO;01/06/2025;Consolidado;N/A
EQUIPAMENTO;9102103396;1136743;EQ-CIND-POV-CURAÇA PEQUENO-RURAL;JUAZEIRO;;;MIGRAR;;;;NÃO INICIADA;;0;2;;2;;;PLANO 7;100%;R$ 423.821,91;;R$ 3.400,00;16/06/2025;30/06/2025;FABIO/ FERNANDO;SANTIAGO;;;;;DA PLANILHA;E774768;E774769;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102019137;1127877;ER-CIND-POV-CURACA-RURAL;JUAZEIRO;;;MIGRAR;;;;NÃO INICIADA;;1;2;;2;;;PLANO 7;100%;;;R$ 3.400,00;26/06/2025;30/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799867;E799868;JUAZEIRO;01/06/2025;Consolidado;N/A
GOVERNO;9100061120;556240;RR-CCOL-POV.SÃO FRANCISCO-RURAL;REMANSO;;OK;ENTREGA;;;;CONCLUIDA;23/06/2025;15;77;77;77;;;PLANO 14;100%;R$ 416.825,23;;R$ 130.900,00;01/06/2025;23/06/2025;AILTON / DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E774000;E774072;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102223744;1196674;UB-CIND-RUA-DOS UMBUZEIROS-QUADRA 14;REMANSO;;;;;;;NÃO INICIADA;;3;2;;2;;;PLANO 7;100%;;;R$ 3.400,00;23/06 2025;28/06/2025;MANUTENÇÃO;ANDERSON;;;;;DA PLANILHA;E799935;E799936;JUAZEIRO;01/06/2025;Consolidado;N/A
AIC AUDITORIA;9102149357;1176366;RU-CIND-RUA-DAS PALMEIRAS-CENTRO;CAMPO ALEGRE DE LOURDES;;;MIGRAR;;;;NÃO INICIADA;;1;3;;3;;;PLANO 7;100%;;;;15/06/2025;30/06/2025;MANUTENÇÃO;ANDERSON;;;;;;;;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9101883450;1073669;ER-CIND-POV S DA BATATEIRA-J PAULO-RURAL;JUAZEIRO;;;;;;;NÃO INICIADA;;1;3;;3;;;;100%;;;R$ 5.100,00;19/06/2025;21/06/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E799874;E799876;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102039849;1139392;MP CIND FAZ SURUBIM RURAL;CURAÇÁ;;OK;MIGRAR;;;;CONCLUIDA;19/06/2025;2;25;25;25;;;PLANO 7;100%;R$ 397.670,97;;R$ 42.500,00;01/06/2025;14/06/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA;E774321;E774345;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102160548;1181568;ER-CIND-POV-ILHA ANDORINHA-I ANDORINHA;SENTO SÉ;;OK;ENTREGA;;DESLIGAMENTO;;CONCLUIDA;09/06/2025;3;19;19;19;;;PLANO 7;100%;R$ 137.245,97;;R$ 32.300,00;18/06/2025;25/06/2025;JACKSON;SANTIAGO;;;;;DA PLANILHA;E777508;E777526;JUAZEIRO;01/06/2025;Consolidado;N/A
QLP;9102124885;1165884;ER-CIND-FAZ-IPUEIRA-BARRO VERMELHO;CURAÇÁ;;;;;;;CONCLUIDA;21/06/2025;2;18;18;18;;;PLANO 7;100%;;;R$ 30.600,00;12/06/2025;25/06/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA ;E799610;E799627;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102166569;1183798;ER-CIND-POV-LAGOA DE S BENTO-RURAL;REMANSO;;OK;ENTREGA;;;;CONCLUIDA;05/06/2025;3;18;18;18;;;PLANO 7;100%;R$ 148.133,83;;R$ 30.600,00;02/06/2025;14/06/2025;AILTON;PAULO JUNIOR;;;;;DA PLANILHA;E778042;E778059;JUAZEIRO;01/06/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102048943;1144743;MP CIND POV FIRMEZA ITAMOINGA RURAL;JUAZEIRO;;;OURO;;;;CONCLUIDA;;1;17;17;17;;;PLANO 7;100%;;;R$ 28.900,00;19/06/2025;28/06/2025;DOMINGOS;SANTIAGO;;;;;DA PLANILHA;E800477;E800493;JUAZEIRO;01/06/2025;Consolidado;N/A
