CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;Unnamed: 5;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;DATA DESLIG;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;LATITUDE;LONGITUDE;CARTEIRA;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
QLP;9102080873;1145201;ER-CIND-POV-RURAL-CASA NOVA;CASA NOVA;;;OK;ENTREGA;;;;CONCLUIDA;;1;7;7;7;;;PLANO 7;100%;R$ 28.459,74;;R$ 11.900,00;12/05/2025;17/05/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E774314;E774320;JUAZEIRO;01/05/2025;Consolidado;N/A
SOLICITAÇÃO ATENDIMENTO OURO;9102222856;1198422;IT-CIND-FAZ-PROJ NILO COELHO-CASA NOVA;CASA NOVA;;;OK;;;;;CONCLUIDA;;0;0;0;0;;;PLANO 7;100%;R$ 4.802,63;;R$ 0,00;08/05/2025;10/05/2025;LINHA VIVA;PAULO JUNIOR;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
TRANSGRESSÃO OURO;9102025249;1127131;AC-GRUA-CJN-PARATY ATACADO-MMGD;JUAZEIRO;;;OK;;;;;CONCLUIDA;;0;0;0;0;;;PLANO 7;100%;R$ 2.943,99;;R$ 0,00;07/05/2025;15/05/2025;LINHA VIVA;EDIE JONNES;;;;;0 POSTE ;;;JUAZEIRO;01/05/2025;Consolidado;N/A
EQUIPAMENTO;9102136917;1170253;IE-RELIGADOR-CSN-01C6-J54312;CASA NOVA;;;OK;ENTREGA;;;;NÃO INICIADA;;0;1;;0;;;PLANO 8;100%;R$ 93.430,26;;R$ 0,00;16/05/2025;31/05/2025;DANIEL;PAULO JUNIOR;;;;;DA PLANILHA;E777196;E777196;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL;9102164727;1188323;UCIND-AV-GUISEPP MUCCINI-ARGEMIRO;JUAZEIRO;;;OK;;;;;CONCLUIDA;;0;0;0;0;;;PLANO 7;100%;R$ 6.354,88;;R$ 0,00;08/05/2025;08/05/2025;GISMARIO;EDIE JONNES;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102225129;1195911;UCIND-RUA-DAS MARGARIDAS 20-V MALVAO;CASA NOVA;;;OK;;;;;CONCLUIDA;;2;0;0;0;;;PLANO 7;100%;R$ 4.638,24;;R$ 0,00;15/05/2025;17/05/2025;DANIEL;PAULO JUNIOR;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL;9101949445;1101591;IT-GRUA-FAZ-PROJETO NILO COELH-RURAL-MOD;CASA NOVA;;;;AVANÇO;;;;NÃO INICIADA;;0;176;;88;;;PLANO 7;50%;R$ 3.149.119,15;;R$ 149.600,00;16/05/2025;30/06/2025;FERNANDO;PAULO JUNIOR;;;;;DA PLANILHA;E777332;E777507;JUAZEIRO;01/05/2025;Consolidado;N/A
REPUTACIONAL OURO;9102211535;1195385;UCIND-RUA-COMISSAO DO VALE-PIRANGA;JUAZEIRO;;;OK;PES 52486 OC 48953 - 15/05;;;;CONCLUIDA;;1;0;0;0;;;PLANO 7;100%;R$ 37.912,16;;R$ 0,00;13/05/2025;15/05/2025;GISMARIO;EDIE JONNES;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
RECLAMAÇÃO;9102093355;1156209;AC REG FV CIND FAZ CAPUCHU 16 RURAL;CURAÇÁ;;;;MIGRAR;;;;NÃO INICIADA;;2;37;;37;;;PLANO 7;100%;R$ 374.111,28;;R$ 62.900,00;19/05/2025;31/05/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E773943;E773979;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102039849;1139392;MP CIND FAZ SURUBIM RURAL;CURAÇÁ;;;OK;MIGRAR;;;;NÃO INICIADA;;2;25;;25;;;PLANO 7;100%;R$ 397.670,97;;R$ 42.500,00;09/05/2025;17/05/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E774321;E774345;JUAZEIRO;01/05/2025;Consolidado;N/A
AIC AUDITORIA;9101650436;1059076;MP-CCOL-POV-SERROTIM-RURAL;CURAÇÁ;;;OK;;;;;CONCLUIDA;;2;6;6;6;;;PLANO 14;100%;R$ 56.017,09;;R$ 10.200,00;05/05/2025;09/05/2025;IVONALDO;EDIE JONNES;;;;;DA PLANILHA;E774707;E774712;JUAZEIRO;01/05/2025;Consolidado;N/A
AL/MELHORAMENTO;9102006139;1157379;RS-COEL-SAIDA AL NOVA TOURAO;JUAZEIRO;;;OK;;MIGRAR;;;CONCLUIDA;;0;0;0;0;;;PLANO 1;100%;R$ 1.374.462,12;;R$ 0,00;01/05/2025;15/05/2025;IVONALDO;SANTIAGO;;;;;0 POSTE;;;JUAZEIRO;01/05/2025;Consolidado;N/A
GOVERNO OURO;9102125670;1159894;UCIND-RUA-JUAZEIRO-2;JUAZEIRO;;;;AVANÇO;;;;NÃO INICIADA; ;0;66;;33;;;PLANO 7;50%;R$ 1.460.659,08;;R$ 56.100,00;12/05/2025;31/07/2025;PAULO;EDIE JONNES;;;;;DA PLANILHA ;E750526;E750585;JUAZEIRO;01/05/2025;Consolidado;N/A
JUDICIAL OURO;9101915314;1096776;LD-CIND-FAZ.CURRALINHO-RURAL;CURAÇÁ;;;OK;;;;;CONCLUIDA;;1;1;1;1;;;PLANO 7;100%;R$ 25.611,80;;R$ 1.700,00;13/05/2025;14/05/2025;FABIO;EDIE JONNES;;;;;DA PLANILHA;E773701;E773701;JUAZEIRO;01/05/2025;Consolidado;N/A
AIC AUDITORIA;9101770901;1057733;MP-CIND-POV-CRUZ II-RIO RURAL;JUAZEIRO;;;OK;MIGRAR;;;;NÃO INICIADA;;1;10;;10;;;PLANO 14;100%;R$ 202.269,44;;R$ 17.000,00;26/05/2025;31/05/2025;PEDRO BATISTA;ANDERSON;;;;;DA PLANILHA;E774304;E774313;JUAZEIRO;01/05/2025;Consolidado;N/A
QLP;9102159864;1180504;ER-CIND-RUA-SANTA INES-MATA BURRO;JUAZEIRO;;;OK;;;;;CONCLUIDA;;4;1;1;1;;;PLANO 7;100%;R$ 6.287,31;;R$ 1.700,00;06/05/2025;09/05/2025;GISMARIO;EDIE JONNES;;;;;DA PLANILHA;E777232;E777232;JUAZEIRO;01/05/2025;Consolidado;N/A
