PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS 1;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
515938;MP-CCOL-FAZ SERRA BRANCA E ARRED.-RURAL;;REMANSO;OUTUBRO;CONCLUÍDA;CONCLUÍDA;;;JORGE;JORGE;MARLOS LOPES ;14.4.12.1;100%;93;1.392;1619;;;24/10/2025;;;SIM;;;;Ver no Mapa;05/04/2025;04/10/2025;04/10/2025;06/10/2025;;JUAZEIRO;2025-10-01;Consolidado;N/A
1233696;RC-GOVE-ROD-BR 020-CENTRO;GOVERNO;CAMPO ALEGRE DE LOURDES;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;;SANTIAGO;JACSON;MARLOS LOPES ;8.3.2.3;100%;0;2;;;;17/12/2025;;NÃO;NÃO;;-9.5010346;-43.010159;Ver no Mapa;17/12/2025;17/12/2025;17/12/2025;SIM;;JUAZEIRO;2025-12-01;Consolidado;N/A
1189551;UB-CIND-RUA-DO ASFALTO 10-CENTRO;PRIORIDADE PLANO ANEEL;CASA NOVA;NOVEMBRO;CONCLUÍDA;ENERGIZADA;COMPLETO;;SANTIAGO;FABIO;MARLOS LOPES ;7.1.1.3;100%;;2;2;;26/11/2025;26/11/2025;;;NÃO;;-9.2935056;-40.8191625;Ver no Mapa;25/11/2025;25/11/2025;25/11/2025;SIM;;JUAZEIRO;2025-11-01;Consolidado;N/A
1201544;ER-CIND-SI-STA LUZIA-RR-SAO LUIZ;PRIORIDADE PLANO ANEEL;CASA NOVA;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;;EDIE JONNES;JACSON;DIEGO ALMEIDA;7.1.2.3;100%;1;2;;;02/12/2025;06/12/2025;;SIM;SIM;;-9.303507;-40.8318994;Ver no Mapa;10/12/2025;16/12/2025;16/12/2025;SIM;;JUAZEIRO;2025-12-01;Consolidado;N/A
1128536;MP-CCOL-POV-XIQUE XIQUE-RURAL;;CASA NOVA;OUTUBRO;CONCLUÍDA;CONCLUÍDA;;OURO;PAULO JUNIOR;FERNANDO;DIEGO ALMEIDA;14.4.12.1;100%;8;166;178;;07/08/2025;31/10/2025;;;SIM;;-9.6263923;-41.838502;Ver no Mapa;07/08/2025;31/10/2025;31/10/2025;31/10/2025;;JUAZEIRO;2025-10-01;Consolidado;N/A
1120926;MP CIND POV MANTEIGA RURAL MOD;;REMANSO;SETEMBRO;CONCLUÍDA;CONCLUÍDA;;;RUBEM;RUBEM;MARLOS LOPES ;14.4.12.1;100%;17;111;;;22/08/2025;;;;;;-9.5834495;-42.1018369;Ver no Mapa;02/09/2025;30/09/2025;30/09/2025;01/10/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
1229077;ER-CIND-POV-BAIXAO-RURAL;OBRAS ÁGEIS;CASA NOVA;DEZEMBRO;PROGRAMADA;NÃO INICIADA;COMPLETO;;MICHEL;;DIEGO ALMEIDA;7.1.2.3;100%;1;2;;;11/12/2025;11/12/2025;;;NÃO;;-9.394975;-41.230686;Ver no Mapa;;;;;;JUAZEIRO;2025-12-01;Consolidado;N/A
1189586;ER-CIND-POV-FAZ SERRA DA ESPERANCA-RURAL;PRIORIDADE PLANO ANEEL;CASA NOVA;DEZEMBRO;CONCLUÍDA;CONCLUÍDA;COMPLETO;;EDIE JONNES;JUAREZ;DIEGO ALMEIDA;7.1.2.3;100%;1;0;;;12/12/2025;12/12/2025;;;NÃO;;-9.3070009;-40.9293817;Ver no Mapa;12/12/2025;15/12/2025;15/12/2025;SIM;;JUAZEIRO;2025-12-01;Consolidado;N/A
1183301;UB-CIND CJ-HABITACIONAL-BORGES;PRIORIDADE PLANO ANEEL;CASA NOVA;NOVEMBRO;CONCLUÍDA;ENERGIZADA;COMPLETO;;SANTIAGO;JACSON;MARLOS LOPES ;7.1.1.10;100%;;1;1;;27/11/2025;27/11/2025;;;NÃO;;-9.299753;-40.81499;Ver no Mapa;26/11/2025;26/11/2025;26/11/2025;SIM;;JUAZEIRO;2025-11-01;Consolidado;N/A
1129183;MP-CCOL-POV.MANTEIGA-RURAL;;REMANSO;SETEMBRO;CONCLUÍDA;CONCLUÍDA;;;RUBEM;RUBEM;MARLOS LOPES ;14.4.12.1;100%;3;46;;;;;;;;;-9.5839657;-42.1016911;Ver no Mapa;02/09/2025;30/09/2025;30/09/2025;01/10/2025;;JUAZEIRO;2025-09-01;Consolidado;N/A
