CRITÉRIO;NOTA;PROJETO;TITULO;MUNICIPIO;SEPARAR MATERIAL;PRE FECHAMENTO;STATUS;STATUS 1;TITULO.1;GPM;STATUS 1.1;DATA DE ENERG.;CLIET.;PSTP;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVANÇO;V. PROJETO;VALOR A FATURAR;VALOR/PST;PV. INÍCIO;PV. FIM;REPROGRAMAÇÃO;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;OBRAS SIMPLIFICADAS;SI PG;PG INICIAL;PG FINAL;COORD;Carteira;STATUS_AUDITORIA;MOTIVO_DESCARTE
INTERV SEGURANÇA;9102244605;1197173;IS-COEL-AV-MARIA DA G DE JESUS-J VITOR;JUAZEIRO;OK;;;;;;CONCLUIDA;;0;8;;;;;8.6.2003;100%;R$ 106.553,46;;R$ 13.600,00;01/09/2025;05/09/2025;04/09/2025;PEDRO LINO;ANDERSON;VICTOR BARROS;-9.425685;-40.5172658;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102125395;1166448;RU-CIND-AV-1-QDL-N33-DESTRITO INDUSTRIAL;JUAZEIRO;OK;;;;;;CONCLUIDA;;1;0;;;;;7.1.1.3;100%;R$ 10.018,73;R$ 1.606,00;R$ 0,00;05/09/2025;05/09/2025;;ITALO LV;ANDERSON;SANDRO SANTOS;-9.45761486;-40.487645;;0 POSTE;;;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102219759;1196624;AC-CIND-RUA-MALHADA DA AREIA-MALHADA DA;JUAZEIRO;OK;;;;;;EM EXECUÇÃO;;1;0;;;;;7.1.1.3;100%;R$ 36.142,11;;R$ 0,00;27/08/2025;06/09/2025;27/09/2025;MANUTENÇÃO;ANDERSON;VICTOR BARROS;-9.4449179;-40.5157863;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102159954;1182387;ER-CIND-FAZ-TOGUEMBURGO-SANTANA RURAL;SOBRADINHO;OK;;;;;;CONCLUIDA;;1;2;;;;;7.1.2.3;100%;R$ 33.321,44;;R$ 3.400,00;06/09/2025;06/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;-9,525592;-40,7644843;;DA PLANILHA ;E864159;E864160;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102314574;1212274;ER-CIND-POV-LAGOA GRANDE 9999-RURAL;SOBRADINHO;OK;;;;;;CONCLUIDA;;;2;;;;;14.7.2003;100%;R$ 25.485,13;;R$ 3.400,00;06/09/2025;06/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;-9.5719662;-40.7752113;;DA PLANILHA;E865109;E865110;JUAZEIRO;01/09/2025;Consolidado;N/A
JUDICIAL;9101797572;1032275;ER-CIND-POV-PONTAL-RURAL;JUAZEIRO;OK;;OURO;;;;EM EXECUÇÃO;;1;6;;;;;14.4.12.1;100%;R$ 48.400,27;;R$ 10.200,00;02/09/2025;10/09/2025;03/09/2025;PEDRO LINO;ANDERSON;VICTOR BARROS;-9,0742368;-40,2047431;;DA PLANILHA ;E864199;E864204;JUAZEIRO;01/09/2025;Consolidado;N/A
JUDICIAL;9102073209;1142581;RC-CIND-AV-08 150-QUIDE;JUAZEIRO;OK;;OURO;;;;CONCLUIDA;;0;5;8;;;;8.3.2.3;100%;R$ 20.129,67;;R$ 8.500,00;04/09/2025;10/09/2025;05/09/2025;PEDRO LINO;ANDERSON;VICTOR BARROS;0;0;;DA PLANILHA;E864181;E864185;JUAZEIRO;01/09/2025;Consolidado;N/A
GOVERNO;9102332104;1217996;IT-CIND-RUA-CINCO-CENTRO;JUAZEIRO;OK;;OURO;;;;ESCAVAÇÃO;;0;6;;;;;7.1.1.3;100%;R$ 69.318,59;;R$ 10.200,00;01/09/2025;12/09/2025;;PEDRO LINO;ANDERSON;VICTOR BARROS;#N/D;#N/D;;DA PLANILHA;E864222;E864227;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102232005;1187735;AC-CIND-AV-BARAO DO RIO B-QUADRA 19;REMANSO;;;;;;;ESCAVAÇÃO;;0;1;;;;;7.1.1.3;100%;R$ 55.020,71;;R$ 1.700,00;16/09/2025;16/09/2025;;MANUTENÇÃO;ANDERSON;MARLOS LOPES ;-9,6172162;-42,0840119;;DA PLANILHA;E864279;E864279;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102288631;1209983;AC-CIND-RUA-05 QDA N 22-VILA SAO JOAQUIM;SOBRADINHO;OK;;;;;;NÃO INICIADA;;1;3;;;;;7.1.1.3;100%;R$ 59.494,36;;R$ 5.100,00;15/09/2025;16/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;-9,4673387;-40,7933262;;DA PLANILHA;E864196;E864198;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102232122;1195222;UB-CIND-RUA-02 QSA S 19-VILA S O JOAQUIM;SOBRADINHO;;;;;;;NÃO INICIADA;;1;3;;;;;7.1.1.3;100%;R$ 32.872,25;;R$ 5.100,00;17/09/2025;18/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;-9,4702329;-40,7949487;;DA PLANILHA;E864307;E864309;JUAZEIRO;01/09/2025;Consolidado;N/A
AL/MELHORAMENTO;9102089655;1146807;NT-RECOND-SBO-01S4-D134830-Q023936;SOBRADINHO;;;;;;;NÃO INICIADA;;0;2;;;;;8.4.1.1;100%;R$ 402.232,59;;R$ 3.400,00;10/09/2025;19/09/2025;;MANUTENÇÃO;ANDERSON;DIEGO ALMEIDA;-9,5366625;-40,9057719;;DA PLANILHA;E864186;E864187;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102161579;1185166;AC-CIND-FAZ-SÃO JOAQUIM-RURAL;SOBRADINHO;;;;;;;NÃO INICIADA;;1;3;;;;;7.1.2.3;100%;R$ 54.933,93;;R$ 5.100,00;19/09/2025;20/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;-9,4627287;-40,8772378;;DA PLANILHA;E864274;E864276;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102163692;1184453;ER-CIND-POV-PINHOES-PINHOES;JUAZEIRO;;;;;;;NÃO INICIADA;;1;4;;;;;7.1.2.3;100%;R$ 37.618,99;;R$ 6.800,00;15/09/2025;20/09/2025;;MANUTENÇÃO;ANDERSON;VICTOR BARROS;-9,5304595;-39,9539396;;DA PLANILHA;E864177;E864180;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102237613;1198741;UB-CIND-RCL-RUA-RUA DILSON VIEIRA-VILA;REMANSO;;;;;;;NÃO INICIADA;;11;10;;;;;7.1.1.3;100%;R$ 59.217,22;;R$ 17.000,00;01/09/2025;20/09/2025;;MANUTENÇÃO;ANDERSON;MARLOS LOPES ;-9,6063923;-42,0927632;;DA PLANILHA;E864165;E864174;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102140891;1176249;ER-CIND-POV-TATAUI-RURAL-SOBRADINHO;SOBRADINHO;OK;;;;;;NÃO INICIADA;;0;4;;;;;7.1.2.3;100%;R$ 44.370,35;;R$ 6.800,00;22/09/2025;22/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;-9,524956;-40,8539064;;DA PLANILHA;E864217;E864220;JUAZEIRO;01/09/2025;Consolidado;N/A
GOVERNO;9102305123;1211884;AC-GRUA-AV-RAUL ALVES-SANTO ANTONIO;JUAZEIRO;;;;;;;NÃO INICIADA;;;1;;;;;7.1.1.3;100%;R$ 14.808,32;;R$ 1.700,00;23/09/2025;23/09/2025;;PEDRO LINO;ANDERSON;VICTOR BARROS;-9.4180224;-40.507459;;DA PLANILHA;E876692;E876692;JUAZEIRO;01/09/2025;Consolidado;N/A
SLA;9102131257;1163416;ER CIND POV JUNCO SALITRE RURAL;JUAZEIRO;;;;;;;NÃO INICIADA;;1;4;;;;;14.4.12.1;100%;R$ 52.884,17;;R$ 6.800,00;24/09/2025;25/09/2025;;PEDRO LINO;ANDERSON;SANDRO SANTOS;-9.6748125;-40.6029115;;DA PLANILHA;E876693;E876697;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102250804;1205723;AC-CIND-POV-PINHOES-PINHOES;JUAZEIRO;OK;;;;;;CONCLUIDA;;1;0;;;;;7.1.2.3;100%;R$ 33.959,26;;R$ 0,00;09/09/2025;26/09/2025;;PEDRO LINO;ANDERSON;VICTOR BARROS;0;0;; 0 POSTE;;;JUAZEIRO;01/09/2025;Consolidado;N/A
EQUIPAMENTO;9102237181;1195081;EQ COEL ROD BR 324 RURAL;REMANSO;;;;;;;NÃO INICIADA;;0;2;;;;;7.1.2.3;100%;R$ 289.857,73;;R$ 3.400,00;10/09/2025;27/09/2025;;MANUTENÇÃO;ANDERSON;MARLOS LOPES ;-9,6019523;-42,0840707;;DA PLANILHA;E819654;E819655;JUAZEIRO;01/09/2025;Consolidado;N/A
RECLAMAÇÃO;9102154509;1175575;AC-CIND-POV-LAGOA GRANDE-RURAL;SOBRADINHO;;;;;;;NÃO INICIADA;;1;5;;;;;7.1.2.3;100%;R$ 65.539,44;;R$ 8.500,00;10/09/2025;29/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;-9,5095062;-40,7745147;;DA PLANILHA;E819704;E819708;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102302023;1211868;ER-CIND-POV-SALGADINHA-SALGADINHA;SOBRADINHO;;;;;;;NÃO INICIADA;;1;2;;;;;7.1.2.3;100%;R$ 28.894,27;;R$ 3.400,00;30/09/2025;30/09/2025;;PEDRO LINO;ANDERSON;DIEGO ALMEIDA;0;0;;DA PLANILHA;E864426;E864427;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102140321;1171596;ER-CIND-POV-BARRA GRANDE-RURAL;CURAÇÁ;OK;;;;;;CONCLUIDA;;1;12;;;;;14.7.2003;100%;R$ 127.556,34;;R$ 20.400,00;18/09/2025;06/09/2025;23/09/2025;FABIO;EDIE JONNES;CARLOS EDUARDO;-9.0727654;-39.9699296;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
AL/MELHORAMENTO;9102130579;1165158;IE-RUA-DO CONSELHEIRO-RURAL;UAUÁ;OK;;;;;;NÃO INICIADA;;0;3;;;;;1.2.1.1.3;50%;R$ 347.546,76;;R$ 5.100,00;08/09/2025;09/09/2025;;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-9,9754872;-39,4990407;;DA PLANILHA;E864188;E864190;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102156298;1182181;ER-CIND-FAZ-DO CANTO 1-A-RURAL-CURACA;CURAÇÁ;OK;;;;;;NÃO INICIADA;;1;1;;;;;7.1.2.3;100%;R$ 36.451,45;;R$ 1.700,00;10/09/2025;10/09/2025;;FABIO;EDIE JONNES;CARLOS EDUARDO;-9,0139747;-39,9234207;;DA PLANILHA;E864221;E864221;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102241837;1206271;UB-CIND-AV-ACM 425-CURACA 1;CURAÇÁ;OK;;;;;;NÃO INICIADA;;1;4;;;;;7.1.1.3;100%;R$ 24.118,01;;R$ 6.800,00;12/09/2025;12/09/2025;;FABIO;EDIE JONNES;CARLOS EDUARDO;-8,9974759;-39,9028056;;DA PLANILHA;E864491;E864494;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102096899;1178440;AC-CIND-REG FV-POV-TANQUE NOVO-RURAL;JUAZEIRO;OK;;;;;;NÃO INICIADA;;1;26;;;;;7.1.2.3;100%;R$ 183.573,41;;R$ 44.200,00;03/09/2025;15/09/2025;;GISMARIO;EDIE JONNES;VICTOR BARROS;-9,447105;-39,86499;;DA PLANILHA;E864463;E864488;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9101896280;1088643;MP CIND FAZ CARIRI RURAL;UAUÁ;OK;;OURO;;;;NÃO INICIADA;;1;29;;;;;14.4.12.1;100%;R$ 307.839,74;;R$ 49.300,00;12/09/2025;15/09/2025;;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-9,9090698;-39,357881;;DA PLANILHA;E864087;E864115;JUAZEIRO;01/09/2025;Consolidado;N/A
GOVERNO;9102310794;1215350;AC-GOVE-RUA-7 DE SETEMBRO-CENTRO;UAUÁ;OK;;;;;;NÃO INICIADA;;0;2;;;;;7.1.1.3;100%;R$ 56.213,34;;R$ 3.400,00;16/09/2025;16/09/2025;;JUAREZ;EDIE JONNES;CARLOS EDUARDO;0;0;;DA PLANLHA;E864489;E864490;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102236628;1199956;ER-CIND-FAZ-MACAMBIRA-RURAL;CURAÇÁ;OK;;;;;;NÃO INICIADA;;1;6;;;;;7.1.2.3;100%;R$ 37.790,63;;R$ 10.200,00;15/09/2025;16/09/2025;;FABIO;EDIE JONNES;CARLOS EDUARDO;-8,9702533;-39,823905;;DA PLANILHA ;E864228;E864233;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102286504;1206677;RR CIND FZ MACHADO PINHOES;JUAZEIRO;;;;;;;NÃO INICIADA;;1;2;;;;;7.1.2.3;100%;R$ 32.360,91;;R$ 3.400,00;16/09/2025;16/09/2025;;GISMARIO;EDIE JONNES;VICTOR BARROS;-9,5913002;-39,8762128;;DA PLANILHA;E864085;E864086;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102322040;1216207;AC-CIND-FAZ-SURUBIM 33-RURAL;CURAÇÁ;;;;;;;NÃO INICIADA;;0;1;;;;;7.1.2.3;100%;R$ 48.703,49;;R$ 1.700,00;17/09/2025;17/09/2025;;FABIO;EDIE JONNES;CARLOS EDUARDO;0;0;;DA PLANILHA;E864164;E864164;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102143598;1170033;ER-CIND-RUA-S O PAULO-CENTRO-LA DO PIRES;UAUÁ;;;;;;;NÃO INICIADA;;1;10;;;;;37816;100%;R$ 137.223,12;;R$ 17.000,00;15/09/2025;18/09/2025;;TURMA NOVA;EDIE JONNES;CARLOS EDUARDO;-10,0160719;-39,488488;;DA PLANILHA;E864205;E864214;JUAZEIRO;01/09/2025;Consolidado;N/A
PRIORIDADE PLANO ANEEL;9102297064;1209633;ER-CIND-POV-CARRO QUEBRADO-RURAL;UAUÁ;OK;;;;;;NÃO INICIADA;;1;1;;;;;7.1.2.3;100%;R$ 18.205,06;;R$ 1.700,00;19/09/2025;19/09/2025;;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-9,7212662;-39,4896367;;DA PLANILHA;E864379;E864379;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102231573;1194738;ER-CIND-POV-CALDEIRAO DO LALAU-CALDEIRAO;UAUÁ;;;;;;;NÃO INICIADA;;1;4;;;;;7.1.2.3;100%;R$ 51.825,89;;R$ 6.800,00;23/09/2025;23/09/2025;;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-9,7860976;-39,6467436;;DA PLANILHA;E864303;E864306;JUAZEIRO;01/09/2025;Consolidado;N/A
QLP;9102144868;1173811;ER-CIND-FAZ-LAPAO-RURAL;UAUÁ;;;;;;;NÃO INICIADA;;0;2;;;;;7.1.2.3;100%;R$ 25.939,53;;R$ 3.400,00;24/09/2025;24/09/2025;;JUAREZ;EDIE JONNES;CARLOS EDUARDO;-9,810783;-39,600581;;DA PLANILHA ;E864215;E864216;JUAZEIRO;01/09/2025;Consolidado;N/A
AIC AUDITORIA;9102044229;1139386;MP-CIND-POV PINHOES-RURAL;JUAZEIRO;OK;;;;;;NÃO INICIADA;;1;23;;;;;7.1.2.3;100%;R$ 331.078,60;;R$ 39.100,00;15/09/2025;24/09/2025;;GISMARIO;EDIE JONNES;VICTOR BARROS;-9,5917851;-39,8765429;;DA PLANILHA;E864280;E864302;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9102243319;1200943;AC-CIND-FAZ-JURITI I-RURAL CURACA;CURAÇÁ;;;;;;;NÃO INICIADA;;0;3;;;;;7.1.2.3;100%;R$ 36.419,57;;R$ 5.100,00;11/09/2025;26/09/2025;11/09/2025;FABIO;EDIE JONNES;CARLOS EDUARDO;-9,043645;-39,9484788;;DA PLANILHA;E864161;E864163;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9102280009;1206973;RR-GRUA-FAZ-JURITI-RURAL-CURACA;CURAÇÁ;OK;;OURO;;;;NÃO INICIADA;;0;4;;;;;7.1.2.3;100%;R$ 84.188,49;;R$ 6.800,00;03/09/2025;26/09/2025;05/09/2025;FABIO;EDIE JONNES;CARLOS EDUARDO;-9,055737;-39,9652039;;DA PLANILHA;E864369;E864372;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9102153628;1177271;RR-GRUA-POV-CURACA EB 06 KM085-RURAL;CURAÇÁ;;;OURO;;;;NÃO INICIADA;;0;6;;;;;7.1.2.3;100%;R$ 910.987,38;;R$ 10.200,00;24/09/2025;26/09/2025;;FABIO;EDIE JONNES;CARLOS EDUARDO;-9,0731065;-39,9175208;;DA PLANILHA;E864373;E864378;JUAZEIRO;01/09/2025;Consolidado;N/A
REPUTACIONAL;9102144836;1173776;RR-GRUA-FAZ-VERMELHO-RURAL;JUAZEIRO;OK;;;;;;CONCLUIDA;;;6;;;;;8.6.2003;100%;R$ 103.944,38;;R$ 10.200,00;12/08/2025;27/09/2025;;GISMARIO;EDIE JONNES;CARLOS EDUARDO;-9.4328027;-39.7841685;;;;;JUAZEIRO;01/09/2025;Consolidado;N/A
