PROJETO_FATO;Carteira;COORD;TÍTULO;MUNICIPIO;STATUS;CLIET.;PSTP;PST EXEC;CAVA PRONTA;CAVA P/ DETON;PLANO;AVNP;PV. INÍCIO;PV. FIM;ENCARREGADO;SUPERVISOR;AR;LATITUDE;LONGITUDE;STATUS 1.1;DATA DE ENERG.;VALOR/PST;Unnamed: 5;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;TITULO;CRITERIO;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;RESPONSÁVEL;CLIENTE;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERG. INFORMADA;OBS.1
0237059;01/01/2025;JUAZEIRO;MP-CCOL-POV DESTERRO-CAIÇARA-RURAL;CASA NOVA;LV APENAS;66;733;367;;;PLANO 14;50%;01/01/2025;31/03/2025;JORGE;JORGE;DIEGO;-9,31621797;-41,81448;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1093655;01/01/2025;JUAZEIRO;AL - GRUA - FAZ. BAIXA - RURAL;JUAZEIRO;EM EXECUÇÃO;0;188;141;;;PLANO 7;100%;13/01/2025;28/02/2025;CARLOS / PAULO;SANTIAGO;VICTOR;-9,5502028;-40,5219799;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1097831;01/01/2025;JUAZEIRO;ER-CIND-POV-TAPARICA-RURAL;JUAZEIRO;LV;1;3;3;;;PLANO 7;100%;10/01/2025;18/01/2025;GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,10517;-40,275412;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1108281;01/01/2025;JUAZEIRO;ER-CIND-POV-PAUDARCO-MUQUEM;JUAZEIRO;EXT BT;1;8;8;;;PLANO 14;100%;13/01/2025;25/01/2025;GERALDO;EDIE JONNES;CARLOS EDUARDO;-9,287844172;-39,96277385;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1125306;01/01/2025;JUAZEIRO;RR-SEIN-RUA-JOSE CARLOS-PEDRA GRANDE;UAUÁ;POSSIVEL DL MT 7 UCS;1;38;38;;;PLANO 14;100%;15/01/2025;30/01/2025;MAURICIO;EDIE JONNES;CARLOS EDUARDO;-9,919625;-39,542327;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1115260;01/01/2025;JUAZEIRO;AC-CIND-RUA-PADRE JOAO FRE-CENTRO;PILÃO ARCADO;PES REMAT;1;4;4;;;PLANO 7;100%;18/01/2025;31/01/2025;DOMINGOS;PAULO JUNIOR / RODRIGUES;DIEGO;-10,000539;-42,480473;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1043511;01/01/2025;JUAZEIRO;MP-CCOL-POV-SANTA RITA-RURAL;CASA NOVA; POSSIVEL DL MT 21 UCS;2;30;30;;;PLANO 14;100%;01/10/2025;28/01/2025;DANIEL;PAULO JUNIOR / RODRIGUES;DIEGO;-9,023164033;-40,92362632;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1135698;01/01/2025;JUAZEIRO;MP CIND POV LAGOA CANAFISTA RURAL;PILÃO ARCADO;POSSIVEL DL MT 5 UCS;19;47;47;;;PLANO 14;100%;13/01/2025;29/01/2025;DOMINGOS;PAULO JUNIOR / RODRIGUES;DIEGO;-10,01191718;-42,54126269;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1077021;01/01/2025;JUAZEIRO;ER-CIND-FAZ-MACAMBIRA 52-RURAL;CURAÇÁ;EXT BT;1;6;6;;;PLANO 14;100%;10/01/2025;17/01/2025;EMERSON;EMERSON;CARLOS EDUARDO;-8,979004;-39,840509;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1090457;01/01/2025;JUAZEIRO;MP-CIND-POV-TRAIRAS-RURAL;SENTO SÉ;PG+ENCABÇ (LV);1;14;14;;;PLANO 7;100%;13/01/2025;28/01/2025;FABIO;SANTIAGO;SANDRO;-9,839898;-41,660409;;;;;;;;;;;;;;;;;;;;;;;;;;;;
