ID;PROJETO;TITULO;MUNICIPIO;ENERGIZAÇÃO;ENTRADA;DIAS P/ ENTREGA;POSTES;CLIENTES;TECNICO;FECHAMENTO;AS BUILT;GSE;DT. SOL;ATESTO;DT. SOL.1;RESERVAS;DT. SOL.2;VALOR MAO DE OBRA LV;VALOR Á FATURAR DISTRI. DE POSTES;VALOR Á FATURAR LM;VALOR PENDENTE FATURAR;VALOR PROJETO;TIPO PENDENCIA;PENDENCIA;SUPERVISOR;TURMA;DT POSTAGEM;GEOEX;CICLO DE POSTAGEM;ANO;DATA ANALISE;UNITIZADO;TEMPO PARA ACEITE;DA ENTREGA A POSTAGEM;COORD;DIAS;DT. SOLIC;DT. SOLIC.1;DT. SOLIC.2;OBS;EVIDENCIAS;REALIZADO;DT. REALIZADO;ESTAGIÁRIO;DIAS ENTR. FECHA.;DESCRIÇÃO PENDÊNCIA;"VL FATURADO ""MED. PARCIAL""";UTEP;ULTIMA POSTAGEM;OBRAS SIMPLIFICADAS;EVIDENCIAS BOOK;PENDENCIAS;Column 38;DIAS EM FECHAM.;DIAS P/ ENTR. AS BUILT
UTEP;B-1136099;IT-GOVE-RUA-A-SAO MATEUS;BAIXA GRANDE;01/04/2024;19/06/2024;79,0;2,0;;EMILLE;27/05/2025;27/05/2025;PENDENCIA;;Solicitado;28/05/2025;Criaçao;28/05/2025;R$ 1.928,25;R$ 190,34;R$ 3.054,54;R$ 5.173,13;R$ 34.104,67;;Coelba;ETEMILSON/JAILTON;ETEMILSON/JAILTON;21/07/2025;Aceita;Agosto;;30/07/2025;Sim;485;397;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1023330;LD PR-CIND-ANTONIO GER OLIVEIRA-CENTRO;MIGUEL CALMON;30/04/2024;01/05/2024;1,0;10,0;;LARISSA;01/07/2025;01/07/2025;Conciliado;01/07/2025;Aprovado;17/05/2024;Almoxarifado;08/06/2024;R$ 9.342,40;R$ 1.903,40;R$ 24.062,79;R$ 35.308,59;R$ 132.341,25;APTA PARA UNITIZAÇÃO;Coelba;ETEMILSON/ELIEZER;ETEMILSON/ELIEZER;08/07/2025;Aceita;Julho;;11/07/2025;Nao;437;433;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1066925;UB-CIND-RUA-MARIA R OLIVEIRA 22-CENTRO;VÁRZEA NOVA;03/07/2024;09/07/2024;6,0;6,0;;RAFAELLA;25/03/25;25/03/2025;Conciliado;;;;;;R$ 1.849,58;R$ 1.142,04;R$ 14.255,53;R$ 17.247,15;R$ 47.988,21;;Coelba;ETEMILSON/HERMOGENES;ETEMILSON/HERMOGENES;06/05/2025;Aceita;Maio;;9/5/2025;Sim;310;301;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1042793;ER-CIND-POV-AURORA-NOVA CONQUISTA;OUROLANDIA;12/07/2024;15/07/2024;3,0;1,0;;LARISSA;17/07/24;29/07/2024;Conciliado;02/04/2025;;;;;R$ 3.271,05;;R$ 2.014,74;R$ 2.014,74;R$ 18.805,23;;Coelba;ETEMILSON/RODRIGO;ETEMILSON/RODRIGO;16/04/2025;Aceita;Abril;;23/04/2025;Sim;285;275;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1129541;IT-CIND-AV-CENTENARIO-NAZARE;JACOBINA;31/08/2024;02/09/2024;2,0;1,0;;LARISSA;28/05/2025;28/05/2025;DESENHAR ;;PEND FOTOS ;;Criaçao;;R$ 1.943,44;R$ 176,29;R$ 1.372,30;R$ 3.492,03;R$ 17.901,57;Em fechamento;Coelba;;;;A postar;Janeiro;2026.0;12/12/2025;Nao;468;500;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP; B-0934349;AC-CIND-PR  DO COMERCIO-CENTRO-CPF;CAMPO FORMOSO;01/10/2025;25/09/2024;-371,0;1,0;;LARISSA;;;DESENHAR ;;;;;;;R$ 190,34;;R$ 0,00;R$ 36.927,55;Informaçaoes de campo;Sipel;ETEMILSON/RODRIGO;ETEMILSON/RODRIGO;;Á fechar;Janeiro;2026.0;;Nao;106;477;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1155769;IT-CIND-RUA-DIVINEIA 9979-CENTRO;SÃO JOSÉ DO JACUÍPE;30/09/2024;03/10/2024;3,0;1,0;;LARISSA;22/10/2024;22/10/2024;Conciliado;27/06/2025;;;Almoxarifado;24/10/2024;R$ 4.608,60;R$ 190,34;R$ 1.524,79;R$ 6.323,73;R$ 11.001,22;APTA PARA UNITIZAÇÃO;Coelba;RENATO/ANTONIO;RENATO/ANTONIO;15/07/2025;Aceita;Julho;;17/07/2025;Nao;290;285;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1121023;IT-CIND-AV-CENTENARIO-NAZARE;JACOBINA;14/11/2024;15/11/2024;1,0;2,0;;LARISSA;22/05/2025;22/05/2025;Conciliado;23/05/2025;Solicitado;22/05/2025;Criaçao;23/05/2025;R$ 4.992,96;R$ 380,68;R$ 3.427,93;R$ 8.801,57;R$ 14.527,96;;Coelba;RENATO/LUCIANO;RENATO/LUCIANO;11/07/2025;Aceita;Julho;;17/7/2025;Sim;245;238;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1093305;RU-CCOL-POV-BAIXA GRANDE 1710-BAIXA GRAN;CAMPO FORMOSO;29/11/2024;30/11/2024;1,0;4,0;;RAFAELLA;20/1/2025;20/1/2025;Conciliado;20/01/2025;Aprovado;;;;R$ 939,52;;R$ 12.000,00;R$ 12.951,25;R$ 21.049,39;;Coelba;ETEMILSON/JAILTON;ETEMILSON/JAILTON;14/4/2025;Aceita;Abril;;17/4/2025;Sim;139;135;JACOBINA;;;;;;;;;;;;;;;;;;;;
UTEP;B-1063373;UB CIND TRV BANCO DO BRASIL CENTRO;JACOBINA;04/12/2024;09/12/2024;5,0;1,0;;RAFAELLA;20/1/2025;20/1/2025;Conciliado;29/01/2025;;;Movimentado;;;;R$ 1.903,00;R$ 1.903,00;R$ 9.046,27;;Coelba;FELIPE/JOSE MIZAEL;FELIPE/JOSE MIZAEL;6/2/2025;Aceita;Fevereiro;;10/2/2025;Sim;68;59;JACOBINA;;;;;;;;;;;;;;;;;;;;
