ID;PROJETO;TITULO;MUNICIPIO;ENERGIZAÇÃO;ENTRADA;DIAS P/ ENTREGA;POSTES;CLIENTES;TECNICO;FECHAMENTO;AS BUILT;GSE;DT. SOL;ATESTO;DT. SOL.1;RESERVAS;DT. SOL.2;VALOR MAO DE OBRA LV;VALOR Á FATURAR DISTRI. DE POSTES;VALOR Á FATURAR LM;VALOR PENDENTE FATURAR;VALOR PROJETO;TIPO PENDENCIA;PENDENCIA;SUPERVISOR;TURMA;DT POSTAGEM;GEOEX;CICLO DE POSTAGEM;ANO;DATA ANALISE;UNITIZADO;TEMPO PARA ACEITE;DA ENTREGA A POSTAGEM;COORD;DIAS;DT. SOLIC;DT. SOLIC.1;DT. SOLIC.2;OBS;EVIDENCIAS;REALIZADO;DT. REALIZADO;ESTAGIÁRIO;DIAS ENTR. FECHA.;DESCRIÇÃO PENDÊNCIA;"VL FATURADO ""MED. PARCIAL""";UTEP;ULTIMA POSTAGEM;OBRAS SIMPLIFICADAS;EVIDENCIAS BOOK;PENDENCIAS;Column 38;DIAS EM FECHAM.;DIAS P/ ENTR. AS BUILT
UTEP;B-1126041;IT CIND FAZ CURAÇA PEQUENO RURAL;JUAZEIRO;30/06/2025;30/06/2025;;121,0;;CLEITISVAL;;SIM;Conciliado;;Postado;;Movimentado;; R$  42.386,03 ; R$  22.361,16 ;R$ 360.645,78;;R$ 1.657.825,06;Sem pendencia;Coelba;SANTIAGO;FERNANDO / FABIO;11/08/2025;Aceita;Setembro;;20/08/2025;Nao;;;JUAZEIRO;199;;;;;;;;CLEITISVAL;0.0;; R$  -   ;JUAZEIRO;16/08/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1146721;ER-CIND-POV-J VERMELHA-JUREMA VERMELHA;JUAZEIRO;29/12/2024;10/01/2025;;1,0;;KEVIN;;SIM;Conciliado;Rejeitado;;;Movimentado;; R$  -   ; R$  184,80 ;R$ 2.029,00;;R$ 9.911,09;Sem pendencia;Coelba;EDIE JONNES;AUSSOEIRO;18/01/2024;Aceita;Março;;;Sim;;;JUAZEIRO;382;;;;;;;;CAIO;12.0;; R$  -   ;JUAZEIRO;26/02/2025;SIM;APROVADA;OK;;;
UTEP;B-1152663;ER-CIND-POV-LOGRADOURO-RURAL-CURACA;CURAÇÁ;30/12/2024;02/01/2025;;10,0;;KEVIN;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  1.848,03 ;R$ 18.900,29;;R$ 74.396,92;Sem pendencia;Coelba;EDIE JONNES;MAURICIO;18/01/2024;Aceita;Março;;;Sim;;;JUAZEIRO;381;;;;;;;;X;3.0;; R$  -   ;JUAZEIRO;08/03/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1122891;ER-CIND-POV-PORTO DE PEDRA-RURAL;JUAZEIRO;20/12/2024;26/12/2024;;12,0;;KEVIN;;SIM;Conciliado;;Postado;;Movimentado;; R$  -   ; R$  2.217,64 ;R$ 22.676,92;;R$ 81.924,92;Sem pendencia;Coelba;SANTIAGO;PAULO;18/01/2024;Aceita;Março;;;Sim;;;JUAZEIRO;391;;;;;;;;X;6.0;; R$  -   ;JUAZEIRO;20/03/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1136639;IT-CIND-AUTO POSTO DE COMBUSTIVEL;SENTO SÉ;26/09/2024;04/10/2024;;7,0;;KEVIN;;SIM;Conciliado;;Postado;;Movimentado;45629; R$  -   ; R$  1.293,62 ;R$ 24.472,14;;R$ 52.541,69;Sem pendencia;Coelba;SANTIAGO;JUAREZ;12/12/2024;Aceita;Março;;;Sim;;;JUAZEIRO;476;;;;;;;;AGEU;8.0;; R$  -   ;JUAZEIRO;12/02/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-0916759;RR-CIND-POV MARCOS 981-RURAL REMANSO-REM;REMANSO;05/11/2019;09/02/2022;;0,0;;VITOR;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  -   ;R$ 809,14;;R$ 13.427,26;Sem pendencia;Coelba;AIC;AIC;12/12/2024;Aceita;Janeiro;;;Sim;;;JUAZEIRO;1864;;;;;;;;VITOR;827.0;; R$  -   ;REMANSO;12/12/2024;NÃO;NÃO POSTADO;OK;;;
UTEP;B-1124092;LD CIND POV CARAIBAS RURAL;CURAÇÁ;22/11/2024;25/11/2024;;1,0;;KEVIN;;SIM;Conciliado;;Postado;45628;Movimentado;45629; R$  -   ; R$  184,80 ;R$ 2.342,97;;R$ 24.849,33;Sem pendencia;Coelba;RODRIGUES;MAURICIO;12/12/2024;Aceita;Fevereiro;;;Sim;;;JUAZEIRO;20;;;;;;;;AGEU;3.0;; R$  -   ;JUAZEIRO;15/02/2025;SIM;EVIDENCIA INSU. - GPM;FOTOS EMBAÇADAS - SEM QUALIDADE;;;
UTEP;B-0979324;RR-CIND-FZ PALMEIRAS-RURAL;SENTO SÉ;28/11/2024;03/12/2024;;13,0;;AGEU;;SIM;Conciliado;;Postado;;Movimentado;; R$  -   ; R$  2.402,44 ;R$ 23.276,18;;R$ 69.345,17;Sem pendencia;Coelba;SANTIAGO;CARLOS DA CRUZ;13/12/2024;Aceita;Janeiro;;;Sim;;;JUAZEIRO;413;;;;;;;;x;5.0;; R$  -   ;JUAZEIRO;;NÃO;EVIDENCIA INSU. - GPM;OK;;;
UTEP;B-1163905;RC-CIND-RUA-S O JOSE-PINHOES;JUAZEIRO;26/11/2024;26/11/2024;;3,0;;KEVIN;;SIM;Conciliado;;Postado;;Movimentado;; R$  -   ; R$  554,41 ;R$ 6.693,66;;R$ 26.071,93;Sem pendencia;Coelba;RODRIGUES;MAURICIO;13/12/2024;Aceita;Fevereiro;;;Sim;;;JUAZEIRO;415;;;;;;;;AGEU;0.0;; R$  -   ;JUAZEIRO;;SIM;ETIQUETA NÃO SIMPLIFICADA;OK;;;
UTEP;B-1146411;RR-CIND-POV-PORTO JUACEMA-RURAL;SOBRADINHO ;24/10/2024;05/11/2024;;7,0;;KEVIN;;SIM;Conciliado;;Postado;45624;Movimentado;; R$  -   ; R$  1.293,62 ;R$ 17.600,66;;R$ 87.047,11;Sem pendencia;Coelba;SANTIAGO;DOMINGOS;13/12/2024;Aceita;Fevereiro;;;Sim;;;JUAZEIRO;448;;;;;;;;AGEU;12.0;; R$  -   ;JUAZEIRO;09/01/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1102316;LD CIND POÇO DOS CAVALOS RURAL;UAUÁ;10/12/2024;11/12/2024;;22,0;;EMERSON;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  4.065,67 ;R$ 67.984,85;;R$ 298.403,91;Sem pendencia;Coelba;EMERSON;EMERSON;17/12/2024;Aceita;Janeiro;;;Sim;;;JUAZEIRO;401;;;;;;;;EMERSON;1.0;; R$  -   ;JUAZEIRO;20/12/2024;NÃO;EVIDENCIA INSU. - GPM;OK;;;
UTEP;B-1015013;IT-CIND-FAZ-MANICOBA-SISTEMA MANICOBA;JUAZEIRO;12/11/2021;16/12/2021;;1,0;;VITOR;;SIM;Conciliado;;Postado;;Movimentado;; R$  25,00 ; R$  184,80 ;R$ 1.043,96;;R$ 4.673,83;Sem pendencia;Coelba;AIC;AIC;20/12/2024;Aceita;Janeiro;;;Sim;;;JUAZEIRO;1525;;;;;;;;VITOR;34.0;; R$  -   ;JUAZEIRO;20/12/2024;NÃO;NÃO POSTADO;OK;;;
UTEP;B-1162940;UB CIND RUA ANTONIO BALBINO QUIDE;JUAZEIRO;11/12/2024;12/12/2024;;4,0;;MATEUS;;SIM;Conciliado;;;;Movimentado;45645; R$  -   ; R$  739,21 ;R$ 6.393,98;;R$ 24.245,20;Sem pendencia;Coelba;EDIE JONNES;AUSSOEIRO;20/12/2024;Aceita;Janeiro;;;Sim;;;JUAZEIRO;400;;;;;;;;X;1.0;; R$  -   ;JUAZEIRO;20/12/2024;SIM;EVIDENCIA INSU. - GPM;OK;;;
UTEP;B-1051145;ER-CIND-POV-TAPERA-GENIPAPO DE BAIXO;MONTE SANTO;30/11/2022;17/12/2022;;4,0;;VITOR;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  739,21 ;R$ 4.253,14;;R$ 12.964,92;Sem pendencia;Coelba;AIC;AIC;20/12/2024;Aceita;Janeiro;;;Sim;;;JUAZEIRO;1142;;;;;;;;VITOR;17.0;; R$  -   ;SENHOR DO BONFIM;20/12/2024;NÃO;NÃO POSTADO;OK;;;
UTEP;B-1100950;FVU-RELIGADOR-CSN-01C1-J05813;REMANSO;11/05/2023;14/06/2023;;0,0;;VITOR;;SIM;Conciliado;;Postado;;Movimentado;; R$  -   ; R$  -   ;R$ 389,13;;R$ 71.646,43;Sem pendencia;Coelba;AIC;AIC;20/12/2024;Aceita;Fevereiro;;;Sim;;;JUAZEIRO;980;;;;;;;;VITOR;34.0;; R$  -   ;REMANSO;;NÃO;S/EVIDENCIA- GPM;OK;;;
UTEP;B-1058497;IT-CIND-POV-PAU A PIQUE-PAU A PIQUE;REMANSO;08/11/2022;20/12/2022;;1,0;;VITOR;;SIM;Conciliado;;Postado;;Movimentado;; R$  -   ; R$  184,80 ;R$ 865,68;;R$ 7.094,53;Sem pendencia;Coelba;AIC;AIC;20/12/2024;Aceita;Fevereiro;;;Sim;;;JUAZEIRO;1164;;;;;;;;VITOR;42.0;; R$  -   ;REMANSO;07/02/2025;NÃO;ETIQUETA NÃO SIMPLIFICADA;;;;
UTEP;B-1108263;UB-CIND-ET-SERRA DA BATATEIRA-JOAO PAULO;JUAZEIRO;26/12/2024;02/01/2025;;1,0;;KEVIN;;SIM;Conciliado;;Postado;;Movimentado;; R$  -   ; R$  184,80 ;R$ 2.444,96;;R$ 22.192,62;Sem pendencia;Coelba;EDIE JONNES;GISMARIO;14/01/2025;Aceita;Janeiro;;;Sim;;;JUAZEIRO;385;;;;;;;;X;7.0;; R$  -   ;JUAZEIRO;14/01/2025;SIM;APROVADA;OK;;;
UTEP;B-1135613;ER CIND POV LAGOA DA PEDRA RURAL;JUAZEIRO;13/12/2024;19/12/2024;;0,0;;AGEU;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  -   ;R$ 970,00;;R$ 6.845,84;Sem pendencia;Coelba;EDIE JONNES;GERALDO;16/01/2025;Aceita;Janeiro;;;Sim;;;JUAZEIRO;398;;;;;;;;X;6.0;; R$  -   ;JUAZEIRO;;SIM;APROVADA;OK;;;
UTEP;B-1165236;ER-CIND-SI-CRUZEIRO 16-RURAL;CASA NOVA;18/12/2024;26/12/2024;;0,0;;AGEU;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  -   ;R$ 1.791,00;;R$ 6.702,74;Sem pendencia;Coelba;PAULO JUNIOR;AILTON;16/01/2025;Aceita;Janeiro;;;Sim;;;JUAZEIRO;393;;;;;;;;X;8.0;; R$  -   ;REMANSO;;SIM;APROVADA;OK;;;
UTEP;B-1152474;ER-CIND-POV-SALININHAS-RURAL;CASA NOVA;28/12/2024;28/12/2024;;13,0;;AGEU;;SIM;Conciliado;;Postado;;Movimentado;; R$  -   ; R$  2.402,44 ;R$ 23.989,00;;R$ 91.456,21;Sem pendencia;Coelba;RODRIGUES;DANIEL;16/01/2025;Aceita;Fevereiro;;;Sim;;;JUAZEIRO;383;;;;;;;;X;0.0;; R$  -   ;REMANSO;;NÃO;NÃO POSTADO;OK;;;
UTEP;B-1165870;ER-CIND RUA NOSSA SENHORA-RURAL;JUAZEIRO;27/12/2024;02/01/2025;;0,0;;AGEU;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  -   ;R$ 1.072,00;;R$ 21.496,73;Sem pendencia;Coelba;EDIE JONNES;EDIE JONNES;16/01/2025;Aceita;Fevereiro;;;Sim;;;JUAZEIRO;384;;;;;;;;X;6.0;; R$  -   ;JUAZEIRO;14/02/2025;SIM;POSTADA;PLACA INDICATIVA DO TRAFO;;;
LPT;B-1174647;UB-CIND-RUA-DO BISPO-CARNAIBA DO SERTAO;JUAZEIRO;18/11/2024;25/11/2024;;1,0;;KEVIN;;SIM;Conciliado;;;;Movimentado;45629; R$  -   ; R$  184,80 ;R$ 2.068,00;;R$ 2.999,19;Sem pendencia;Coelba;RODRIGUES;PAULO;17/01/2025;Aceita;Março;;;Sim;;;JUAZEIRO;423;;;;;;;;AGEU;7.0;; R$  -   ;JUAZEIRO;21/02/2025;SIM;ETIQUETA NÃO SIMPLIFICADA;SIM;;;
UTEP;B-1109080;ER-CIND-SI-VENEZA-RURAL-REMANSO;REMANSO;17/12/2024;19/12/2024;;2,0;;AGEU;;SIM;Conciliado;;;;Movimentado;; R$  -   ; R$  369,61 ;R$ 6.842,00;;R$ 59.982,88;Sem pendencia;Coelba;ANDERSON;MANUTENÇÃO;17/01/2025;Aceita;Março;;;Sim;;;JUAZEIRO;394;;;;;;;;X;2.0;; R$  -   ;REMANSO;27/02/2025;SIM;ETIQUETA NÃO SIMPLIFICADA;OK;;;
