ID;PROJETO;TITULO;MUNICIPIO;ENERGIZAÇÃO;ENTRADA;DIAS P/ ENTREGA;POSTES;CLIENTES;TECNICO;FECHAMENTO;AS BUILT;GSE;DT. SOL;ATESTO;DT. SOL.1;RESERVAS;DT. SOL.2;VALOR MAO DE OBRA LV;VALOR Á FATURAR DISTRI. DE POSTES;VALOR Á FATURAR LM;VALOR PENDENTE FATURAR;VALOR PROJETO;TIPO PENDENCIA;PENDENCIA;SUPERVISOR;TURMA;DT POSTAGEM;GEOEX;CICLO DE POSTAGEM;ANO;DATA ANALISE;UNITIZADO;TEMPO PARA ACEITE;DA ENTREGA A POSTAGEM;COORD;DIAS;DT. SOLIC;DT. SOLIC.1;DT. SOLIC.2;OBS;EVIDENCIAS;REALIZADO;DT. REALIZADO;ESTAGIÁRIO;DIAS ENTR. FECHA.;DESCRIÇÃO PENDÊNCIA;"VL FATURADO ""MED. PARCIAL""";UTEP;ULTIMA POSTAGEM;OBRAS SIMPLIFICADAS;EVIDENCIAS BOOK;PENDENCIAS;Column 38;DIAS EM FECHAM.;DIAS P/ ENTR. AS BUILT
UTEP;B-0933804;RR CIND FAZ VARZEA GRANDE RURAL;QUEIMADAS;27/09/2024;;;5,0;;""" SEM AS BUILT """;;;;;;;;;;;R$ 6.521,60;R$6.521,60;R$ 71.952,02;"""Sem """"AS BUILT""""""";SIPEL;DICSON / GESONI ;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;475.0;;;;;;;;;;;;;;;;;;;
UTEP;B-1192137;ER-CIND-POV-PICOS-RURAL;ITIÚBA;26/09/2025;;;6,0;;""" SEM AS BUILT """;;;;;;;;;;;R$ 7.825,92;R$7.825,92;R$ 58.088,16;"""Sem """"AS BUILT""""""";SIPEL;ISRAEL/JOAO;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;111.0;;;;;;;;;;;;;;;;;;;
LPT ;B-1148214;ER-CIND-FAZ-LAGOA DO CURRAL-RURAL;NORDESTINA;17/10/2025;;;8,0;;""" SEM AS BUILT """;;;;;;;;;;;R$ 10.434,56;R$10.434,56;R$ 19.168,53;"""Sem """"AS BUILT""""""";SIPEL;ANAILTON/GABRIEL;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;90.0;;;;;;;;;;;;;;;;;;;
LPT ;B-1210510;ER-CIND-POV-FAZENDINHA 1-RURAL;NORDESTINA;22/10/2025;;;7,0;;""" SEM AS BUILT """;;;;;;;;;;;R$ 9.130,24;R$9.130,24;R$ 30.651,90;"""Sem """"AS BUILT""""""";SIPEL;ANAILTON / GABRIEL;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;85.0;;;;;;;;;;;;;;;;;;;
LPT ;B-1211134;ER-CIND-POV-SACO FUNDO 24-RURAL;MONTE SANTO;23/10/2025;;;6,0;;""" SEM AS BUILT """;;;;;;;;;;;R$ 7.825,92;R$7.825,92;R$ 58.994,65;"""Sem """"AS BUILT""""""";SIPEL;JOSE SILVA / GABRIEL;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;84.0;;;;;;;;;;;;;;;;;;;
UTEP;B-1196034;ER-CIND-POV-VARZEA DO POCO-PONTO NOVO;PONTO NOVO;23/10/2025;;;1,0;;""" SEM AS BUILT """;;;;;;;;;;;R$ 1.304,32;R$1.304,32;R$ 21.721,55;"""Sem """"AS BUILT""""""";SIPEL;EDVALDO / JOÃO;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;84.0;;;;;;;;;;;;;;;;;;;
UTEP;B-1164147;ER-CIND-FAZ-ROCHA-AT LINDO - RURAL;CANSANÇÃO;27/10/2025;;;7,0;;""" SEM AS BUILT """;;;;;;;;;;;R$ 9.130,24;R$9.130,24;R$ 115.225,85;"""Sem """"AS BUILT""""""";SIPEL;JEFFERSON/GABRIEL;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;80.0;;;;;;;;;;;;;;;;;;;
UTEP;B-1204838;IS-COEL-RUA-CANDIDO FONSECA-MERCADO;SENHOR DO BONFIM;30/10/2025;15/01/2026;;6,0;;DIRECIONAR;;;;;;;;;;;R$ 7.825,92;R$7.825,92;R$ 51.246,25;"""Sem """"AS BUILT""""""";SIPEL;JOILSON/JOAO;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;77.0;;;;;;;;;;;;;;;;;;;
UTEP;B-1167466;ER CIND FZ VARZEA GRANDE RURAL;QUEIMADAS;31/10/2025;14/01/2025;;1,0;;DIRECIONAR;;;;;;;;;;;R$ 1.304,32;R$1.304,32;R$ 22.361,91;"""Sem """"AS BUILT""""""";SIPEL;GESONI/JOAO;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;-290.0;;;;;OBRA SIMPL - APROVADO ;ENVIADO;;;;;;;;;;;;;
UTEP;B-1198739;UB-CIND-RUA-DEMOSTENES BARRETO-CENTRO;MONTE SANTO;18/11/2025;14/01/2026;;1,0;;LUCAS GABRIEL;;;;;;;;;;;R$ 1.304,32;R$1.304,32;R$ 6.302,10;"""Sem """"AS BUILT""""""";SIPEL;JOSE / GABRIEL;;;;JANEIRO;2026.0;;NÃO;;;SENHOR DO BONFIM;57.0;;;;;;;;;;;;;;;;;;;
