IdSolic;StatusSolic;QuantSolic;Quant_Confirmada;Pendencias;DescricaoPendencias;obra;BaseOperacional;TipoSolic;titulo;DataSolic;DataCriacaoReserva;Processo;DataEstorno;Modified;DataSolicMod;DataPendencia;DataRegularizacao;Created;DataSolicPrev
ENC-20250731-1040663-221.0-15434300;Deletado;283,44;0,0;;;1040663;Bonfim;221;Mp-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-01;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040663-221.0-15434301;Deletado;210,0;210,0;;;1040663;Bonfim;221;Mp-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-01;Encerramento;2025-08-07;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040663-221.0-15437760;Movimentado;499,44;499,44;;;1040663;Bonfim;221;Mp-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040663-222.0-15438036;Movimentado;250,01632;250,01632;;;1040663;Bonfim;222;Mp-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040663-921.0-15434302;Deletado;38,0;19,0;;;1040663;Bonfim;921;Mp-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-01;Encerramento;2025-08-07;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040663-921.0-15438037;Movimentado;38,0;38,0;;;1040663;Bonfim;921;Mp-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040663-922.0-15438038;Movimentado;5,0;5,0;;;1040663;Bonfim;922;Mp-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040667-221.0-15438040;Movimentado;114,0;114,0;;;1040667;Bonfim;221;Kt-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040683-221.0-15438041;Movimentado;3,0;3,0;;;1040683;Bonfim;221;Md-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1040683-222.0-15438042;Movimentado;49,0;49,0;;;1040683;Bonfim;222;Md-Ccol-Rua Piabas-Piabas;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1041575-222.0-15433630;Movimentado;2,0;2,0;;;1041575;Juazeiro;222;Mp-Ccol-Pov-Serrotim-Rural;2025-07-31;2025-08-01;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1041575-922.0-15433629;Deletado;2,0;0,0;;;1041575;Juazeiro;922;Mp-Ccol-Pov-Serrotim-Rural;2025-07-31;2025-08-01;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1072528-221.0-15437757;Movimentado;4,0;4,0;;;1072528;Bonfim;221;Er-Cind-Faz-Barreiros-Barreiros;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1072528-222.0-15437759;Movimentado;1,0;1,0;;;1072528;Bonfim;222;Er-Cind-Faz-Barreiros-Barreiros;2025-07-31;2025-08-04;Encerramento;;2025-10-07;;;;2025-07-31;2025-08-04
ENC-20250731-1112429-221.0-15430936;Movimentado;116,6;116,6;;;1112429;Juazeiro;221;Mp-Cind-Pov-Jazida Rural;2025-07-31;2025-07-31;Encerramento;;2025-10-17;;;;2025-07-31;2025-08-04
ENC-20250731-1112429-221.0-15430945;Movimentado;2,0;2,0;;;1112429;Juazeiro;221;Mp-Cind-Pov-Jazida Rural;2025-07-31;2025-07-31;Encerramento;;2025-10-17;;;;2025-07-31;2025-08-04
ENC-20250731-1112429-222.0-15430938;Movimentado;684,623;684,623;;;1112429;Juazeiro;222;Mp-Cind-Pov-Jazida Rural;2025-07-31;2025-07-31;Encerramento;;2025-10-17;;;;2025-07-31;2025-08-04
ENC-20250731-1112429-921.0-15430940;Movimentado;41,0;41,0;;;1112429;Juazeiro;921;Mp-Cind-Pov-Jazida Rural;2025-07-31;2025-07-31;Encerramento;;2025-10-17;;;;2025-07-31;2025-08-04
ENC-20250731-1112429-922.0-15430942;Movimentado;5,0;5,0;;;1112429;Juazeiro;922;Mp-Cind-Pov-Jazida Rural;2025-07-31;2025-07-31;Encerramento;;2025-10-17;;;;2025-07-31;2025-08-04
ENC-20250731-1145201-221.0-15430852;Movimentado;43,3;43,3;;;1145201;Juazeiro;221;Er-Cind-Pov-Rural-Casa Nova;2025-07-31;2025-07-31;Encerramento;;2025-10-17;;;;2025-07-31;2025-08-04
ENC-20250731-1145201-222.0-15430855;Movimentado;8,0;8,0;;;1145201;Juazeiro;222;Er-Cind-Pov-Rural-Casa Nova;2025-07-31;2025-07-31;Encerramento;;2025-10-17;;;;2025-07-31;2025-08-04
ENC-20250731-1145201-222.0-15959768;Deletado;1,0;0,0;Outro;Sem Reserva Pra Movimentar;1145201;Juazeiro;222;Er-Cind-Pov-Rural-Casa Nova;2025-07-31;2025-11-14;Encerramento;;2025-11-14;;;;2025-07-31;2025-08-04
