"DATA_ENVIO";"DATA_DOC";"RESPONSAVEL";"TIPO";"PEP";"TEXTO_APOS_DELIMITADOR";"DEFINICAO";"PEDIDO";"VALOR_LIQUIDO";"CONTRATO";"MUNICIPIO";"BASE";"CICLO";"DESCRICAO";"SETOR";"TEXTO_BREVE";"FONTE_ORIGEM";"CATEGORIA"
"2024-10-12";"2024-10-04";"LIGAÇAO";"LIGAÇAO";"B-1041435";"1041435";"B-1041435_PMG0011399/24_FATURA_FINAL";"4508899844.0";"2604.3";"4600074798";"CAMPO FORMOSO";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-04";"LIGAÇAO";"LIGAÇAO";"B-1041437";"1041437";"B-1041437_PMG0011377/24_FATURA_FINAL";"4508898890.0";"697.5";"4600074798";"CAMPO FORMOSO";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-04";"LIGAÇAO";"LIGAÇAO";"B-1041437";"1041437";"B-1041437_PMG0011377/24_FATURA_FINAL";"4508898890.0";"739.12";"4600074798";"CAMPO FORMOSO";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-08";"LOGISTICA";"DISTRIBUIÇÃO DE POSTE";"B-1131652";"1131652";"B-1131652_PMG0011467/24_FATURA_FINAL";"4508910904.0";"181.56";"4600074798";"CAMPO FORMOSO";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-08";"LOGISTICA";"DISTRIBUIÇÃO DE POSTE";"B-1127843";"1127843";"B-1127843_PMG0011457/24_FATURA_FINAL";"4508909095.0";"1089.38";"4600074798";"SENHOR DO BONFIM";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-08";"WESLEY";"PODA";"B-1127843";"1127843";"B-1127843_PMG0011457/24_FATURA_FINAL";"4508908948.0";"89.16";"4600074798";"SENHOR DO BONFIM";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-08";"WESLEY";"FINAL";"B-1127843";"1127843";"B-1127843_PMG0011457/24_FATURA_FINAL";"4508908948.0";"8790.38";"4600074798";"SENHOR DO BONFIM";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-08";"LIGAÇAO";"LIGAÇAO";"B-1073051";"1073051";"B-1073051_PMG0011457/24_FATURA_FINAL";"4508908946.0";"651.08";"4600074798";"ITIUBA";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-10";"LIGAÇAO";"LIGAÇAO";"B-1091686";"1091686";"B-1091686_PMG0011555/24_FATURA_FINAL";"4508916123.0";"261.56";"4600074798";"JAGUARARI";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
"2024-10-12";"2024-10-10";"LIGAÇAO";"LIGAÇAO";"B-1091686";"1091686";"B-1091686_PMG0011555/24_FATURA_FINAL";"4508916123.0";"277.17";"4600074798";"JAGUARARI";"SENHOR DO BONFIM";"Outubro";"";"";"";"SENHOR DO BONFIM_OBRA";"OBRA"
