DATA_ENVIO;DATA_DOC;RESPONSAVEL;TIPO;PEP;DEFINICAO;PEDIDO;VALOR_LIQUIDO;CONTRATO;MUNICIPIO;BASE;CICLO
2024-10-12;2024-10-04;LIGAÇAO;LIGAÇAO;B-1041435;B-1041435_PMG0011399/24_FATURA_FINAL;4508899844;2604.3;;CAMPO FORMOSO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-04;LIGAÇAO;LIGAÇAO;B-1041437;B-1041437_PMG0011377/24_FATURA_FINAL;4508898890;697.5;;CAMPO FORMOSO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-04;LIGAÇAO;LIGAÇAO;B-1041437;B-1041437_PMG0011377/24_FATURA_FINAL;4508898890;739.12;;CAMPO FORMOSO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-08;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1131652;B-1131652_PMG0011467/24_FATURA_FINAL;4508910904;181.56;;CAMPO FORMOSO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-08;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1127843;B-1127843_PMG0011457/24_FATURA_FINAL;4508909095;1089.38;;SENHOR DO BONFIM;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-08;WESLEY;PODA;B-1127843;B-1127843_PMG0011457/24_FATURA_FINAL;4508908948;89.16;;SENHOR DO BONFIM;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-08;WESLEY;FINAL;B-1127843;B-1127843_PMG0011457/24_FATURA_FINAL;4508908948;8790.38;;SENHOR DO BONFIM;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-08;LIGAÇAO;LIGAÇAO;B-1073051;B-1073051_PMG0011457/24_FATURA_FINAL;4508908946;651.08;;ITIUBA;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LIGAÇAO;LIGAÇAO;B-1091686;B-1091686_PMG0011555/24_FATURA_FINAL;4508916123;261.56;;JAGUARARI;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LIGAÇAO;LIGAÇAO;B-1091686;B-1091686_PMG0011555/24_FATURA_FINAL;4508916123;277.17;;JAGUARARI;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;FINAL;B-1070957;B-1070957_PMG0011552/24_FATURA_FINAL;4508915983;345.47;;CANSANÇÃO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;LINHA VIVA;B-1070957;B-1070957_PMG0011552/24_FATURA_FINAL;4508915983;465.45;;CANSANÇÃO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;LINHA VIVA;B-1070957;B-1070957_PMG0011552/24_FATURA_FINAL;4508915982;4547.32;;CANSANÇÃO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;FINAL;B-1070957;B-1070957_PMG0011552/24_FATURA_FINAL;4508915982;10429.56;;CANSANÇÃO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-0725324;B-0725324_PMG0011552/24_FATURA_FINAL;4508916013;726.25;;NORDESTINA;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;LINHA VIVA;B-0725324;B-0725324_PMG0011552/24_FATURA_FINAL;4508915981;1755.26;;NORDESTINA;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;FINAL;B-0725324;B-0725324_PMG0011552/24_FATURA_FINAL;4508915981;6708.84;;NORDESTINA;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;FINAL;B-1131722;B-1131722_PMG0011538/24_FATURA_FINAL;4508914851;7494.82;;SENHOR DO BONFIM;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1131722;B-1131722_PMG0011538/24_FATURA_FINAL;4508914911;907.82;;SENHOR DO BONFIM;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;FINAL;B-1128930;B-1128930_PMG0011538/24_FATURA_FINAL;4508914850;4686.48;;JAGUARARI;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1128930;B-1128930_PMG0011538/24_FATURA_FINAL;4508914910;544.69;;JAGUARARI;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1123751;B-1123751_PMG0011538/24_FATURA_FINAL;4508914909;363.13;;NORDESTINA;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;FINAL;B-1123751;B-1123751_PMG0011538/24_FATURA_FINAL;4508914849;5791.82;;NORDESTINA;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;PODA;B-1122710;B-1122710_PMG0011538/24_FATURA_FINAL;4508914848;312.05;;CAMPO FORMOSO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;WESLEY;FINAL;B-1122710;B-1122710_PMG0011538/24_FATURA_FINAL;4508914848;13606.7;;CAMPO FORMOSO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1122710;B-1122710_PMG0011538/24_FATURA_FINAL;4508914908;1634.08;;CAMPO FORMOSO;SENHOR DO BONFIM;Outubro
2024-10-12;2024-10-10;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1091679;B-1091679_PMG0011538/24_FATURA_FINAL;4508914846;357.31;;JAGUARARI;SENHOR DO BONFIM;Outubro
2024-10-14;2024-10-11;WESLEY;FINAL;B-1126043;B-1126043_PMG0011576/24_FATURA_FINAL;4508917215;4564.14;;MONTE SANTO;SENHOR DO BONFIM;Outubro
2024-10-14;2024-10-11;WESLEY;FINAL;B-1089447;B-1089447_PMG0011588/24_FATURA_FINAL;4508918212;7240.49;;ITIUBA;SENHOR DO BONFIM;Outubro
2024-10-16;2024-10-14;WESLEY;FINAL;B-1031121;B-1031121_PMG0011633/24_FATURA_FINAL;4508918656;20162.09;;ITIÚBA;SENHOR DO BONFIM;Outubro
2024-10-16;2024-10-14;WESLEY;LINHA VIVA;B-1031121;B-1031121_PMG0011633/24_FATURA_FINAL;4508918656;3280.09;;ITIÚBA;SENHOR DO BONFIM;Outubro
2024-10-16;2024-10-14;LOGISTICA ;DISTRIBUIÇÃO DE POSTE;B-1095795;B-1095795_PMG0011670/24_FATURA_FINAL;4508920354;544.69;;QUEIMADAS;SENHOR DO BONFIM;Outubro
2024-10-16;2024-10-14;WESLEY;FINAL;B-1095795;B-1095795_PMG0011670/24_FATURA_FINAL;4508920315;9151.68;;QUEIMADAS;SENHOR DO BONFIM;Outubro
