NOTA;DATA DO CONTATO;DATA DO RETORNO;MUNICIPIO;RESPONSAVEL;STATUS;CONFORMIDADE
4506185867;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506206395;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506215509;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506217800;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506221388;2024-08-28;2024-08-28;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506226263;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506227937;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506228905;2024-08-30;2024-08-30;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506232454;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506235927;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506240937;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506240944;2024-08-28;2024-08-29;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506241457;2024-08-28;2024-08-29;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506241992;2024-08-28;2024-08-30;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506242992;2024-08-28;2024-08-28;SENHOR DO BONFIM;ITHALLO;Inapto;Irregularidade do Padrao
4506243859;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506245946;2024-08-28;2024-08-28;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506246408;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506246985;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Cadastro Incorreto
4506247387;2024-08-29;2024-08-30;SENHOR DO BONFIM;FRANKLYN ;Apto;Apto
4506247965;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Inapto;Sem contato
4506248289;2024-08-28;2024-08-28;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506248323;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506248398;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Sem acesso
4506249458;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Deficiencia tecnica
4506249466;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506249480;2024-08-29;2024-08-02;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506249760;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506249879;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506249880;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506251386;2024-08-28;;SENHOR DO BONFIM;ANDRESSA;Aguardando Retorno;
4506252289;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Sem contato
4506252713;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Apto;Apto
4506252729;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506252740;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254149;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506254642;2024-08-28;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506255206;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506255507;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506255564;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256015;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506256065;2024-08-29;2024-08-29;SENHOR DO BONFIM;ANDRESSA;Apto;Apto
4506256511;2024-08-29;2024-08-29;SENHOR DO BONFIM;ANDRESSA;Apto;Apto
4506257005;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506257006;2024-08-29;2024-08-29;SENHOR DO BONFIM;ANDRESSA;Inapto;Irregularidade do Padrao
4506258536;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506259540;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506259548;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506260512;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506261009;2024-08-31;;SENHOR DO BONFIM;DENIZE;Aguardando Retorno;
4506261024;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506262501;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506262502;2024-08-30;;SENHOR DO BONFIM;ITHALLO;Inapto;Sem contato
4506231723;2024-08-30;;SENHOR DO BONFIM;ITHALLO;;
4506243946;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506243946;2024-09-04;2024-09-04;SENHOR DO BONFIM;ITHALLO;Inapto;Obra
4506245977;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506247459;2024-08-29;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
4506249416;2024-09-02;;SENHOR DO BONFIM;ITHALLO;Aguardando Retorno;
